"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"9538","1752654657848","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","9542","0.0-0.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:30:57.850Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8133","","","","fullscreen","1","18710","0.0-1.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4881","1752654671901","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","23594","0.0-2.0-0.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:31:11.902Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86803.39999997616","","","","survey-template","3","110413","0.0-2.0-1.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:32:38.722Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""3"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""1"",""Q10"":""0"",""Q11"":""1"",""Q12"":""1"",""Q13"":""5"",""Q14"":""3"",""Q15"":""3"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3977.5,5534.399999976158,6820,8555,10569.5,15831.899999976158,18970,22727.899999976158,25634,28070,32187.399999976158,36225.699999928474,41349.799999952316,45772.89999997616,47760.799999952316,52680.89999997616,55127.199999928474,56821.299999952316,62022.39999997616,67503.69999992847,73694.79999995232,77544.29999995232]","[]","[0.2999999523162842,3977.5,5534.399999976158,6820,8555,10569.5,15831.899999976158,18970,22727.899999976158,25634,28070,29742.199999928474,32187.399999976158,36225.699999928474,41349.799999952316,45772.89999997616,47760.799999952316,52680.89999997616,55127.199999928474,56821.299999952316,62022.39999997616,67503.69999992847,73694.79999995232,77544.29999995232,86785.09999990463]","0.4090909090909091","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17176.200000047684","","","","survey-template","4","127596","0.0-2.0-2.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:32:55.904Z","","{""Q01"":""0"",""Q02"":""3"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7184.799999952316,11644.399999976158,15949.399999976158]","[]","[7184.799999952316,11644.399999976158,15949.399999976158,17173.5]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35615","","","","instructions","5","163214","0.0-3.0-0.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":35615}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20542","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","79","html-slider-response","6","183760","0.0-4.0-0.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:33:52.068Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6610","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","90","html-slider-response","7","190373","0.0-4.0-1.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:33:58.681Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5209","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","91","html-slider-response","8","195586","0.0-4.0-2.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:34:03.894Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","226525","0.0-5.0-0.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:34:34.834Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","200107.3","6723.3","11728.3","27911.6","1","4","4","6","1","1","0","0","0","0","5004.9","3000","1370","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":5,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":1,""num_good_moves"":5}","[294.22232142857143,300.12857142857143,2.1,294.22232142857143,300.12857142857143,103.4,294.22232142857143,300.12857142857143,212.2,294.22232142857143,300.12857142857143,313.9,294.22232142857143,300.12857142857143,418.3,294.22232142857143,300.12857142857143,518.5,294.22232142857143,300.12857142857143,626.5,294.22232142857143,300.12857142857143,726.7,294.22232142857143,300.12857142857143,827.9,294.22232142857143,300.12857142857143,929.8,294.22232142857143,300.12857142857143,1033.5,294.22232142857143,300.12857142857143,1133.6,294.22232142857143,300.12857142857143,1238.1,294.22232142857143,300.12857142857143,1345.3,294.22232142857143,300.12857142857143,1446.1,294.22232142857143,300.12857142857143,1546.5,294.22232142857143,300.12857142857143,1647.9,294.22232142857143,300.12857142857143,1754,294.22232142857143,300.12857142857143,1859.3,294.22232142857143,300.12857142857143,1962.3,294.22232142857143,300.12857142857143,2064.8,294.22232142857143,300.12857142857143,2168.1,294.22232142857143,300.12857142857143,2274.7,294.22232142857143,300.12857142857143,2380,294.22232142857143,300.12857142857143,2483.3,294.22232142857143,300.12857142857143,2583.5,294.22232142857143,300.12857142857143,2688.5,294.22232142857143,300.12857142857143,2796.4,294.22232142857143,300.12857142857143,2897.9,294.22232142857143,300.12857142857143,2998.6,294.22232142857143,300.12857142857143,3099.1,294.22232142857143,300.12857142857143,3199.3,294.22232142857143,300.12857142857143,3303.4,294.22232142857143,300.12857142857143,3408.2,294.22232142857143,300.12857142857143,3512.7,294.22232142857143,300.12857142857143,3613.1,294.22232142857143,300.12857142857143,3718.9,294.22232142857143,300.12857142857143,3827.2,294.22232142857143,300.12857142857143,3928.4,294.22232142857143,300.12857142857143,4037.3,294.22232142857143,300.12857142857143,4141.9,294.22232142857143,300.12857142857143,4246.6,294.22232142857143,300.12857142857143,4346.9,294.22232142857143,300.12857142857143,4447.9,294.22232142857143,300.12857142857143,4548.8,294.22232142857143,300.12857142857143,4653.5,294.22232142857143,300.12857142857143,4753.9,294.22232142857143,300.12857142857143,4861.8,294.22232142857143,300.12857142857143,4962.6]","[1474.9,1474.9,1000,0,475,""smooth"",""left"",""left"",""bad_move"",4287.9,2810.3,2418.2,1477.7,392,""smooth"",""right"",""right"",""good_move"",7427.1,3136.8,2759.3,4290.3,377.5,""smooth"",""right"",""right"",""good_move"",9944,2515.7,2156.8,7428.4,358.8,""smooth"",""right"",""right"",""good_move"",13092.7,3147.1,2793.6,9945.6,353.5,""smooth"",""down"",""down"",""good_move"",15832.3,2738.2,2346.4,13094.1,392.2,""while_blue"",""down"",""down"",""good_move""]","",""
"5602","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","89","html-slider-response","10","232140","0.0-5.0-1.0","66","1","2025-07-16 08:30:45","1f75c3e559b7213887762d5229550c2b","216.120.189.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6786c32f329b1d694103f225","68764874ac79eee8c1d4cb03","687762f0300fae7356a5e444","2","0","6786c32f329b1d694103f225","2","0","2025-07-16T08:34:40.449Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
