"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3942","1752654671188","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3951","0.0-0.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:31:11.192Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6649","","","","fullscreen","1","11609","0.0-1.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5232","1752654684088","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","16850","0.0-2.0-0.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:31:24.090Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68087.89999999106","","","","survey-template","3","84958","0.0-2.0-1.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:32:32.198Z","","{""Q01"":""2"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""5"",""Q07"":""0"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[5298.0999999940395,7165.0999999940395,9107.09999999404,10520.89999999106,12618,14189.59999999404,18446.59999999404,20620.20000000298,25890.70000000298,28592.70000000298,29804.70000000298,31171.39999999106,32545,34940.29999999702,42199.70000000298,44826.20000000298,47191.79999999702,50441.5,51895,53527.39999999106,60164.39999999106,61542.09999999404,63115.79999999702]","[]","[0.7999999970197678,5298.0999999940395,7165.0999999940395,9107.09999999404,10520.89999999106,12618,14189.59999999404,18446.59999999404,20620.20000000298,25890.70000000298,28592.70000000298,29804.70000000298,31171.39999999106,32545,34940.29999999702,42199.70000000298,44826.20000000298,47191.79999999702,50441.5,51895,53527.39999999106,60164.39999999106,61542.09999999404,63115.79999999702,68067.70000000298]","0.7727272727272727","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14840","","","","survey-template","4","99808","0.0-2.0-2.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:32:47.049Z","","{""Q01"":""1"",""Q02"":""3"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4221.5,10144.79999999702,13280.29999999702]","[]","[4221.5,10144.79999999702,13280.29999999702,14837.5]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17375","","","","instructions","5","117190","0.0-3.0-0.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":17373}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11631","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","97","html-slider-response","6","128828","0.0-4.0-0.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:33:16.069Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4579","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","77","html-slider-response","7","133424","0.0-4.0-1.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:33:20.664Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4551","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","137983","0.0-4.0-2.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:33:25.224Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","171786","0.0-5.0-0.0","67","1","2025-07-16 08:30:56","1f75c3e559b7213887762d5229550c2b","41.113.3.113","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,zu;q=0.6","5f3287b83428cb05746e2214","68764874ac79eee8c1d4cb03","687762b2ebbec5797d458b95","2","0","5f3287b83428cb05746e2214","2","0","2025-07-16T08:33:59.031Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","156177.8","2167.9","7176.2","30781.8","1","4","8","6","2","8","8","8","0","0.06060606060606061","1448.6","3000","890","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[270.7142857142857,274.6205357142857,6.5,270.7142857142857,274.6205357142857,106.7,270.7142857142857,274.6205357142857,208.2,270.7142857142857,274.6205357142857,311.7,270.7142857142857,274.6205357142857,413.6,270.7142857142857,274.6205357142857,513.8,270.7142857142857,274.6205357142857,617.4,384.7142857142857,394.6205357142857,718.3,458.7142857142857,497.6205357142857,821.5,464.7142857142857,502.6205357142857,923.3,479.7142857142857,508.6205357142857,1027.8,492.7142857142857,510.6205357142857,1135.7,492.7142857142857,510.6205357142857,1240.8,492.7142857142857,510.6205357142857,1342.6,492.7142857142857,510.6205357142857,1458.3,492.7142857142857,510.6205357142857,1562.3,492.7142857142857,510.6205357142857,1662.5,492.7142857142857,510.6205357142857,1768,492.7142857142857,510.6205357142857,1873.2,492.7142857142857,510.6205357142857,1976.1,492.7142857142857,510.6205357142857,2089.2,492.7142857142857,510.6205357142857,2191.1,492.7142857142857,510.6205357142857,2295.3,492.7142857142857,510.6205357142857,2400,492.7142857142857,510.6205357142857,2504.3,492.7142857142857,510.6205357142857,2612.5,492.7142857142857,510.6205357142857,2714.4,492.7142857142857,510.6205357142857,2815.5,492.7142857142857,510.6205357142857,2915.5,492.7142857142857,510.6205357142857,3030,492.7142857142857,510.6205357142857,3133.1,492.7142857142857,510.6205357142857,3233.8,492.7142857142857,510.6205357142857,3341,492.7142857142857,510.6205357142857,3446.4,492.7142857142857,510.6205357142857,3550.3,492.7142857142857,510.6205357142857,3656.2,492.7142857142857,510.6205357142857,3761.4,492.7142857142857,510.6205357142857,3864.7,492.7142857142857,510.6205357142857,3966.6,492.7142857142857,510.6205357142857,4072.9,492.7142857142857,510.6205357142857,4177.7,492.7142857142857,510.6205357142857,4289.1,492.7142857142857,510.6205357142857,4395.4,492.7142857142857,510.6205357142857,4500.5,492.7142857142857,510.6205357142857,4604.5,492.7142857142857,510.6205357142857,4711.6,492.7142857142857,510.6205357142857,4816.8,492.7142857142857,510.6205357142857,4918.8]","[1454.4,1454.4,1000,0,454.4,""smooth"",""down"",""down"",""good_move"",7513,6056.9,3000.5,4005.4,507.2,""smooth"",""down"",""down"",""good_move"",10504.7,2985.6,2529.9,7519.3,455.7,""smooth"",""right"",""right"",""good_move"",13341.1,2833.4,2379.3,10507.8,454.1,""smooth"",""right"",""right"",""good_move"",16408,3064.5,2625,13343.7,439.3,""smooth"",""down"",""down"",""good_move"",23492.4,7082.7,3094.7,20009.4,388.3,""smooth"",""right"",""right"",""good_move""]","",""
