"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"59742","1752654853233","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","59745","0.0-0.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:34:13.234Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8228","","","","fullscreen","1","69126","0.0-1.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10421","1752654873037","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","79548","0.0-2.0-0.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:34:33.037Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74484.8999999999","","","","survey-template","3","154073","0.0-2.0-1.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:35:47.562Z","","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""1"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22""]","[3859.2000000001863,5445.700000000186,7185.5,9163.100000000093,11034.899999999907,15114.299999999814,17174.200000000186,19270.100000000093,21037.399999999907,24023.100000000093,28196.200000000186,32219.700000000186,33948.299999999814,37899.39999999991,40382.700000000186,40627.700000000186,44466.200000000186,47515.39999999991,51094.299999999814,52797.700000000186,54400.299999999814,59087.799999999814,61672.5,64786.89999999991,68042.3999999999]","[]","[0.10000000009313226,3859.2000000001863,5445.700000000186,7185.5,9163.100000000093,11034.899999999907,15114.299999999814,17174.200000000186,19270.100000000093,21037.399999999907,24023.100000000093,26409.799999999814,28196.200000000186,32219.700000000186,33948.299999999814,37899.39999999991,40382.700000000186,40627.700000000186,44466.200000000186,46251.5,47515.39999999991,51094.299999999814,52797.700000000186,54400.299999999814,59087.799999999814,60472.60000000009,61672.5,64786.89999999991,68042.3999999999,74481]","0.5454545454545454","0.42857142857142855","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13923.299999999814","","","","survey-template","4","168027","0.0-2.0-2.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:36:01.516Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2876.7999999998137,8774.600000000093,12342.700000000186]","[]","[2876.7999999998137,8774.600000000093,12342.700000000186,13922.600000000093]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103954","","","","instructions","5","271982","0.0-3.0-0.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":103954}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7808","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","67","html-slider-response","6","279800","0.0-4.0-0.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:37:53.289Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4001","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","70","html-slider-response","7","283802","0.0-4.0-1.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:37:57.292Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3240","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","75","html-slider-response","8","287043","0.0-4.0-2.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:38:00.532Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","315393","0.0-5.0-0.0","69","1","2025-07-16 08:31:13","1f75c3e559b7213887762d5229550c2b","216.120.189.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","674eae0026291e33be89b46f","68764874ac79eee8c1d4cb03","6877633e01fedbf284732742","2","0","674eae0026291e33be89b46f","2","0","2025-07-16T08:38:28.882Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","314682.7","6421.1","11421.5","25283","1","4","8","6","1","1","0","0","0","0","2519","3000","1685","[""up"",""right""]","{""num_key_presses"":5,""num_perfect"":4,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[297.22232142857143,299.12857142857143,26.5,297.22232142857143,299.12857142857143,115.1,297.22232142857143,299.12857142857143,219.9,297.22232142857143,299.12857142857143,320.5,297.22232142857143,299.12857142857143,425.1,297.22232142857143,303.12857142857143,531.4,286.22232142857143,340.12857142857143,631.6,185.22232142857143,469.12857142857143,732.1,177.22232142857143,477.12857142857143,835.8,177.22232142857143,477.12857142857143,939.5,158.22232142857143,488.12857142857143,1040.2,137.22232142857143,498.12857142857143,1141,137.22232142857143,498.12857142857143,1248.1,137.22232142857143,498.12857142857143,1348.2,120.22232142857143,508.12857142857143,1450.7,283.22232142857143,312.12857142857143,1554.5,322.22232142857143,275.12857142857143,1654.7,322.22232142857143,275.12857142857143,1754.9,358.22232142857143,225.12857142857143,1855.6,537.2223214285714,45.128571428571426,1965.5,543.2223214285714,44.128571428571426,2067.5,548.2223214285714,47.128571428571426,2170.2,549.2223214285714,47.128571428571426,2270.7,549.2223214285714,47.128571428571426,2375.2,549.2223214285714,47.128571428571426,2481.1,549.2223214285714,47.128571428571426,2585.2,549.2223214285714,47.128571428571426,2690,549.2223214285714,47.128571428571426,2794.5,549.2223214285714,47.128571428571426,2895.4,549.2223214285714,47.128571428571426,3000.6,549.2223214285714,47.128571428571426,3105.3,549.2223214285714,47.128571428571426,3209.6,549.2223214285714,47.128571428571426,3315,549.2223214285714,47.128571428571426,3415.5,549.2223214285714,47.128571428571426,3515.6,549.2223214285714,47.128571428571426,3620,549.2223214285714,47.128571428571426,3724.9,549.2223214285714,47.128571428571426,3825.2,549.2223214285714,47.128571428571426,3930.2,549.2223214285714,47.128571428571426,4034.4,549.2223214285714,47.128571428571426,4134.5,549.2223214285714,47.128571428571426,4234.5,549.2223214285714,47.128571428571426,4362.4,549.2223214285714,47.128571428571426,4465.5,549.2223214285714,47.128571428571426,4569.6,549.2223214285714,47.128571428571426,4675.1,549.2223214285714,47.128571428571426,4780.7,549.2223214285714,47.128571428571426,4884.6,549.2223214285714,47.128571428571426,4984.6]","[576,575.9,1000,0.1,-424.1,""error"",""-"",""-"",""no_move"",5373.2,4797,2539,1580.2,1254,""smooth"",""up"",""up"",""good_move"",8229.5,2856,2433.4,5373.5,422.6,""smooth"",""right"",""right"",""good_move"",10716.5,2463.2,2121.5,8253.3,341.7,""smooth"",""up"",""up"",""good_move"",13766.2,3049.4,2746.2,10716.8,303.2,""smooth"",""right"",""right"",""good_move""]","",""
