"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2091","1752654883982","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2095","0.0-0.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:34:43.984Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1592","","","","fullscreen","1","4690","0.0-1.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1161","1752654887741","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","5852","0.0-2.0-0.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:34:47.742Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60840.20000000298","","","","survey-template","3","66702","0.0-2.0-1.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:35:48.591Z","","{""Q01"":""2"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""3"",""Q07"":""0"",""Q08"":""0"",""Q09"":""3"",""Q10"":""2"",""Q11"":""5"",""Q12"":""3"",""Q13"":""5"",""Q14"":""2"",""Q15"":""3"",""Q16"":""0"",""Q17"":""2"",""Q18"":""0"",""Q19"":""5"",""Q20"":""5"",""Q21"":""5"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[6175.5999999940395,7611.20000000298,8757.90000000596,10252.90000000596,11628.79999999702,14020.29999999702,15466.09999999404,18417.09999999404,20700,23470,26451,28812.70000000298,30328,35510.90000000596,37663.5,40603.70000000298,42776,44519.70000000298,50968.20000000298,54426,56787.79999999702,59179.79999999702]","[]","[0.09999999403953552,6175.5999999940395,7611.20000000298,8757.90000000596,10252.90000000596,11628.79999999702,14020.29999999702,15466.09999999404,18417.09999999404,20700,23470,26451,28812.70000000298,30328,35510.90000000596,37663.5,40603.70000000298,42776,44519.70000000298,50968.20000000298,54426,56787.79999999702,59179.79999999702,60824.5]","0.36363636363636365","0.14285714285714285","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12800.59999999404","","","","survey-template","4","79506","0.0-2.0-2.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:36:01.395Z","","{""Q01"":""2"",""Q02"":""5"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[8279.79999999702,10683.59999999404,11839.59999999404]","[]","[8279.79999999702,10683.59999999404,11839.59999999404,12797]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3522","","","","instructions","5","83031","0.0-3.0-0.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3521}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3863","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","50","html-slider-response","6","86898","0.0-4.0-0.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:36:08.787Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3955","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","50","html-slider-response","7","90854","0.0-4.0-1.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:36:12.744Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3437","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","1","html-slider-response","8","94295","0.0-4.0-2.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:36:16.184Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","117033","0.0-5.0-0.0","76","1","2025-07-16 08:34:41","1f75c3e559b7213887762d5229550c2b","212.69.57.202","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en;q=0.9","5d9a55cb01556d0013fa8369","68764874ac79eee8c1d4cb03","68776416a50fdf4f1e8beb11","2","0","5d9a55cb01556d0013fa8369","2","0","2025-07-16T08:36:38.922Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","95545.2","2096.9","7101.6","19718","1","4","8","6","1","1","1","1","0","0.007575757575757576","2073.9","3000","1735","[""down"",""right""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[414.0714133126395,425.32142761775424,0.9,414.0714133126395,425.32142761775424,110,414.0714133126395,425.32142761775424,213.7,414.0714133126395,425.32142761775424,319.3,414.0714133126395,425.32142761775424,424,414.0714133126395,425.32142761775424,525.5,414.0714133126395,425.32142761775424,628.9,414.0714133126395,425.32142761775424,758.4,216.5714133126395,164.07142761775424,867.5,232.8214133126395,165.32142761775424,968.7,582.8214133126395,562.8214276177542,1068.9,679.0714133126395,681.5714276177542,1174,694.0714133126395,701.5714276177542,1275,694.0714133126395,701.5714276177542,1391.2,694.0714133126395,701.5714276177542,1493.1,724.0714133126395,725.3214276177542,1598.8,767.8214133126395,772.8214276177542,1702.4,766.5714133126395,772.8214276177542,1804.2,764.0714133126395,771.5714276177542,1916.7,761.5714133126395,769.0714276177542,2035.7,761.5714133126395,769.0714276177542,2139.6,761.5714133126395,769.0714276177542,2258.8,761.5714133126395,769.0714276177542,2381.9,761.5714133126395,769.0714276177542,2519.8,761.5714133126395,769.0714276177542,2625.1,761.5714133126395,769.0714276177542,2729.1,761.5714133126395,769.0714276177542,2843.8,761.5714133126395,769.0714276177542,2949.4,761.5714133126395,769.0714276177542,3068.4,761.5714133126395,769.0714276177542,3168.8,761.5714133126395,769.0714276177542,3268.8,761.5714133126395,769.0714276177542,3369,761.5714133126395,769.0714276177542,3469.1,761.5714133126395,769.0714276177542,3569.2,761.5714133126395,769.0714276177542,3669.4,761.5714133126395,769.0714276177542,3773.9,761.5714133126395,769.0714276177542,3878.2,761.5714133126395,769.0714276177542,3981.4,761.5714133126395,769.0714276177542,4091.1,761.5714133126395,769.0714276177542,4194.3,761.5714133126395,769.0714276177542,4294.6,761.5714133126395,769.0714276177542,4398.9,761.5714133126395,769.0714276177542,4517.6,761.5714133126395,769.0714276177542,4618.8,761.5714133126395,769.0714276177542,4724.1,761.5714133126395,769.0714276177542,4828.9,761.5714133126395,769.0714276177542,4929.3]","[1540.2,1540,1000,0.2,540,""smooth"",""down"",""down"",""good_move"",7460.3,5918.7,2009.5,5008.9,441.9,""smooth"",""down"",""down"",""good_move"",9483.2,2020.8,1459.3,7462.4,561.6,""smooth"",""right"",""right"",""good_move"",12464,2980,2498.3,9484,481.7,""smooth"",""right"",""right"",""good_move""]","",""
