"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"8785","1752655090036","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","8787","0.0-0.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:38:10.038Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11622","","","","fullscreen","1","21418","0.0-1.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17246","1752655119918","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","38668","0.0-2.0-0.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:38:39.919Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102551","","","","survey-template","3","141229","0.0-2.0-1.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:40:22.480Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""1"",""Q16"":""1"",""Q17"":""0"",""Q18"":""0"",""Q19"":""1"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[8375.100000023842,10442.5,11783.899999976158,14219,17134.399999976158,25533.600000023842,27681,34034.700000047684,36073.39999997616,38619.60000002384,42027.200000047684,46034.89999997616,49595.60000002384,54021.10000002384,60074,70511.39999997616,79771,82267.89999997616,89500.20000004768,96000.39999997616,99341.70000004768,101410.10000002384]","[]","[0.10000002384185791,6745.5,8375.100000023842,10442.5,11783.899999976158,14219,17134.399999976158,18677.600000023842,25533.600000023842,27681,30495.299999952316,34034.700000047684,36073.39999997616,38619.60000002384,42027.200000047684,46034.89999997616,49595.60000002384,54021.10000002384,58180.89999997616,60074,66187.89999997616,70511.39999997616,77667.10000002384,79771,82267.89999997616,89500.20000004768,96000.39999997616,99341.70000004768,101410.10000002384,102542.29999995232]","0.6363636363636364","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28863.700000047684","","","","survey-template","4","170096","0.0-2.0-2.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:40:51.348Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4907.800000071526,15065,23455.200000047684]","[]","[4907.800000071526,15065,23455.200000047684,28862.100000023842]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152773","","","","instructions","5","322873","0.0-3.0-0.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":152773}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27240","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","64","html-slider-response","6","350115","0.0-4.0-0.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:43:51.367Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10932","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","57","html-slider-response","7","361050","0.0-4.0-1.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:44:02.301Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6675","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","78","html-slider-response","8","367726","0.0-4.0-2.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:44:08.977Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","422088","0.0-5.0-0.0","79","1","2025-07-16 08:38:56","1f75c3e559b7213887762d5229550c2b","216.120.189.235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","667b366d0d0943e90dbee7d1","686e379bc37a29ffa5cdc956","687764994d3b1fd44ee5f343","1","1","667b366d0d0943e90dbee7d1","1","1","2025-07-16T08:45:03.339Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","376205.3","7458.7","12460.7","51355.1","1","4","4","6","2","4","3","3","0","0.022727272727272728","3799","3000","400","[""down"",""right""]","{""num_key_presses"":7,""num_perfect"":6,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":6,""num_good_moves"":6}","[412.07142857142856,422.1808016640799,0.2,412.07142857142856,422.1808016640799,100.1,412.07142857142856,422.1808016640799,200.2,412.07142857142856,422.1808016640799,303.1,412.07142857142856,422.1808016640799,403.4,412.07142857142856,422.1808016640799,507.4,412.07142857142856,422.1808016640799,607.7,412.07142857142856,422.1808016640799,716.8,412.07142857142856,422.1808016640799,822.6,412.07142857142856,422.1808016640799,922.7,412.07142857142856,422.1808016640799,1027.6,322.07142857142856,494.1808016640799,1133.6,263.57142857142856,555.6808016640799,1233.8,260.57142857142856,552.6808016640799,1337.8,266.57142857142856,546.6808016640799,1442.5,376.07142857142856,506.1808016640799,1542.8,380.57142857142856,500.1808016640799,1649.6,380.57142857142856,500.1808016640799,1749.8,380.57142857142856,500.1808016640799,1852.8,380.57142857142856,500.1808016640799,1952.9,380.57142857142856,500.1808016640799,2053.4,380.57142857142856,500.1808016640799,2157,380.57142857142856,500.1808016640799,2257.6,695.5714285714286,651.6808016640799,2357.8,1223.5714285714287,960.6808016640799,2466.7,1223.5714285714287,960.6808016640799,2566.8,1208.5714285714287,960.6808016640799,2671.8,1154.5714285714287,954.6808016640799,2773.3,1054.0714285714287,918.6808016640799,2883,1040.5714285714287,911.1808016640799,2986.7,1040.5714285714287,911.1808016640799,3087.3,1010.5714285714286,894.6808016640799,3187.4,884.5714285714286,851.1808016640799,3292.8,764.5714285714286,782.1808016640799,3394.6,761.5714285714286,780.6808016640799,3500.8,761.5714285714286,779.1808016640799,3602.4,761.5714285714286,779.1808016640799,3702.6,761.5714285714286,779.1808016640799,3803,761.5714285714286,779.1808016640799,3908.9,761.5714285714286,779.1808016640799,4015.2,761.5714285714286,779.1808016640799,4115.6,761.5714285714286,779.1808016640799,4216.8,761.5714285714286,779.1808016640799,4317.8,761.5714285714286,779.1808016640799,4421.9,761.5714285714286,779.1808016640799,4522.6,761.5714285714286,779.1808016640799,4632.4,761.5714285714286,779.1808016640799,4737.2,761.5714285714286,779.1808016640799,4842.5,761.5714285714286,779.1808016640799,4948.7]","[680,680,1000,0,-320,""error"",""-"",""-"",""no_move"",7202.8,6522.6,1709.8,5061.3,431.7,""smooth"",""down"",""down"",""good_move"",9765.1,2561.9,2047.5,7203.2,514.4,""smooth"",""down"",""down"",""good_move"",12627.1,2861.9,2411.6,9765.2,450.3,""smooth"",""down"",""down"",""good_move"",19284.3,6657,2294,16460.9,529.4,""smooth"",""right"",""right"",""good_move"",22290.4,3005.8,2468.5,19284.6,537.3,""smooth"",""right"",""right"",""good_move"",38799.9,16509.4,2427.7,35867.6,504.6,""smooth"",""right"",""right"",""good_move""]","",""
