"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3416","1752655243390","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3418","0.0-0.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:40:43.390Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16278","","","","fullscreen","1","20700","0.0-1.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2094","1752655262766","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","22794","0.0-2.0-0.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:41:02.767Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100080.00000000001","","","","survey-template","3","122878","0.0-2.0-1.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:42:42.850Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""0"",""Q04"":""2"",""Q05"":""1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""2"",""Q10"":""2"",""Q11"":""2"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""2"",""Q16"":""2"",""Q17"":""2"",""Q18"":""1"",""Q19"":""2"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q03"",""Q02"",""Q04"",""Q07"",""Q06"",""Q05"",""Q09"",""Q08"",""Q03"",""Q04"",""Q10"",""Q11"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22""]","[3853.9000000000087,8550.900000000009,9037,12086.800000000003,17718.600000000006,27631.800000000003,28967.800000000003,46950.59999999999,48429.7,54731.7,55773.59999999999,63161.59999999999,64689.59999999999,66915.50000000001,69184.50000000001,71231.59999999999,74204.50000000001,76713.50000000001,79741.40000000001,81932.40000000001,82568.40000000001,85737.40000000001,87114.40000000001,88561.2,97768.40000000001,98984.2]","[]","[0,3853.9000000000087,7944.900000000009,8550.900000000009,9037,12086.800000000003,17718.600000000006,26825.09999999999,27631.800000000003,28451.90000000001,28967.800000000003,46253.500000000015,46950.59999999999,48429.7,53963.7,54731.7,55773.59999999999,63161.59999999999,64689.59999999999,66915.50000000001,69184.50000000001,71231.59999999999,74204.50000000001,76713.50000000001,79741.40000000001,81062.50000000001,81932.40000000001,82568.40000000001,85737.40000000001,87114.40000000001,88144.3,88561.2,97768.40000000001,98984.2,100076.59999999999]","0.4090909090909091","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23983.699999999983","","","","survey-template","4","146863","0.0-2.0-2.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:43:06.835Z","","{""Q01"":""2"",""Q02"":""4"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[13708.600000000006,18380.699999999983,23448.699999999983]","[]","[11103.699999999983,11823.799999999988,13708.600000000006,14262.600000000006,18380.699999999983,23448.699999999983,23982.79999999999]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16450","","","","instructions","5","163314","0.0-3.0-0.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":16450}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26376","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","64","html-slider-response","6","189691","0.0-4.0-0.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:43:49.663Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4340","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","42","html-slider-response","7","194032","0.0-4.0-1.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:43:54.004Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2885","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","43","html-slider-response","8","196918","0.0-4.0-2.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:43:56.890Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","272122","0.0-5.0-0.0","80","1","2025-07-16 08:40:40","1f75c3e559b7213887762d5229550c2b","94.134.108.176","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","de-DE,de;q=0.9,en-DE;q=0.8,en;q=0.7,es-ES;q=0.6,es;q=0.5,en-US;q=0.4","646219bb0b91a6f3327e39fb","68764874ac79eee8c1d4cb03","687763e3256f9c7e313b4f59","2","0","646219bb0b91a6f3327e39fb","2","0","2025-07-16T08:45:12.094Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","198238.5","52190.6","57195.8","72200.2","1","4","8","6","2","8","8","8","0","0.06060606060606061","2393.2","3000","1330","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[568.4285714285714,553.3348214285714,0.3,566.4285714285714,554.3348214285714,101.2,566.4285714285714,554.3348214285714,205.5,566.4285714285714,554.3348214285714,310.1,582.4285714285714,578.3348214285714,410.1,567.4285714285714,621.3348214285714,510.1,557.4285714285714,627.3348214285714,615.2,317.42857142857144,873.3348214285714,720.9,232.42857142857144,962.3348214285714,825,178.42857142857144,979.3348214285714,925.8,167.42857142857144,983.3348214285714,1026.5,480.42857142857144,710.3348214285714,1130.8,789.4285714285714,351.33482142857144,1235.9,703.4285714285714,460.33482142857144,1336,99.42857142857143,1177.3348214285713,1439.8,-41.57142857142857,1265.3348214285713,1545.2,-4.571428571428569,1162.3348214285713,1650.1,4.428571428571431,1144.3348214285713,1750.5,61.42857142857143,1101.3348214285713,1850.8,268.42857142857144,839.3348214285714,1955.4,848.4285714285714,175.33482142857144,2060.3,948.4285714285714,122.33482142857143,2160.6,980.4285714285714,129.33482142857144,2265.6,1003.4285714285714,94.33482142857143,2370.5,1003.4285714285714,92.33482142857143,2471.3,1003.4285714285714,94.33482142857143,2575.2,1003.4285714285714,94.33482142857143,2675.5,1003.4285714285714,94.33482142857143,2775.7,1003.4285714285714,94.33482142857143,2875.7,1003.4285714285714,94.33482142857143,2979.8,1003.4285714285714,94.33482142857143,3080,1003.4285714285714,94.33482142857143,3185.2,1003.4285714285714,94.33482142857143,3285.4,1003.4285714285714,94.33482142857143,3385.7,1003.4285714285714,94.33482142857143,3489.8,1003.4285714285714,94.33482142857143,3589.9,1003.4285714285714,94.33482142857143,3690.2,1003.4285714285714,94.33482142857143,3790.5,1003.4285714285714,94.33482142857143,3890.7,1003.4285714285714,94.33482142857143,3994.8,1003.4285714285714,94.33482142857143,4095,1003.4285714285714,94.33482142857143,4195.4,1003.4285714285714,94.33482142857143,4295.4,1003.4285714285714,94.33482142857143,4400.7,1003.4285714285714,94.33482142857143,4505.1,1003.4285714285714,94.33482142857143,4610.3,1003.4285714285714,94.33482142857143,4714.8,1003.4285714285714,94.33482142857143,4815.3,1003.4285714285714,94.33482142857143,4920.6]","[1260.5,1260.4,1000,0.1,260.4,""smooth"",""right"",""right"",""good_move"",3443.3,2182.4,1924.4,1260.9,258,""smooth"",""right"",""right"",""good_move"",6491.3,3047.9,2783.4,3443.4,264.5,""smooth"",""right"",""right"",""good_move"",10287.2,3795.8,3517.1,6491.5,278.6,""smooth"",""up"",""up"",""good_move"",13090.1,2802.7,2515.3,10287.4,287.5,""smooth"",""up"",""up"",""good_move"",14912.6,1822.2,1464.8,13090.4,357.4,""smooth"",""up"",""up"",""good_move""]","",""
