"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"20025","1752658107276","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","20028","0.0-0.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:28:27.277Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979","","","","fullscreen","1","23019","0.0-1.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1872","1752658112141","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","24894","0.0-2.0-0.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:28:32.143Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69291.30000001192","","","","survey-template","3","94216","0.0-2.0-1.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:29:41.465Z","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""5"",""Q06"":""5"",""Q07"":""2"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4"",""Q11"":""4"",""Q12"":""2"",""Q13"":""5"",""Q14"":""3"",""Q15"":""3"",""Q16"":""2"",""Q17"":""4"",""Q18"":""4"",""Q19"":""1"",""Q20"":""3"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3425.400000035763,6001.699999988079,7581.699999988079,9004.900000035763,10720.100000023842,15775.699999988079,18826.600000023842,20244,27311.80000001192,30093.900000035763,33157.69999998808,36274.60000002384,37765.19999998808,41907.5,43924.80000001192,50497.10000002384,51901.5,53300.10000002384,56705,59606.40000003576,64015.40000003576,68047.69999998808]","[]","[8.900000035762787,3425.400000035763,6001.699999988079,7581.699999988079,9004.900000035763,10720.100000023842,15775.699999988079,17597.19999998808,18826.600000023842,20244,27311.80000001192,30093.900000035763,33157.69999998808,35101.80000001192,36274.60000002384,37765.19999998808,40639.90000003576,41907.5,43924.80000001192,50497.10000002384,51901.5,53300.10000002384,55082,56705,59606.40000003576,62659.10000002384,64015.40000003576,68047.69999998808,69262.10000002384]","0.3181818181818182","0.3333333333333333","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14864","","","","survey-template","4","109088","0.0-2.0-2.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:29:56.338Z","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q03""]","[6304.199999988079,9725.899999976158,11775.099999964237,13831]","[]","[6304.199999988079,9725.899999976158,11775.099999964237,12872.399999976158,13831,14859.199999988079]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30118","","","","instructions","5","139211","0.0-3.0-0.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":30117}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73941","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","53","html-slider-response","6","213169","0.0-4.0-0.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:31:40.418Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25471","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","53","html-slider-response","7","238645","0.0-4.0-1.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:32:05.894Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5137","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","50","html-slider-response","8","243784","0.0-4.0-2.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:32:11.033Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","321858","0.0-5.0-0.0","90","1","2025-07-16 09:28:01","1f75c3e559b7213887762d5229550c2b","41.114.188.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","665f10dc49cd980fdf304c19","68764874ac79eee8c1d4cb03","6877706e750003f669c7c8a2","2","0","665f10dc49cd980fdf304c19","2","0","2025-07-16T09:33:29.107Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","246496","55444.9","60448.8","75059.4","1","4","4","6","1","1","0","0","0","0","3361.6","3000","1455","[""down"",""right""]","{""num_key_presses"":5,""num_perfect"":4,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[419.57142857142856,417.6808016640799,5.8,419.57142857142856,417.6808016640799,106.1,419.57142857142856,417.6808016640799,212.1,419.57142857142856,417.6808016640799,316.9,419.57142857142856,417.6808016640799,419.6,419.57142857142856,417.6808016640799,521.6,419.57142857142856,417.6808016640799,622.2,419.57142857142856,417.6808016640799,734.1,419.57142857142856,417.6808016640799,837.1,419.57142857142856,417.6808016640799,937.8,419.57142857142856,417.6808016640799,1039.9,419.57142857142856,417.6808016640799,1146.6,419.57142857142856,417.6808016640799,1249.5,419.57142857142856,417.6808016640799,1350.5,419.57142857142856,417.6808016640799,1456.6,460.07142857142856,458.1808016640799,1558.1,581.5714285714286,572.1808016640799,1661.1,595.0714285714286,572.1808016640799,1767.3,598.0714285714286,572.1808016640799,1871.2,602.5714285714286,579.6808016640799,1972.4,665.5714285714286,647.1808016640799,2077.2,743.5714285714286,719.1808016640799,2178.4,878.5714285714286,839.1808016640799,2284.4,878.5714285714286,842.1808016640799,2386.7,878.5714285714286,842.1808016640799,2486.6,878.5714285714286,842.1808016640799,2592.9,878.5714285714286,842.1808016640799,2700.3,878.5714285714286,842.1808016640799,2800.6,878.5714285714286,842.1808016640799,2902.2,799.0714285714286,786.6808016640799,3007.4,781.0714285714286,780.6808016640799,3110.5,781.0714285714286,779.1808016640799,3213.9,781.0714285714286,779.1808016640799,3320.4,781.0714285714286,779.1808016640799,3421.2,781.0714285714286,779.1808016640799,3523.1,781.0714285714286,779.1808016640799,3629.3,781.0714285714286,779.1808016640799,3729.7,781.0714285714286,779.1808016640799,3837.2,781.0714285714286,779.1808016640799,3951.9,781.0714285714286,779.1808016640799,4057.5,781.0714285714286,779.1808016640799,4164.8,781.0714285714286,779.1808016640799,4264.9,781.0714285714286,779.1808016640799,4387.3,781.0714285714286,779.1808016640799,4488.9,781.0714285714286,779.1808016640799,4592.6,781.0714285714286,779.1808016640799,4695.6,781.0714285714286,779.1808016640799,4803,781.0714285714286,779.1808016640799,4908.5]","[1619.1,1618.9,1000,0.2,618.9,""smooth"",""down"",""down"",""good_move"",4541.1,2921.5,2604.9,1619.7,316.5,""smooth"",""down"",""down"",""good_move"",6852.3,2310.9,2370.4,4541.4,-59.5,""error"",""-"",""-"",""no_move"",11210.5,4357.6,2495.7,7857.9,856.9,""smooth"",""right"",""right"",""good_move"",14487.3,3276.3,2811.4,11211,464.9,""smooth"",""right"",""right"",""good_move""]","",""
