"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"15192","1752659560613","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","15194","0.0-0.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:52:40.614Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11733","","","","fullscreen","1","27931","0.0-1.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3570","1752659576923","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","31503","0.0-2.0-0.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:52:56.923Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127458","","","","survey-template","3","158964","0.0-2.0-1.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:55:04.384Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""1"",""Q05"":""1"",""Q06"":""2"",""Q07"":""1"",""Q08"":""1"",""Q09"":""4"",""Q10"":""3"",""Q11"":""3"",""Q12"":""1"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""0"",""Q17"":""2"",""Q18"":""3"",""Q19"":""3"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q11"",""Q12"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22""]","[9857.20000076294,11129.5,15448.5,21302.39999961853,24230.60000038147,30854.70000076294,37365.60000038147,40002.30000114441,42799.5,47441.39999961853,50562.20000076294,54354.10000038147,58917,60710.30000114441,66057.89999961853,71055.70000076294,78788.70000076294,82296,86222.10000038147,88884,103372.5,108324.30000114441,111965.60000038147,119189.5,125842.30000114441]","[]","[0,9857.20000076294,11129.5,15448.5,20126,21302.39999961853,24230.60000038147,30854.70000076294,37365.60000038147,40002.30000114441,42799.5,47441.39999961853,50562.20000076294,54354.10000038147,58917,60710.30000114441,66057.89999961853,69686.80000114441,71055.70000076294,78788.70000076294,82296,86222.10000038147,87850,88884,103372.5,108324.30000114441,111965.60000038147,119189.5,125842.30000114441,127456.20000076294]","0.45454545454545453","0.47619047619047616","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22449.10000038147","","","","survey-template","4","181414","0.0-2.0-2.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:55:26.834Z","","{""Q01"":""2"",""Q02"":""5"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q03""]","[10298.89999961853,13716.60000038147,19439.60000038147,21247.29999923706]","[]","[10298.89999961853,13716.60000038147,19439.60000038147,21247.29999923706,22448.5]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56329","","","","instructions","5","237744","0.0-3.0-0.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":56329}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21320","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","52","html-slider-response","6","259065","0.0-4.0-0.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:56:44.485Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4325","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","50","html-slider-response","7","263391","0.0-4.0-1.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:56:48.811Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14831","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","53","html-slider-response","8","278224","0.0-4.0-2.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:57:03.644Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","305468","0.0-5.0-0.0","94","1","2025-07-16 09:52:23","1f75c3e559b7213887762d5229550c2b","93.39.141.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","it-IT,it;q=0.9,en-US;q=0.8,en;q=0.7","5daae19f8a06b60016d1bc32","686e379bc37a29ffa5cdc956","6877764ef99ad94248d99458","1","1","5daae19f8a06b60016d1bc32","1","1","2025-07-16T09:57:30.888Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","279615.8","4042.1","9044.2","24237.1","1","4","8","6","2","8","8","8","0","0.06060606060606061","2016.9","3000","735","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[415.57142857142856,415.47767857142856,0.1,415.57142857142856,415.47767857142856,104.4,415.57142857142856,415.47767857142856,208.3,415.57142857142856,415.47767857142856,308.9,415.57142857142856,415.47767857142856,409.1,415.57142857142856,415.47767857142856,509.4,415.57142857142856,415.47767857142856,616.6,415.57142857142856,415.47767857142856,718.5,415.57142857142856,415.47767857142856,818.7,415.57142857142856,415.47767857142856,918.9,415.57142857142856,415.47767857142856,1020,415.57142857142856,415.47767857142856,1124.1,415.57142857142856,415.47767857142856,1233.4,196.57142857142856,194.47767857142856,1333.6,98.57142857142857,93.47767857142857,1434.3,81.57142857142857,53.47767857142857,1539.7,76.57142857142857,43.47767857142857,1643.8,75.57142857142857,55.47767857142857,1744,75.57142857142857,72.47767857142857,1844.2,75.57142857142857,72.47767857142857,1945,75.57142857142857,72.47767857142857,2050.8,75.57142857142857,72.47767857142857,2154.2,75.57142857142857,72.47767857142857,2258.7,75.57142857142857,72.47767857142857,2359.1,75.57142857142857,72.47767857142857,2467.2,75.57142857142857,72.47767857142857,2567.8,-89.42857142857143,151.47767857142856,2668.2,-266.42857142857144,241.47767857142856,2768.2,-266.42857142857144,241.47767857142856,2873.6,-266.42857142857144,241.47767857142856,2973.8,-266.42857142857144,241.47767857142856,3074.5,-266.42857142857144,241.47767857142856,3179,-266.42857142857144,241.47767857142856,3285,-266.42857142857144,241.47767857142856,3385.7,-266.42857142857144,241.47767857142856,3488.3,-266.42857142857144,241.47767857142856,3589.6,-266.42857142857144,241.47767857142856,3694.1,-266.42857142857144,241.47767857142856,3794.2,-266.42857142857144,241.47767857142856,3901.9,-266.42857142857144,241.47767857142856,4003.7,-266.42857142857144,241.47767857142856,4108.6,-266.42857142857144,241.47767857142856,4218.3,-266.42857142857144,241.47767857142856,4319.1,-266.42857142857144,241.47767857142856,4424.1,-266.42857142857144,241.47767857142856,4524.4,-266.42857142857144,241.47767857142856,4630,-266.42857142857144,241.47767857142856,4735,-266.42857142857144,241.47767857142856,4835.1,-266.42857142857144,241.47767857142856,4938.6]","[1592.1,1592.1,1000,0,592.1,""smooth"",""left"",""left"",""good_move"",4037.7,2445.2,2057,1592.5,388.2,""smooth"",""up"",""up"",""good_move"",7186.8,3148.8,2676.7,4038,472.1,""smooth"",""left"",""left"",""good_move"",9846.1,2659.1,2260.9,7187,398.2,""smooth"",""up"",""up"",""good_move"",12689.8,2843.4,2467.8,9846.4,375.6,""smooth"",""left"",""left"",""good_move"",15090.6,2400.6,2067,12690,333.6,""smooth"",""up"",""up"",""good_move""]","",""
