"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3364","1752661547961","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3367","0.0-0.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:25:47.962Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4407","","","","fullscreen","1","8787","0.0-1.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10714","1752661564097","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","19502","0.0-2.0-0.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:26:04.098Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76626","","","","survey-template","3","96133","0.0-2.0-1.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:27:20.728Z","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""4"",""Q04"":""4"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""0"",""Q09"":""3"",""Q10"":""3"",""Q11"":""4"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""3"",""Q16"":""0"",""Q17"":""5"",""Q18"":""4"",""Q19"":""3"",""Q20"":""4"",""Q21"":""4"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q08"",""Q09"",""Q10"",""Q11"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4480.899999976158,6555.099999904633,11153.599999904633,13787.199999928474,15705.199999928474,17823.699999928474,20656.799999952316,22841.699999928474,29151.699999928474,30423.099999904633,31980.899999976158,33548.89999997616,35379,36395.5,40157.299999952316,41257,43651.699999928474,51711.09999990463,53079.799999952316,59863.39999997616,61567.09999990463,64261.09999990463,68105.39999997616,72053.39999997616,75900.29999995232]","[]","[0.19999992847442627,4480.899999976158,6555.099999904633,11153.599999904633,13120.699999928474,13787.199999928474,15705.199999928474,17823.699999928474,20656.799999952316,22841.699999928474,29151.699999928474,30423.099999904633,31980.899999976158,33548.89999997616,35379,36395.5,40157.299999952316,41257,43651.699999928474,51711.09999990463,53079.799999952316,59863.39999997616,61567.09999990463,64261.09999990463,68105.39999997616,72053.39999997616,75900.29999995232,76622.09999990463]","0.45454545454545453","0.47619047619047616","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8502.5","","","","survey-template","4","104637","0.0-2.0-2.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:27:29.233Z","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""5""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3211.100000023842,6161,8089.899999976158]","[]","[3211.100000023842,6161,8089.899999976158,8501.699999928474]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19564","","","","instructions","5","124202","0.0-3.0-0.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":19564}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6637","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","36","html-slider-response","6","130844","0.0-4.0-0.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:27:55.439Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3506","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","28","html-slider-response","7","134351","0.0-4.0-1.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:27:58.946Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3068","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","19","html-slider-response","8","137419","0.0-4.0-2.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:28:02.014Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","161434","0.0-5.0-0.0","100","1","2025-07-16 10:25:35","1f75c3e559b7213887762d5229550c2b","90.212.166.118","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","59dd90f6e75b450001a68dac","686e379bc37a29ffa5cdc956","68777d4bc6cda202605225d2","1","1","59dd90f6e75b450001a68dac","1","1","2025-07-16T10:28:26.029Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","146222.7","2696","7701.3","21007.7","1","4","8","6","1","1","1","1","0","0.007575757575757576","1165.9","3000","1190","[""up"",""right""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[423.57142857142856,421.47767857142856,0.6,423.57142857142856,421.47767857142856,105.1,423.57142857142856,421.47767857142856,205.4,423.57142857142856,421.47767857142856,310.1,423.57142857142856,421.47767857142856,416.5,424.57142857142856,418.47767857142856,520.1,548.5714285714286,336.47767857142856,624.9,616.5714285714286,222.47767857142856,733,640.5714285714286,175.47767857142856,834.8,732.5714285714286,121.47767857142857,940.5,759.5714285714286,102.47767857142857,1050,760.5714285714286,101.47767857142857,1155.9,760.5714285714286,101.47767857142857,1256.5,746.5714285714286,136.47767857142856,1359.5,617.5714285714286,339.47767857142856,1460.5,617.5714285714286,351.47767857142856,1560.9,617.5714285714286,351.47767857142856,1666.1,617.5714285714286,351.47767857142856,1770.1,617.5714285714286,351.47767857142856,1875.8,617.5714285714286,351.47767857142856,1982.5,617.5714285714286,351.47767857142856,2082.9,617.5714285714286,351.47767857142856,2184.6,617.5714285714286,351.47767857142856,2289.9,617.5714285714286,351.47767857142856,2390.2,617.5714285714286,351.47767857142856,2490.4,617.5714285714286,351.47767857142856,2599.3,617.5714285714286,351.47767857142856,2699.4,617.5714285714286,351.47767857142856,2805.5,617.5714285714286,351.47767857142856,2909.7,617.5714285714286,351.47767857142856,3011.6,617.5714285714286,351.47767857142856,3116.2,617.5714285714286,351.47767857142856,3220,617.5714285714286,351.47767857142856,3324.6,617.5714285714286,351.47767857142856,3425.3,617.5714285714286,351.47767857142856,3532.7,617.5714285714286,351.47767857142856,3632.9,617.5714285714286,351.47767857142856,3733.2,617.5714285714286,351.47767857142856,3835.4,617.5714285714286,351.47767857142856,3939.9,617.5714285714286,351.47767857142856,4040.1,617.5714285714286,351.47767857142856,4150.1,617.5714285714286,351.47767857142856,4255.8,617.5714285714286,351.47767857142856,4360.4,617.5714285714286,351.47767857142856,4465.9,617.5714285714286,351.47767857142856,4570.3,617.5714285714286,351.47767857142856,4675.1,617.5714285714286,351.47767857142856,4775.4,617.5714285714286,351.47767857142856,4882.8,617.5714285714286,351.47767857142856,4983]","[1462.3,1462.3,1000,0,462.3,""smooth"",""up"",""up"",""good_move"",4428.3,2965.7,2535.5,1462.6,430.2,""smooth"",""up"",""up"",""good_move"",10493.1,6064.7,2634.7,7243.9,614.5,""smooth"",""right"",""right"",""good_move"",13196.5,2703,2258.6,10493.5,444.4,""smooth"",""right"",""right"",""good_move""]","",""
