"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"2134","1752667514453","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2144","0.0-0.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:05:14.462Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"902","","","","fullscreen","1","4071","0.0-1.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4275","1752667520669","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8355","0.0-2.0-0.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:05:20.672Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124935","","","","survey-template","3","133341","0.0-2.0-1.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:07:25.657Z","","{""Q01"":""2"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""0"",""Q12"":""2"",""Q13"":""5"",""Q14"":""3"",""Q15"":""1"",""Q16"":""1"",""Q17"":""2"",""Q18"":""0"",""Q19"":""1"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q12"",""Q13"",""Q14"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[10870.399999976158,15461.600000023842,16643.5,24457.399999976158,27090.600000023842,29578.299999952316,33427.699999928474,36742,39328.699999928474,43555.39999997616,46051.10000002384,48659.39999997616,51211.60000002384,55034,57181.299999952316,60322.60000002384,90268,91945.5,95303.19999992847,98321.79999995232,101085.89999997616,103287.5,106784.29999995232,108201.19999992847,114693.60000002384,120150.69999992847,122896.19999992847]","[]","[0.7999999523162842,10870.399999976158,15461.600000023842,16643.5,24457.399999976158,27090.600000023842,29578.299999952316,33427.699999928474,36742,39328.699999928474,43555.39999997616,46051.10000002384,48659.39999997616,51211.60000002384,55034,57181.299999952316,60322.60000002384,90268,91945.5,95303.19999992847,98321.79999995232,101085.89999997616,103287.5,106784.29999995232,108201.19999992847,114693.60000002384,120150.69999992847,122896.19999992847,124902.5]","0.4090909090909091","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13133.699999928474","","","","survey-template","4","146502","0.0-2.0-2.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:07:38.819Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2731.1999999284744,8897.199999928474,11946.799999952316]","[]","[2731.1999999284744,8897.199999928474,11946.799999952316,13130.199999928474]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1296","","","","instructions","5","147814","0.0-3.0-0.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1295}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12841","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","82","html-slider-response","6","160664","0.0-4.0-0.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:07:52.981Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3922","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","97","html-slider-response","7","164598","0.0-4.0-1.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:07:56.915Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3199","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","167803","0.0-4.0-2.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:08:00.119Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","210561","0.0-5.0-0.0","109","1","2025-07-16 12:05:10","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36","WebKit","Chrome","128.0.0.0","Linux","","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:08:42.877Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","169722.2","7536.6","12713.6","39725.6","1","4","4","6","1","-1","-1","0","0","0","3431.5","3000","-1970","[""down"",""right""]","{""num_key_presses"":0,""num_perfect"":0,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":0}","[598.2857142857143,578.0825892857143,1.1,598.2857142857143,578.0825892857143,265.7,598.2857142857143,578.0825892857143,475,598.2857142857143,578.0825892857143,611.1,598.2857142857143,578.0825892857143,833.8,598.2857142857143,578.0825892857143,961.1,598.2857142857143,578.0825892857143,1192.8,598.2857142857143,578.0825892857143,1418.5,598.2857142857143,578.0825892857143,1643.2,598.2857142857143,578.0825892857143,1758.2,598.2857142857143,578.0825892857143,1957.4,598.2857142857143,578.0825892857143,2230,598.2857142857143,578.0825892857143,2405.5,598.2857142857143,578.0825892857143,2628.4,598.2857142857143,578.0825892857143,2784.2,598.2857142857143,578.0825892857143,2993.3,598.2857142857143,578.0825892857143,3162.9,598.2857142857143,578.0825892857143,3409.8,1086.2857142857142,1106.0825892857142,3732.3,1086.2857142857142,1106.0825892857142,3934.8,1086.2857142857142,1106.0825892857142,4161.9,1086.2857142857142,1106.0825892857142,4436.4,1086.2857142857142,1106.0825892857142,4638.6,1086.2857142857142,1106.0825892857142,4939.2]","[]"
