"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"18848","1752667935715","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","18852","0.0-0.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:12:15.717Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1136","","","","fullscreen","1","20994","0.0-1.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023","1752667939883","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","23019","0.0-2.0-0.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:12:19.883Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62972.700000047684","","","","survey-template","3","86003","0.0-2.0-1.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:13:22.867Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""0"",""Q12"":""2"",""Q13"":""5"",""Q14"":""1"",""Q15"":""1"",""Q16"":""1"",""Q17"":""1"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2974.5,5890.700000047684,7349,9849.799999952316,11631.700000047684,13607,15077.200000047684,16655.599999904633,23576,25575.299999952316,26848.5,29240.299999952316,32162.299999952316,35016,37459.200000047684,44647.39999985695,45932,49726.5,50866.200000047684,55984.09999990463,58153.700000047684,61590.5]","[]","[0.09999990463256836,2974.5,3997.7999999523163,5890.700000047684,7349,9849.799999952316,11631.700000047684,13607,15077.200000047684,16655.599999904633,18101.5,23576,25575.299999952316,26848.5,29240.299999952316,32162.299999952316,35016,37459.200000047684,38312.39999985695,44647.39999985695,45932,47682.39999985695,48267,49726.5,50866.200000047684,54517.59999990463,55984.09999990463,58153.700000047684,61590.5,62967.09999990463]","0.5","0.42857142857142855","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10483.700000047684","","","","survey-template","4","96490","0.0-2.0-2.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:13:33.355Z","","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2857.2999999523163,4304.099999904633,9415]","[]","[2857.2999999523163,4304.099999904633,6828.700000047684,9415,10482.5]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8771","","","","instructions","5","105264","0.0-3.0-0.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8771}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6969","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","91","html-slider-response","6","112236","0.0-4.0-0.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:13:49.100Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4041","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","96","html-slider-response","7","116279","0.0-4.0-1.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:13:53.143Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2809","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","99","html-slider-response","8","119091","0.0-4.0-2.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:13:55.955Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","139276","0.0-5.0-0.0","110","1","2025-07-16 12:11:54","1f75c3e559b7213887762d5229550c2b","175.176.13.53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f0831414fd6e9e51e08708","686e379bc37a29ffa5cdc956","6877954fb8163a289cf88d19","1","1","65f0831414fd6e9e51e08708","1","1","2025-07-16T12:14:16.140Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","123259.5","1815.6","6816.9","17178.6","1","4","4","6","1","-1","-1","0","0","0","1897.6","3000","-2985","[""down"",""left""]","{""num_key_presses"":3,""num_perfect"":3,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":3}","[291.22232142857143,300.12857142857143,0.1,291.22232142857143,300.12857142857143,101.1,291.22232142857143,300.12857142857143,213.9,291.22232142857143,300.12857142857143,316.4,291.22232142857143,300.12857142857143,421.6,291.22232142857143,300.12857142857143,526.5,291.22232142857143,300.12857142857143,631.9,-67.77767857142857,591.1285714285714,735.1,-90.77767857142857,627.1285714285714,835.2,-86.77767857142857,626.1285714285714,935.2,-31.777678571428574,609.1285714285714,1035.9,-15.777678571428574,597.1285714285714,1136.2,-11.777678571428574,584.1285714285714,1241.4,-11.777678571428574,584.1285714285714,1343.2,-11.777678571428574,584.1285714285714,1446,29.222321428571426,563.1285714285714,1548.3,29.222321428571426,563.1285714285714,1651.8,30.222321428571426,563.1285714285714,1758.2,30.222321428571426,563.1285714285714,1858.6,30.222321428571426,563.1285714285714,1961.6,30.222321428571426,563.1285714285714,2072.6,30.222321428571426,563.1285714285714,2176.2,30.222321428571426,563.1285714285714,2276.2,30.222321428571426,563.1285714285714,2376.2,30.222321428571426,563.1285714285714,2476.3,30.222321428571426,563.1285714285714,2581.3,189.22232142857143,489.12857142857143,2681.5,329.22232142857143,466.12857142857143,2781.6,356.22232142857143,469.12857142857143,2881.9,337.22232142857143,444.12857142857143,2986.2,313.22232142857143,421.12857142857143,3086.7,276.22232142857143,426.12857142857143,3191.6,275.22232142857143,427.12857142857143,3291.8,274.22232142857143,429.12857142857143,3395.6,274.22232142857143,429.12857142857143,3501.9,274.22232142857143,429.12857142857143,3601.9,274.22232142857143,429.12857142857143,3707,274.22232142857143,429.12857142857143,3811.8,274.22232142857143,429.12857142857143,3912,274.22232142857143,429.12857142857143,4016.4,274.22232142857143,429.12857142857143,4116.4,274.22232142857143,429.12857142857143,4222.4,274.22232142857143,429.12857142857143,4322.3,274.22232142857143,429.12857142857143,4422.5,274.22232142857143,429.12857142857143,4526,274.22232142857143,429.12857142857143,4626,274.22232142857143,429.12857142857143,4731,274.22232142857143,429.12857142857143,4831.7,274.22232142857143,429.12857142857143,4936.4]","[1697.4,1697.4,1000,0.1,697.4,""smooth"",""down"",""down"",""good_move"",5770.7,4072.6,2399.9,1698.1,1672.7,""smooth"",""down"",""down"",""good_move"",8155.7,2384.7,1842.2,5771,542.5,""smooth"",""left"",""left"",""good_move""]","",""
