"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1423","1752672497571","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1424","0.0-0.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:28:17.572Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4686","","","","fullscreen","1","7117","0.0-1.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1626","1752672504891","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8744","0.0-2.0-0.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:28:24.891Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75256.10000000003","","","","survey-template","3","84003","0.0-2.0-1.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:29:40.150Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""1"",""Q17"":""0"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q02"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q05"",""Q04"",""Q04"",""Q05"",""Q08"",""Q09"",""Q10"",""Q11"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2998.100000000035,4525.900000000023,10214.300000000047,15229.900000000023,15974.100000000035,19725.5,22557.600000000035,24646.100000000035,26246,30021.400000000023,30614,32046.100000000035,32637.600000000035,35342,37702,38518.100000000035,42973.90000000002,45038,46278.100000000035,49622,51486.100000000035,54534,59342,62934,63870.100000000035,68126,70918,73653.60000000003,74598]","[]","[0,2998.100000000035,4525.900000000023,10214.300000000047,15229.900000000023,15974.100000000035,19725.5,21870.100000000035,22557.600000000035,24646.100000000035,26246,30021.400000000023,30614,32046.100000000035,32637.600000000035,35342,37702,38518.100000000035,42973.90000000002,45038,46278.100000000035,49622,51486.100000000035,54534,59342,62934,63870.100000000035,68126,70918,72902.20000000001,73653.60000000003,74598,75254.10000000003]","0.5454545454545454","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24692.400000000023","","","","survey-template","4","108697","0.0-2.0-2.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:30:04.844Z","","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q02"",""Q03""]","[10115.799999999988,12987.799999999988,13675.299999999988,15443.799999999988,18019.79999999999]","[]","[10115.799999999988,12987.799999999988,13675.299999999988,15443.799999999988,17427.79999999999,18019.79999999999,24691.900000000023]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18631","","","","instructions","5","127328","0.0-3.0-0.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18631}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3567","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","52","html-slider-response","6","130896","0.0-4.0-0.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:30:27.043Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4255","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","49","html-slider-response","7","135152","0.0-4.0-1.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:30:31.299Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3703","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","50","html-slider-response","8","138856","0.0-4.0-2.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:30:35.003Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","167185","0.0-5.0-0.0","115","1","2025-07-16 13:28:13","1f75c3e559b7213887762d5229550c2b","82.132.244.142","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","676054ef296caad582258e02","68764874ac79eee8c1d4cb03","6877a8da78b485eba3327537","2","0","676054ef296caad582258e02","2","0","2025-07-16T13:31:03.333Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","141031.5","1736.7","6740.9","25317.8","1","4","4","6","2","4","4","4","0","0.030303030303030304","1149.6","3000","1105","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[292.22232142857143,296.12857142857143,0.3,292.22232142857143,296.12857142857143,104.1,305.22232142857143,294.12857142857143,204.1,304.22232142857143,290.12857142857143,309.1,303.22232142857143,291.12857142857143,416.4,301.22232142857143,292.12857142857143,523.3,247.22232142857143,339.12857142857143,624.1,33.222321428571426,612.1285714285714,724.3,196.22232142857143,493.12857142857143,829.4,505.22232142857143,107.12857142857143,930.5,538.2223214285714,79.12857142857143,1049.1,543.2223214285714,78.12857142857143,1150.7,543.2223214285714,78.12857142857143,1254,543.2223214285714,78.12857142857143,1356.8,533.2223214285714,81.12857142857143,1457.2,433.22232142857143,234.12857142857143,1559.1,360.22232142857143,338.12857142857143,1659.3,350.22232142857143,345.12857142857143,1766,318.22232142857143,343.12857142857143,1869.1,329.22232142857143,332.12857142857143,1976.6,337.22232142857143,328.12857142857143,2077.1,338.22232142857143,328.12857142857143,2182.5,338.22232142857143,328.12857142857143,2283.9,338.22232142857143,328.12857142857143,2389.1,338.22232142857143,328.12857142857143,2489.2,338.22232142857143,328.12857142857143,2589.6,338.22232142857143,328.12857142857143,2698.7,338.22232142857143,328.12857142857143,2798.8,338.22232142857143,328.12857142857143,2904.2,338.22232142857143,328.12857142857143,3009.4,338.22232142857143,328.12857142857143,3114.5,338.22232142857143,328.12857142857143,3215.2,338.22232142857143,328.12857142857143,3315.3,338.22232142857143,328.12857142857143,3419.6,338.22232142857143,328.12857142857143,3525.6,338.22232142857143,328.12857142857143,3632,338.22232142857143,328.12857142857143,3734.3,338.22232142857143,328.12857142857143,3834.3,338.22232142857143,328.12857142857143,3946.4,338.22232142857143,328.12857142857143,4048.3,338.22232142857143,328.12857142857143,4148.7,338.22232142857143,328.12857142857143,4254.1,338.22232142857143,328.12857142857143,4359.3,338.22232142857143,328.12857142857143,4465,338.22232142857143,328.12857142857143,4569.4,338.22232142857143,328.12857142857143,4669.5,338.22232142857143,328.12857142857143,4774.3,338.22232142857143,328.12857142857143,4881.7,338.22232142857143,328.12857142857143,4981.8]","[1065,1065,1000,0,65,""smooth"",""right"",""right"",""good_move"",3677.3,2612,2217.4,1065.3,394.6,""smooth"",""right"",""right"",""good_move"",6848.5,3171.1,2755.4,3677.4,415.7,""smooth"",""right"",""right"",""good_move"",9208.4,2359.6,1930.9,6848.8,428.7,""smooth"",""up"",""up"",""good_move"",15622.4,6413.7,2155.7,13025.8,440.9,""smooth"",""up"",""up"",""good_move"",18456.4,2833.8,2416.3,15622.6,417.5,""smooth"",""up"",""up"",""good_move""]","",""
