"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"12294","1752685169730","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","12300","0.0-0.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T16:59:29.735Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7267","","","","fullscreen","1","20643","0.0-1.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3700","1752685181802","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","24370","0.0-2.0-0.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T16:59:41.803Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67342.79999999702","","","","survey-template","3","91759","0.0-2.0-1.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T17:00:49.193Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""2"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1"",""Q11"":""3"",""Q12"":""1"",""Q13"":""5"",""Q14"":""4"",""Q15"":""5"",""Q16"":""1"",""Q17"":""1"",""Q18"":""0"",""Q19"":""4"",""Q20"":""4"",""Q21"":""4"",""Q22"":""4""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3705.2999999970198,5131.70000000298,6380.5,9000.5,13967.59999999404,15524.29999999702,17086,18778.79999999702,23333.29999999702,25162.5,27481.79999999702,29590.29999999702,34475.89999999106,36150.29999999702,43476.70000000298,45198,46727.20000000298,48720.29999999702,58934.09999999404,62144.79999999702,64423,66032.29999999702]","[]","[6.200000002980232,3705.2999999970198,5131.70000000298,6380.5,9000.5,12380.70000000298,13967.59999999404,15524.29999999702,17086,18778.79999999702,23333.29999999702,25162.5,27481.79999999702,29590.29999999702,32989,34475.89999999106,36150.29999999702,41929,43476.70000000298,45198,46727.20000000298,48720.29999999702,57502,58934.09999999404,62144.79999999702,64423,66032.29999999702,67328.79999999702]","0.2727272727272727","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16843.70000000298","","","","survey-template","4","108610","0.0-2.0-2.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T17:01:06.044Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q01"",""Q03""]","[4717.0999999940395,6624.5999999940395,8739.79999999702,12878.70000000298,14690.29999999702]","[]","[4717.0999999940395,6624.5999999940395,8739.79999999702,9598,12878.70000000298,14690.29999999702,15694.29999999702,16839.89999999106]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6458","","","","instructions","5","115072","0.0-3.0-0.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6457}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6657","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","121761","0.0-4.0-0.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T17:01:19.195Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4762","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","126527","0.0-4.0-1.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T17:01:23.961Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4317","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","46","html-slider-response","8","130847","0.0-4.0-2.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T17:01:28.280Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","174362","0.0-5.0-0.0","122","1","2025-07-16 16:59:15","1f75c3e559b7213887762d5229550c2b","105.0.5.233","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,zu;q=0.7,es;q=0.6","6129dca465e41b5ae1b262da","68764874ac79eee8c1d4cb03","6877da4e82b5cd19fb2d5dc7","2","0","6129dca465e41b5ae1b262da","2","0","2025-07-16T17:02:11.795Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","134515.1","4050.5","9058.1","40499.9","1","4","4","6","2","4","3","3","0","0.022727272727272728","1544.6","3000","905","[""left"",""up""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":3,""num_good_moves"":7}","[297.22232142857143,296.12857142857143,5.1,297.22232142857143,296.12857142857143,114.7,297.22232142857143,296.12857142857143,215.3,297.22232142857143,296.12857142857143,324.7,297.22232142857143,296.12857142857143,425.7,297.22232142857143,296.12857142857143,526,297.22232142857143,296.12857142857143,639.4,297.22232142857143,296.12857142857143,740.5,297.22232142857143,296.12857142857143,840.7,240.22232142857143,238.12857142857143,945.9,102.22232142857143,109.12857142857143,1049.7,72.22232142857143,76.12857142857143,1155.1,70.22232142857143,73.12857142857143,1256.1,69.22232142857143,73.12857142857143,1364.7,69.22232142857143,73.12857142857143,1471.7,69.22232142857143,73.12857142857143,1576.7,69.22232142857143,73.12857142857143,1679.8,69.22232142857143,73.12857142857143,1788.2,69.22232142857143,73.12857142857143,1888.3,69.22232142857143,73.12857142857143,1988.6,69.22232142857143,73.12857142857143,2097,69.22232142857143,73.12857142857143,2197.2,69.22232142857143,73.12857142857143,2300.6,69.22232142857143,73.12857142857143,2408.1,69.22232142857143,73.12857142857143,2513,69.22232142857143,73.12857142857143,2618.5,69.22232142857143,73.12857142857143,2718.7,69.22232142857143,73.12857142857143,2827.2,69.22232142857143,73.12857142857143,2938.8,69.22232142857143,73.12857142857143,3046.5,69.22232142857143,73.12857142857143,3157.9,69.22232142857143,73.12857142857143,3261.8,69.22232142857143,73.12857142857143,3370.9,69.22232142857143,73.12857142857143,3470.9,69.22232142857143,73.12857142857143,3577.9,69.22232142857143,73.12857142857143,3686.4,69.22232142857143,73.12857142857143,3792.3,69.22232142857143,73.12857142857143,3895.2,69.22232142857143,73.12857142857143,3995.8,69.22232142857143,73.12857142857143,4103.1,69.22232142857143,73.12857142857143,4203.1,69.22232142857143,73.12857142857143,4306.3,69.22232142857143,73.12857142857143,4410.7,69.22232142857143,73.12857142857143,4524.5,69.22232142857143,73.12857142857143,4627.9,69.22232142857143,73.12857142857143,4733.9,69.22232142857143,73.12857142857143,4834.6,69.22232142857143,73.12857142857143,4942.1]","[1435.5,1435.5,1000,0.1,435.5,""smooth"",""up"",""up"",""good_move"",8511.5,7070.8,2298.9,5827.3,385.3,""smooth"",""up"",""up"",""good_move"",12122.8,3610.3,3220.7,8512.6,389.5,""smooth"",""up"",""up"",""good_move"",14821.6,2697.2,2354,12124.6,343.1,""while_blue"",""left"",""down"",""bad_move"",17754.4,2923.8,2275,14830.6,648.8,""smooth"",""left"",""left"",""good_move"",20607.5,2848.2,2380.6,17759.4,467.5,""smooth"",""up"",""up"",""good_move"",27406.6,6798.3,2276.2,24709,421.5,""smooth"",""left"",""left"",""good_move"",31304.6,3897,3418.5,27407.7,478.4,""smooth"",""left"",""left"",""good_move""]","",""
