"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3928","1752690398342","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3932","0.0-0.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:26:38.342Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"886","","","","fullscreen","1","5832","0.0-1.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1090","1752690401333","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","6923","0.0-2.0-0.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:26:41.333Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61990.5","","","","survey-template","3","68917","0.0-2.0-1.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:27:43.327Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q04"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7637.900000095367,8478.100000143051,10029.799999952316,11022.100000143051,11742.400000095367,14230.700000047684,15461.600000143051,16742,18062.299999952316,19341.900000095367,20581.900000095367,24162,24897.5,25953.799999952316,29098.10000014305,32937.60000014305,37369.799999952316,40833.799999952316,41562.5,42642.299999952316,51785.90000009537,55121,58066.200000047684,60873.90000009537]","[]","[0.10000014305114746,6166.400000095367,7637.900000095367,8478.100000143051,9078,9494.299999952316,10029.799999952316,11022.100000143051,11742.400000095367,14230.700000047684,15461.600000143051,16742,18062.299999952316,19341.900000095367,20581.900000095367,24162,24897.5,25953.799999952316,26730.5,29098.10000014305,32937.60000014305,37369.799999952316,39754,40833.799999952316,41562.5,42642.299999952316,51785.90000009537,55121,58066.200000047684,60873.90000009537,61985.799999952316]","0.7272727272727273","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13957.299999952316","","","","survey-template","4","82876","0.0-2.0-2.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:27:57.286Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3042.9000000953674,7856,13213.400000095367]","[]","[3042.9000000953674,7856,13213.400000095367,13956.599999904633]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27573","","","","instructions","5","110450","0.0-3.0-0.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":27573}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3407","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","113859","0.0-4.0-0.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:28:28.269Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4815","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","118674","0.0-4.0-1.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:28:33.084Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4332","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","25","html-slider-response","8","123007","0.0-4.0-2.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:28:37.417Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","163665","0.0-5.0-0.0","123","1","2025-07-16 18:26:30","1f75c3e559b7213887762d5229550c2b","31.21.169.6","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,nl;q=0.8","6698f8ca0354d4ef9692bf7a","683db7602f5db6a34d12d064","6877eec0c7f76931ab6d0606","1","6698f8ca0354d4ef9692bf7a","1","","2025-07-16T18:29:18.075Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","128990.3","6373.6","11376.1","37654.8","1","4","4","6","2","4","4","4","0","0.030303030303030304","5002.5","3000","190","[""up"",""right""]","{""num_key_presses"":8,""num_perfect"":8,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":7}","[416.5714133126395,420.32142761775424,0.1,416.5714133126395,420.32142761775424,101.7,416.5714133126395,420.32142761775424,202.4,416.5714133126395,420.32142761775424,302.8,416.5714133126395,420.32142761775424,407.7,416.5714133126395,420.32142761775424,512.5,416.5714133126395,420.32142761775424,613,416.5714133126395,420.32142761775424,717.8,416.5714133126395,420.32142761775424,822.1,416.5714133126395,420.32142761775424,922.2,416.5714133126395,420.32142761775424,1027.8,416.5714133126395,420.32142761775424,1132.7,416.5714133126395,420.32142761775424,1233,416.5714133126395,420.32142761775424,1333.1,416.5714133126395,420.32142761775424,1437,416.5714133126395,420.32142761775424,1537.4,416.5714133126395,420.32142761775424,1641.7,416.5714133126395,420.32142761775424,1742.9,416.5714133126395,420.32142761775424,1847,416.5714133126395,420.32142761775424,1947.8,416.5714133126395,420.32142761775424,2052.1,416.5714133126395,420.32142761775424,2156.8,416.5714133126395,420.32142761775424,2258.4,416.5714133126395,420.32142761775424,2361.8,416.5714133126395,420.32142761775424,2462.4,416.5714133126395,420.32142761775424,2567.2,416.5714133126395,420.32142761775424,2667.7,416.5714133126395,420.32142761775424,2772.6,416.5714133126395,420.32142761775424,2872.6,416.5714133126395,420.32142761775424,2972.6,416.5714133126395,420.32142761775424,3076.9,416.5714133126395,420.32142761775424,3178.2,416.5714133126395,420.32142761775424,3283,416.5714133126395,420.32142761775424,3383,416.5714133126395,420.32142761775424,3487.4,416.5714133126395,420.32142761775424,3591.7,416.5714133126395,420.32142761775424,3692.9,416.5714133126395,420.32142761775424,3797.7,416.5714133126395,420.32142761775424,3898.6,416.5714133126395,420.32142761775424,4002.4,416.5714133126395,420.32142761775424,4102.5,416.5714133126395,420.32142761775424,4203.1,416.5714133126395,420.32142761775424,4306.9,416.5714133126395,420.32142761775424,4407,416.5714133126395,420.32142761775424,4512.6,416.5714133126395,420.32142761775424,4613,416.5714133126395,420.32142761775424,4718.6,416.5714133126395,420.32142761775424,4821.9,416.5714133126395,420.32142761775424,4922]","[1440,1440,1000,0,440,""smooth"",""down"",""down"",""bad_move"",4569.5,3129.2,2762.8,1440.3,366.4,""smooth"",""right"",""right"",""good_move"",7877.9,3307.7,2876.3,4570.2,431.4,""smooth"",""right"",""right"",""good_move"",10848.1,2969.9,2641.4,7878.2,328.5,""smooth"",""right"",""right"",""good_move"",16965.4,6117.1,2600.4,13999.8,365.2,""smooth"",""up"",""up"",""good_move"",20891.2,3925.7,3504.4,16965.5,421.3,""smooth"",""up"",""up"",""good_move"",23862,2970.4,2702.3,20891.6,268.1,""smooth"",""up"",""up"",""good_move"",26189.5,2327.5,2089.8,23862.1,237.7,""smooth"",""up"",""up"",""good_move""]","",""
