"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"20019","1752691942563","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","20023","0.0-0.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:52:22.565Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5294","","","","fullscreen","1","26327","0.0-1.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5984","1752691954854","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","32313","0.0-2.0-0.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:52:34.855Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103858.70000000298","","","","survey-template","3","136179","0.0-2.0-1.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:54:18.721Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""3"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q10""]","[4070.4000000059605,6055,8610.40000000596,14347,15189.59999999404,18279.90000000596,20024,22932.90000000596,25774.59999999404,46156.5,49547.5,51556,57096.70000000298,62073.59999999404,67554.59999999404,70508.40000000596,72734.40000000596,76794.40000000596,79620.70000000298,81214.5,84034.5,90823.5]","[]","[0.20000000298023224,4070.4000000059605,5550.5999999940395,6055,8610.40000000596,14347,15189.59999999404,18279.90000000596,20024,22932.90000000596,25774.59999999404,28677.5,36586.5,46156.5,49547.5,51556,55842.20000000298,57096.70000000298,60788.20000000298,62073.59999999404,67554.59999999404,70508.40000000596,72734.40000000596,76072.40000000596,76794.40000000596,79620.70000000298,81214.5,83305.79999999702,84034.5,90823.5,103852.70000000298]","0.7727272727272727","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19988.70000000298","","","","survey-template","4","156171","0.0-2.0-2.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:54:38.713Z","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7499.600000008941,12777.60000000894,18799.60000000894]","[]","[3619.6000000089407,4491.600000008941,7499.600000008941,12777.60000000894,18799.60000000894,19987.5]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9575","","","","instructions","5","165748","0.0-3.0-0.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9575}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19951","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","185701","0.0-4.0-0.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:55:08.244Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5283","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","190986","0.0-4.0-1.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:55:13.528Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6164","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","197151","0.0-4.0-2.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:55:19.694Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","212515","0.0-5.0-0.0","125","1","2025-07-16 18:51:56","1f75c3e559b7213887762d5229550c2b","216.120.189.119","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","669c1e1fdb95a995eb1d3077","68764874ac79eee8c1d4cb03","6877f490f7896aa95302a383","2","0","669c1e1fdb95a995eb1d3077","2","0","2025-07-16T18:55:35.057Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","208618.2","3298","8301.8","12355.4","1","4","8","6","2","-8","-8","0","0","0","1910.2","3000","-2995","[""up"",""right""]","{""num_key_presses"":0,""num_perfect"":0,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":0}","[296.22232142857143,296.12857142857143,0.4,296.22232142857143,296.12857142857143,108.2,299.22232142857143,299.12857142857143,208.9,353.22232142857143,313.12857142857143,311.2,380.22232142857143,333.12857142857143,413.2,335.22232142857143,360.12857142857143,517.9,292.22232142857143,387.12857142857143,618.4,346.22232142857143,293.12857142857143,719.4,342.22232142857143,286.12857142857143,824,329.22232142857143,300.12857142857143,928.3,307.22232142857143,314.12857142857143,1028.6,316.22232142857143,299.12857142857143,1133.4,441.22232142857143,127.12857142857143,1233.7,538.2223214285714,30.128571428571426,1334.3,562.2223214285714,11.128571428571426,1434.9,563.2223214285714,12.128571428571426,1539.2,558.2223214285714,52.128571428571426,1645.8,551.2223214285714,66.12857142857143,1748,551.2223214285714,63.128571428571426,1848.7,551.2223214285714,63.128571428571426,1953.6,551.2223214285714,63.128571428571426,2053.6,541.2223214285714,90.12857142857143,2159.6,517.2223214285714,147.12857142857143,2261.3,466.22232142857143,220.12857142857143,2361.6,395.22232142857143,312.12857142857143,2463.8,335.22232142857143,367.12857142857143,2568.2,321.22232142857143,376.12857142857143,2674,320.22232142857143,377.12857142857143,2774.1,320.22232142857143,377.12857142857143,2874.1,320.22232142857143,377.12857142857143,2974.3,320.22232142857143,377.12857142857143,3074.4,320.22232142857143,377.12857142857143,3174.4,320.22232142857143,377.12857142857143,3277.6,320.22232142857143,377.12857142857143,3378.5,320.22232142857143,377.12857142857143,3483.8,320.22232142857143,377.12857142857143,3588.3,320.22232142857143,377.12857142857143,3689.2,320.22232142857143,377.12857142857143,3793.9,320.22232142857143,377.12857142857143,3898.4,320.22232142857143,377.12857142857143,3998.9,320.22232142857143,377.12857142857143,4099.1,320.22232142857143,377.12857142857143,4203.9,320.22232142857143,377.12857142857143,4304.4,320.22232142857143,377.12857142857143,4407.8,320.22232142857143,377.12857142857143,4507.9,320.22232142857143,377.12857142857143,4613.6,320.22232142857143,377.12857142857143,4713.6,320.22232142857143,377.12857142857143,4813.7,320.22232142857143,377.12857142857143,4918.1]","[]","",""
