"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3532","1752693750352","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3535","0.0-0.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:22:30.353Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1547","","","","fullscreen","1","6085","0.0-1.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2297","1752693755202","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8384","0.0-2.0-0.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:22:35.202Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62544.699999928474","","","","survey-template","3","70933","0.0-2.0-1.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:23:37.751Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""2"",""Q08"":""1"",""Q09"":""0"",""Q10"":""1"",""Q11"":""1"",""Q12"":""1"",""Q13"":""5"",""Q14"":""2"",""Q15"":""2"",""Q16"":""1"",""Q17"":""2"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""2"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4147.399999976158,5415.899999976158,10829.799999952316,11792.699999928474,13321.699999928474,15204.699999928474,16525.199999928474,18794.299999952316,21942.699999928474,24629.199999928474,26294.5,27225.399999976158,28958.899999976158,31013.599999904633,41388.199999928474,44636.199999928474,45772.5,47995.299999952316,49478.59999990463,53139.5,55260.199999928474,58948.799999952316,61369.09999990463]","[]","[0.19999992847442627,4147.399999976158,5415.899999976158,9896.699999928474,10829.799999952316,11792.699999928474,13321.699999928474,15204.699999928474,16525.199999928474,17795.199999928474,18794.299999952316,21942.699999928474,23947.199999928474,24629.199999928474,26294.5,27225.399999976158,28958.899999976158,31013.599999904633,40556.199999928474,41388.199999928474,42549.59999990463,44636.199999928474,45772.5,47995.299999952316,49478.59999990463,52034.199999928474,53139.5,55260.199999928474,58948.799999952316,61369.09999990463,62540]","0.36363636363636365","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7915.399999976158","","","","survey-template","4","78850","0.0-2.0-2.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:23:45.668Z","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2782.899999976158,4292.5,6724.199999928474]","[]","[2782.899999976158,4292.5,6109.100000023842,6724.199999928474,7914.699999928474]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4720","","","","instructions","5","83571","0.0-3.0-0.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4720}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3940","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","72","html-slider-response","6","87512","0.0-4.0-0.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:23:54.330Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2994","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","68","html-slider-response","7","90506","0.0-4.0-1.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:23:57.325Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3102","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","74","html-slider-response","8","93610","0.0-4.0-2.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:24:00.428Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","126571","0.0-5.0-0.0","126","1","2025-07-16 19:22:25","1f75c3e559b7213887762d5229550c2b","90.220.178.14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6760580745ecb73102f83f3d","68764874ac79eee8c1d4cb03","6877fbe4185cf5565545691a","2","0","6760580745ecb73102f83f3d","2","0","2025-07-16T19:24:33.390Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","95951.4","4361.4","9367","29926.7","1","4","8","6","2","8","8","8","0","0.06060606060606061","1413.2","3000","1415","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[820,803.796875,0.3,820,803.796875,100.6,820,803.796875,200.7,820,803.796875,302.9,820,803.796875,404.5,824,811.796875,533,832,833.796875,636,828,859.796875,739.6,904,935.796875,844.2,904,935.796875,944.7,1038,1049.796875,1051.7,1404,1479.796875,1155.1,1396,1479.796875,1255.1,1416,1479.796875,1360.5,1422,1481.796875,1462.8,1422,1481.796875,1566.8,1424,1471.796875,1670.4,2088,925.796875,1771,2088,925.796875,1880.2,2088,925.796875,1985.5,2088,925.796875,2085.7,2088,925.796875,2190.3,2088,925.796875,2296.7,2088,925.796875,2400.4,2088,925.796875,2505.4,2088,925.796875,2611.6,2088,925.796875,2714.1,2088,925.796875,2814.5,2088,925.796875,2914.5,2088,925.796875,3020.1,2088,925.796875,3120.5,2088,925.796875,3220.5,2088,925.796875,3328.4,2088,925.796875,3429.5,2088,925.796875,3529.7,2088,925.796875,3629.8,2088,925.796875,3735.2,2088,925.796875,3839.5,2088,925.796875,3939.5,2088,925.796875,4039.7,2088,925.796875,4145.9,2088,925.796875,4250,2088,925.796875,4350.1,2088,925.796875,4455.4,2088,925.796875,4561.9,2088,925.796875,4662.5,2088,925.796875,4764.5,2088,925.796875,4870.4,2088,925.796875,4970.4]","[1417.8,1417.8,1000,0,417.8,""smooth"",""right"",""right"",""good_move"",4936.4,3518.4,3069.8,1418,448.6,""smooth"",""right"",""right"",""good_move"",11198.1,6261.4,2967,7794.2,436.9,""smooth"",""right"",""right"",""good_move"",13989.5,2791.2,2343.2,11198.3,448,""smooth"",""down"",""down"",""good_move"",17195.3,3205.5,2703.2,13989.8,502.3,""smooth"",""down"",""down"",""good_move"",20448.6,3253.1,2813.4,17195.5,439.7,""smooth"",""down"",""down"",""good_move""]","",""
