"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3233","1752875123428","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3239","0.0-0.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:45:23.431Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3139","","","","fullscreen","1","7389","0.0-1.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1584","1752875129166","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8974","0.0-2.0-0.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:45:29.166Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80217.10000002384","","","","survey-template","3","89200","0.0-2.0-1.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:46:49.392Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""5"",""Q07"":""5"",""Q08"":""2"",""Q09"":""2"",""Q10"":""4"",""Q11"":""2"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""3"",""Q16"":""1"",""Q17"":""4"",""Q18"":""3"",""Q19"":""3"",""Q20"":""3"",""Q21"":""3"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q10""]","[3352.8000000715256,5009.900000095367,7334.800000071526,8681.700000047684,9589.100000023842,15946.200000047684,17003.200000047684,21897.600000023842,23891.600000023842,36487,40128.40000009537,41155.200000047684,46517.700000047684,50648.10000002384,51623.40000009537,56579.5,59142.700000047684,64432.60000002384,68756.30000007153,69488.40000009537,71695,78197]","[]","[0.20000004768371582,3352.8000000715256,5009.900000095367,6404.700000047684,7334.800000071526,8681.700000047684,9589.100000023842,15946.200000047684,17003.200000047684,19070.100000023842,21897.600000023842,23891.600000023842,25997.900000095367,34807.5,36487,39029.90000009537,40128.40000009537,41155.200000047684,46517.700000047684,48389.60000002384,49121.60000002384,50648.10000002384,51623.40000009537,55073.40000009537,56579.5,58391.10000002384,59142.700000047684,64432.60000002384,67086.80000007153,68756.30000007153,69488.40000009537,70760.90000009537,71695,72551.5,77524.70000004768,78197,80210.30000007153]","0.36363636363636365","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13121.899999976158","","","","survey-template","4","102326","0.0-2.0-2.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:47:02.518Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3599.2000000476837,7291.5,12072.899999976158]","[]","[3090.100000023842,3599.2000000476837,7291.5,10933.799999952316,12072.899999976158,13120.600000023842]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34447","","","","instructions","5","136775","0.0-3.0-0.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":34447}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3507","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","58","html-slider-response","6","140285","0.0-4.0-0.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:47:40.477Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3161","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","23","html-slider-response","7","143448","0.0-4.0-1.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:47:43.640Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3875","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","30","html-slider-response","8","147324","0.0-4.0-2.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:47:47.516Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","168453","0.0-5.0-0.0","133","1","2025-07-18 21:45:19","1f75c3e559b7213887762d5229550c2b","78.137.213.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,es;q=0.6,de;q=0.5,it;q=0.4","66aea8fcd9cd711541bf63e5","686e379bc37a29ffa5cdc956","687ac06410040bee26691cb3","1","1","66aea8fcd9cd711541bf63e5","1","1","2025-07-18T21:48:08.645Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","149750.7","2045.1","7047.2","18122.4","1","4","4","6","1","1","1","1","0","0.007575757575757576","5002.1","3000","1730","[""left"",""up""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[412.8214133126395,419.07142761775424,0.5,412.8214133126395,419.07142761775424,109,522.8214133126395,376.57142761775424,211.4,1070.3214133126396,261.57142761775424,312,1095.3214133126396,251.57142761775424,419,1095.3214133126396,251.57142761775424,524.1,1095.3214133126396,251.57142761775424,629.9,1095.3214133126396,251.57142761775424,734.1,1095.3214133126396,251.57142761775424,839.2,1095.3214133126396,251.57142761775424,946.6,1095.3214133126396,251.57142761775424,1047,1095.3214133126396,251.57142761775424,1153.6,1095.3214133126396,251.57142761775424,1254,1095.3214133126396,251.57142761775424,1360.6,1095.3214133126396,251.57142761775424,1461,1095.3214133126396,251.57142761775424,1562.2,1095.3214133126396,251.57142761775424,1669.1,1095.3214133126396,251.57142761775424,1778.9,1095.3214133126396,251.57142761775424,1881.1,1095.3214133126396,251.57142761775424,1987.9,1095.3214133126396,251.57142761775424,2088.9,1095.3214133126396,251.57142761775424,2193.2,1095.3214133126396,251.57142761775424,2293.2,1095.3214133126396,251.57142761775424,2403.8,1095.3214133126396,251.57142761775424,2507.7,1095.3214133126396,251.57142761775424,2626.3,1095.3214133126396,251.57142761775424,2739.1,1095.3214133126396,251.57142761775424,2841.3,1095.3214133126396,251.57142761775424,2954,1095.3214133126396,251.57142761775424,3057.5,1095.3214133126396,251.57142761775424,3168.7,1095.3214133126396,251.57142761775424,3269,1095.3214133126396,251.57142761775424,3369,1095.3214133126396,251.57142761775424,3473.8,1095.3214133126396,251.57142761775424,3573.8,1095.3214133126396,251.57142761775424,3674.2,1095.3214133126396,251.57142761775424,3775.3,1095.3214133126396,251.57142761775424,3875.4,1095.3214133126396,251.57142761775424,3975.7,1095.3214133126396,251.57142761775424,4075.7,1095.3214133126396,251.57142761775424,4183.4,1095.3214133126396,251.57142761775424,4283.5,1095.3214133126396,251.57142761775424,4388.6,1095.3214133126396,251.57142761775424,4489,1095.3214133126396,251.57142761775424,4595.8,1095.3214133126396,251.57142761775424,4703.8,1095.3214133126396,251.57142761775424,4806.5,1095.3214133126396,251.57142761775424,4907.3]","[1551.2,1551.1,1000,0.1,551.1,""smooth"",""left"",""left"",""good_move"",5294,3742.2,3248.9,1551.9,493.2,""smooth"",""up"",""up"",""good_move"",8120.4,2825.8,2350.2,5294.6,475.6,""smooth"",""up"",""up"",""good_move"",10924,2802.4,2454.5,8121.6,347.9,""smooth"",""left"",""left"",""good_move""]","",""
