"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1890","1753090147028","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1894","0.0-0.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:29:07.032Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5413","","","","fullscreen","1","8316","0.0-1.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4962","1753090158417","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","13281","0.0-2.0-0.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:29:18.419Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66661.29999998212","","","","survey-template","3","79953","0.0-2.0-1.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:30:25.090Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""2"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q21"",""Q22""]","[10133.199999988079,10849.399999976158,13809.59999999404,16018.699999988079,17091.5,19115,22339.69999998808,24165.29999998212,25686.09999999404,28398.79999998212,30789.29999998212,32327.19999998808,33459.09999999404,35612.69999998808,38885.5,41482.59999999404,43716.69999998808,45099.09999999404,46450.79999998212,48966.79999998212,54936.29999998212,58452.39999997616,59063.39999997616,63146]","[]","[0.29999998211860657,8692.59999999404,10133.199999988079,10849.399999976158,12420.899999976158,13809.59999999404,16018.699999988079,17091.5,19115,22339.69999998808,24165.29999998212,25686.09999999404,28398.79999998212,30789.29999998212,32327.19999998808,33459.09999999404,35612.69999998808,38885.5,41482.59999999404,43716.69999998808,45099.09999999404,46450.79999998212,48966.79999998212,54936.29999998212,57544.89999997616,58452.39999997616,59063.39999997616,63146,66655.39999997616]","0.5909090909090909","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16130.199999988079","","","","survey-template","4","96086","0.0-2.0-2.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:30:41.223Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7798.5999999940395,12266.699999988079,15005]","[]","[7798.5999999940395,12266.699999988079,15005,16129.299999982119]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49352","","","","instructions","5","145440","0.0-3.0-0.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":49352}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15392","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","84","html-slider-response","6","160835","0.0-4.0-0.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:31:45.972Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5409","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","50","html-slider-response","7","166247","0.0-4.0-1.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:31:51.384Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4297","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","68","html-slider-response","8","170546","0.0-4.0-2.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:31:55.683Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","200737","0.0-5.0-0.0","136","1","2025-07-21 09:29:06","1f75c3e559b7213887762d5229550c2b","71.138.89.249","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f0a7dec44c42c19a6c9f6d9","686e379bc37a29ffa5cdc956","687e071c6d799f84edacabd5","1","1","5f0a7dec44c42c19a6c9f6d9","1","1","2025-07-21T09:32:25.875Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","172900.7","3274.4","8276.1","27180.6","1","4","8","6","2","-8","-8","0","0","0","5001.7","3000","-2710","[""left"",""up""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[416.2929267883301,412.57421788573265,0.3,416.2929267883301,412.57421788573265,101.2,416.2929267883301,412.57421788573265,201.2,416.2929267883301,412.57421788573265,302.1,416.2929267883301,412.57421788573265,410.3,416.2929267883301,412.57421788573265,511.3,416.2929267883301,412.57421788573265,617.2,416.2929267883301,412.57421788573265,727.3,416.2929267883301,412.57421788573265,832.1,416.2929267883301,412.57421788573265,932.1,416.2929267883301,412.57421788573265,1032.2,416.2929267883301,412.57421788573265,1136.5,416.2929267883301,412.57421788573265,1237.7,416.2929267883301,412.57421788573265,1343.6,416.2929267883301,412.57421788573265,1447.4,416.2929267883301,412.57421788573265,1551.4,416.2929267883301,412.57421788573265,1652.3,416.2929267883301,412.57421788573265,1760.2,416.2929267883301,412.57421788573265,1862.1,416.2929267883301,412.57421788573265,1967.5,416.2929267883301,412.57421788573265,2077.2,416.2929267883301,412.57421788573265,2181.9,416.2929267883301,412.57421788573265,2287.3,416.2929267883301,412.57421788573265,2387.8,416.2929267883301,412.57421788573265,2493.2,416.2929267883301,412.57421788573265,2593.3,416.2929267883301,412.57421788573265,2693.6,416.2929267883301,412.57421788573265,2796.7,416.2929267883301,412.57421788573265,2897.6,416.2929267883301,412.57421788573265,3001.5,416.2929267883301,412.57421788573265,3102.1,416.2929267883301,412.57421788573265,3210.3,426.1366767883301,420.77734288573265,3310.5,447.4648017883301,445.38671788573265,3411,455.6679267883301,465.07421788573265,3511,455.6679267883301,469.99609288573265,3611.1,457.3085517883301,471.63671788573265,3712.1,457.3085517883301,471.63671788573265,3816.9,457.3085517883301,471.63671788573265,3926.7,457.3085517883301,471.63671788573265,4031.7,457.3085517883301,471.63671788573265,4137.3,457.3085517883301,471.63671788573265,4243.7,444.1835517883301,456.87109288573265,4345.5,394.9648017883301,428.98046788573265,4448.5,347.3866767883301,419.13671788573265,4552.5,335.9023017883301,414.21484288573265,4659.9,334.2616767883301,414.21484288573265,4760,334.2616767883301,414.21484288573265,4860.6,329.3398017883301,404.37109288573265,4961.8]","[2505,2504.9,1000,0.1,1504.9,""smooth"",""up"",""up"",""good_move"",5716.9,3211.1,2321.9,2505.9,889.1,""smooth"",""left"",""left"",""good_move"",8962,3244.3,2833.7,5718,410.3,""smooth"",""up"",""up"",""good_move"",16064.3,7100.5,3011.3,12609.4,443.6,""smooth"",""up"",""up"",""good_move""]","",""
