"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2823","1753252198781","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2826","0.0-0.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:29:58.782Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5257","","","","fullscreen","1","9086","0.0-1.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4096","1753252209140","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","13184","0.0-2.0-0.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:30:09.140Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101534.90000009537","","","","survey-template","3","114722","0.0-2.0-1.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:31:50.678Z","","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1"",""Q09"":""0"",""Q10"":""1"",""Q11"":""2"",""Q12"":""1"",""Q13"":""5"",""Q14"":""2"",""Q15"":""1"",""Q16"":""3"",""Q17"":""2"",""Q18"":""2"",""Q19"":""0"",""Q20"":""0"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q19"",""Q20"",""Q21"",""Q21"",""Q22"",""Q18""]","[3815.2999999523163,9274.299999952316,17323,18115.5,19723.799999952316,23469.799999952316,26898.700000047684,30166.599999904633,32631,36362.200000047684,40083.200000047684,45598.700000047684,50695,52206.59999990463,57702.59999990463,64571.200000047684,68380.59999990463,71625,78351.40000009537,83930.5,87804.59999990463,89923.40000009537,93522.59999990463,99056.20000004768]","[]","[0.09999990463256836,3815.2999999523163,9274.299999952316,17323,18115.5,19723.799999952316,23469.799999952316,25168.299999952316,26898.700000047684,28119.599999904633,30166.599999904633,32631,36362.200000047684,40083.200000047684,45598.700000047684,50695,52206.59999990463,57702.59999990463,61635.5,64571.200000047684,68380.59999990463,71625,74024.59999990463,78351.40000009537,83930.5,86923,87804.59999990463,89923.40000009537,92520.09999990463,93522.59999990463,94563.79999995232,99056.20000004768,101529.40000009537]","0.4090909090909091","0.6666666666666666","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14403.5","","","","survey-template","4","129127","0.0-2.0-2.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:32:05.083Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4455.300000190735,12597.200000047684,13407.700000047684]","[]","[4455.300000190735,9210.800000190735,12597.200000047684,13407.700000047684,14402.400000095367]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20654","","","","instructions","5","149782","0.0-3.0-0.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":20654}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4406","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","66","html-slider-response","6","154189","0.0-4.0-0.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:32:30.145Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5015","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","55","html-slider-response","7","159205","0.0-4.0-1.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:32:35.161Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4270","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","70","html-slider-response","8","163476","0.0-4.0-2.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:32:39.432Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","195942","0.0-5.0-0.0","140","1","2025-07-23 06:29:54","1f75c3e559b7213887762d5229550c2b","122.133.157.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-US,en;q=0.9","65cb0f21257c8a98f470bb5d","683db9eb0562dbf637994deb","6880815cf78fb7ae9698c820","2","1","65cb0f21257c8a98f470bb5d","2","1","2025-07-23T06:33:11.898Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","166168.9","1155.5","6156.4","29461.4","1","4","4","6","2","4","3","3","0","0.022727272727272728","1322.2","3000","745","[""down"",""right""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":2,""num_good_moves"":7}","[826.6508928571428,825.4477678571428,0.3,826.6508928571428,825.4477678571428,100.3,826.6508928571428,825.4477678571428,201.3,826.6508928571428,825.4477678571428,304.7,826.6508928571428,825.4477678571428,404.7,826.6508928571428,825.4477678571428,505.7,912.6508928571428,927.4477678571428,610,1406.650892857143,1325.447767857143,715.8,1406.650892857143,1325.447767857143,816.6,1406.650892857143,1325.447767857143,920.1,1406.650892857143,1325.447767857143,1020.1,1430.650892857143,1419.447767857143,1126.6,1448.650892857143,1437.447767857143,1230.8,1448.650892857143,1437.447767857143,1336,1448.650892857143,1437.447767857143,1440.5,1448.650892857143,1437.447767857143,1540.9,1448.650892857143,1437.447767857143,1640.9,1500.650892857143,1429.447767857143,1746.3,1616.650892857143,1447.447767857143,1846.3,1642.650892857143,1453.447767857143,1950.7,1724.650892857143,1435.447767857143,2051.1,1750.650892857143,1427.447767857143,2155.5,1750.650892857143,1427.447767857143,2260.8,1750.650892857143,1427.447767857143,2361.4,1750.650892857143,1427.447767857143,2466.4,1750.650892857143,1427.447767857143,2566.8,1750.650892857143,1427.447767857143,2670.2,1750.650892857143,1427.447767857143,2775.3,1750.650892857143,1427.447767857143,2876,1750.650892857143,1427.447767857143,2981.2,1750.650892857143,1427.447767857143,3085.5,1750.650892857143,1427.447767857143,3191.1,1750.650892857143,1427.447767857143,3295.5,1750.650892857143,1427.447767857143,3396.2,1750.650892857143,1427.447767857143,3500.4,1750.650892857143,1427.447767857143,3601.3,1750.650892857143,1427.447767857143,3705.2,1750.650892857143,1427.447767857143,3805.8,1750.650892857143,1427.447767857143,3910.4,1750.650892857143,1427.447767857143,4016.2,1750.650892857143,1427.447767857143,4116.4,1750.650892857143,1427.447767857143,4219.9,1750.650892857143,1427.447767857143,4320.3,1750.650892857143,1427.447767857143,4425.5,1750.650892857143,1427.447767857143,4525.5,1750.650892857143,1427.447767857143,4631.3,1750.650892857143,1427.447767857143,4735,1750.650892857143,1427.447767857143,4836,1750.650892857143,1427.447767857143,4940.8]","[5042.2,5042.3,2574.1,2010.4,457.8,""smooth"",""right"",""right"",""good_move"",7407,2364.3,2017.3,5042.7,347,""smooth"",""down"",""down"",""good_move"",9174.3,1766.8,1475.5,7407.5,291.3,""smooth"",""right"",""right"",""good_move"",11703.4,2528.8,2255.2,9174.6,273.6,""while_blue"",""down"",""left"",""bad_move"",14754,3050.1,2773.7,11703.9,276.4,""smooth"",""right"",""right"",""good_move"",17739.2,2984.8,2639.6,14754.5,345.2,""smooth"",""down"",""down"",""good_move"",20193.7,2454.2,2151.6,17739.5,302.6,""smooth"",""right"",""right"",""good_move"",23218.2,3024.1,2762.5,20194.1,261.6,""smooth"",""down"",""down"",""good_move""]","",""
