"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"4205","1753252224000","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","4206","0.0-0.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:30:24.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1742","","","","fullscreen","1","6954","0.0-1.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2650","1753252229399","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9605","0.0-2.0-0.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:30:29.399Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64930.700000047684","","","","survey-template","3","74539","0.0-2.0-1.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:31:34.333Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3"",""Q04"":""2"",""Q05"":""2"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2"",""Q09"":""1"",""Q10"":""1"",""Q11"":""2"",""Q12"":""1"",""Q13"":""2"",""Q14"":""1"",""Q15"":""2"",""Q16"":""1"",""Q17"":""1"",""Q18"":""2"",""Q19"":""2"",""Q20"":""1"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q17"",""Q16"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[13894.100000023842,17678.100000023842,21670,24662,25822,28182.200000047684,30942.100000023842,34758,35822.39999997616,36957.800000071526,38830,41709.89999997616,42926.10000002384,44286.200000047684,45894,47125.89999997616,52630.10000002384,53902,55101.800000071526,56126.200000047684,57230,62046,64110.10000002384]","[]","[0.10000002384185791,13894.100000023842,17678.100000023842,21670,24662,25822,26614.100000023842,27365.800000071526,28182.200000047684,29294.100000023842,30942.100000023842,33229.89999997616,34758,35822.39999997616,36957.800000071526,38830,39942,41709.89999997616,42926.10000002384,44286.200000047684,45894,47125.89999997616,50037.89999997616,52630.10000002384,53902,55101.800000071526,56126.200000047684,57230,62046,64110.10000002384,64926.10000002384]","0.45454545454545453","0.6190476190476191","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6687.599999904633","","","","survey-template","4","81230","0.0-2.0-2.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:31:41.024Z","","{""Q01"":""1"",""Q02"":""4"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2430.6999999284744,4670.899999976158,5774.599999904633]","[]","[2430.6999999284744,4670.899999976158,5774.599999904633,6686.799999952316]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2918","","","","instructions","5","84149","0.0-3.0-0.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2918}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12702","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","71","html-slider-response","6","96853","0.0-4.0-0.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:31:56.648Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4767","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","75","html-slider-response","7","101621","0.0-4.0-1.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:32:01.415Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7727","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","42","html-slider-response","8","109349","0.0-4.0-2.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:32:09.143Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","134629","0.0-5.0-0.0","141","1","2025-07-23 06:30:17","1f75c3e559b7213887762d5229550c2b","154.0.11.214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669a686f263cbcb8e321ed85","683db9eb0562dbf637994deb","6880816bc5a1b77d87ee1370","2","1","669a686f263cbcb8e321ed85","2","1","2025-07-23T06:32:34.423Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","111884.6","1694.2","6696.5","22273","1","4","4","6","1","1","-1","0","0","0","1984.5","3000","1155","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":4,""num_errors"":2,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":2,""num_blue"":2,""num_good_moves"":5}","[415.57142857142856,417.47767857142856,0.2,415.57142857142856,417.47767857142856,101.7,415.57142857142856,417.47767857142856,206.6,426.57142857142856,437.47767857142856,306.9,433.57142857142856,485.47767857142856,407.4,375.57142857142856,587.4776785714286,511.1,267.57142857142856,695.4776785714286,616,188.57142857142856,741.4776785714286,716.8,177.57142857142856,742.4776785714286,821.4,140.57142857142856,741.4776785714286,921.4,105.57142857142857,743.4776785714286,1021.6,99.57142857142857,743.4776785714286,1126.9,342.57142857142856,596.4776785714286,1231.7,1041.5714285714287,-67.52232142857143,1331.7,1054.5714285714287,-97.52232142857143,1437.8,964.5714285714286,-77.52232142857143,1537.9,779.5714285714286,-2.5223214285714306,1641.6,769.5714285714286,34.47767857142857,1741.9,769.5714285714286,34.47767857142857,1842,767.5714285714286,41.47767857142857,1946.8,768.5714285714286,41.47767857142857,2046.8,768.5714285714286,40.47767857142857,2148.1,742.5714285714286,96.47767857142857,2251.3,654.5714285714286,385.47767857142856,2357.2,634.5714285714286,432.47767857142856,2461.4,608.5714285714286,474.47767857142856,2562.2,608.5714285714286,471.47767857142856,2667.2,613.5714285714286,426.47767857142856,2767.2,613.5714285714286,418.47767857142856,2871.4,613.5714285714286,417.47767857142856,2976.9,595.5714285714286,412.47767857142856,3076.9,553.5714285714286,393.47767857142856,3177.8,550.5714285714286,393.47767857142856,3281.8,531.5714285714286,406.47767857142856,3382.4,520.5714285714286,408.47767857142856,3487.2,512.5714285714286,394.47767857142856,3591.9,504.57142857142856,408.47767857142856,3692,497.57142857142856,426.47767857142856,3792.1,497.57142857142856,426.47767857142856,3896.6,497.57142857142856,421.47767857142856,3997.3,497.57142857142856,415.47767857142856,4101.4,499.57142857142856,408.47767857142856,4201.7,544.5714285714286,406.47767857142856,4307.2,544.5714285714286,406.47767857142856,4411.3,536.5714285714286,402.47767857142856,4513.4,536.5714285714286,403.47767857142856,4617,538.5714285714286,408.47767857142856,4721.3,538.5714285714286,408.47767857142856,4821.5,538.5714285714286,408.47767857142856,4927]","[1551.5,1551.4,1003.9,0.1,547.5,""while_blue"",""up"",""left"",""bad_move"",4013,2461.2,2292,1551.9,169.1,""while_blue"",""up"",""right"",""good_move"",7101.9,3088.7,2600.9,4013.3,487.8,""smooth"",""up"",""up"",""good_move"",10367.9,3265.6,2797,7102.3,468.6,""smooth"",""up"",""up"",""good_move"",12540.9,2172.9,1690.7,10368,482.2,""smooth"",""right"",""right"",""good_move"",15485.2,2944,2488.8,12541.2,455.2,""smooth"",""right"",""right"",""good_move""]","",""
