"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"28163","1753252546113","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","28167","0.0-0.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:35:46.115Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14809","","","","fullscreen","1","44006","0.0-1.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7688","1753252569661","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","51714","0.0-2.0-0.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:36:09.662Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"216385.89999997616","","","","survey-template","3","268147","0.0-2.0-1.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:39:46.096Z","","{""Q01"":""1"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""2"",""Q06"":""3"",""Q07"":""1"",""Q08"":""3"",""Q09"":""3"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""4"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""2"",""Q20"":""1"",""Q21"":""0"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q01"",""Q02"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22"",""Q22"",""Q03""]","[5090.100000023842,8305.399999976158,13661.600000023842,17471.199999928474,24830.299999952316,28113.100000023842,38608.10000002384,43337.89999997616,47439.5,49685.39999997616,52795.5,57831.199999928474,62135,69813.39999997616,73356.5,91592.89999997616,97703.69999992847,101767.69999992847,103400,104807.60000002384,106468,115785.29999995232,122970,124449.39999997616,132954.5,141188.69999992847,187956.5,209369.19999992847]","[187956.5]","[0.19999992847442627,5090.100000023842,8305.399999976158,10393.399999976158,13661.600000023842,17471.199999928474,22695.299999952316,24830.299999952316,28113.100000023842,37371.699999928474,38608.10000002384,43337.89999997616,47439.5,48643.799999952316,49685.39999997616,52795.5,57831.199999928474,59953.5,62135,69813.39999997616,73356.5,91592.89999997616,95726.39999997616,97703.69999992847,98924.69999992847,100519.29999995232,101767.69999992847,103400,104807.60000002384,106468,115785.29999995232,122970,124449.39999997616,132954.5,141188.69999992847,201915.19999992847,209369.19999992847,216379.19999992847]","0.4090909090909091","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15235.400000095367","","","","survey-template","4","283387","0.0-2.0-2.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:40:01.335Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3923.9000000953674,7932.600000023842,14043.400000095367]","[]","[3923.9000000953674,7932.600000023842,12335,14043.400000095367,15234.5]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50328","","","","instructions","5","333717","0.0-3.0-0.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":50328}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6641","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","97","html-slider-response","6","340391","0.0-4.0-0.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:40:58.339Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7517","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","86","html-slider-response","7","347910","0.0-4.0-1.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:41:05.858Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7047","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","354959","0.0-4.0-2.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:41:12.907Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","390547","0.0-5.0-0.0","146","1","2025-07-23 06:31:38","1f75c3e559b7213887762d5229550c2b","41.145.194.131","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","67f14975a8c12321ab2d0e61","683db9eb0562dbf637994deb","68808150e8b3f87ededef406","2","1","67f14975a8c12321ab2d0e61","2","1","2025-07-23T06:41:48.495Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","360636.5","4176.5","9181.3","32556.4","1","4","8","6","2","8","8","8","0","0.06060606060606061","1199.6","3000","1395","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[293.22232142857143,291.12857142857143,17.5,293.22232142857143,291.12857142857143,107.7,293.22232142857143,291.12857142857143,213.8,293.22232142857143,291.12857142857143,321.8,293.22232142857143,291.12857142857143,425.6,323.22232142857143,277.12857142857143,528.6,157.22232142857143,414.12857142857143,629.9,85.22232142857143,475.12857142857143,741.3,37.222321428571426,522.1285714285714,847.6,29.222321428571426,536.1285714285714,947.8,29.222321428571426,536.1285714285714,1050.7,29.222321428571426,536.1285714285714,1156.5,29.222321428571426,536.1285714285714,1266.8,29.222321428571426,536.1285714285714,1369.1,29.222321428571426,536.1285714285714,1472.1,29.222321428571426,536.1285714285714,1578.2,29.222321428571426,536.1285714285714,1686.7,29.222321428571426,536.1285714285714,1790.6,29.222321428571426,536.1285714285714,1893.6,29.222321428571426,536.1285714285714,1995.6,29.222321428571426,536.1285714285714,2102.8,29.222321428571426,536.1285714285714,2203,29.222321428571426,536.1285714285714,2305.5,29.222321428571426,536.1285714285714,2413.2,29.222321428571426,536.1285714285714,2520,29.222321428571426,536.1285714285714,2622.6,29.222321428571426,536.1285714285714,2730,29.222321428571426,536.1285714285714,2838.7,29.222321428571426,536.1285714285714,2938.7,29.222321428571426,536.1285714285714,3046.8,29.222321428571426,536.1285714285714,3153.9,29.222321428571426,536.1285714285714,3254.5,29.222321428571426,536.1285714285714,3355.5,29.222321428571426,536.1285714285714,3460.9,29.222321428571426,536.1285714285714,3570.2,29.222321428571426,536.1285714285714,3671.3,29.222321428571426,536.1285714285714,3778.7,29.222321428571426,536.1285714285714,3883.4,29.222321428571426,536.1285714285714,3987.1,29.222321428571426,536.1285714285714,4088.5,29.222321428571426,536.1285714285714,4188.7,29.222321428571426,536.1285714285714,4288.8,29.222321428571426,536.1285714285714,4394.9,29.222321428571426,536.1285714285714,4495.4,29.222321428571426,536.1285714285714,4603.4,29.222321428571426,536.1285714285714,4704.1,29.222321428571426,536.1285714285714,4806,29.222321428571426,536.1285714285714,4907]","[1351.5,1351.5,1000,0.1,351.5,""smooth"",""left"",""left"",""good_move"",3959.2,2607.1,2267,1352.1,340.1,""smooth"",""down"",""down"",""good_move"",14469,10509.2,2784.4,11329.9,354.8,""smooth"",""down"",""down"",""good_move"",17443.5,2974.2,2583.5,14469.5,390.6,""smooth"",""left"",""left"",""good_move"",19957.7,2513.8,2155.9,17443.9,357.9,""smooth"",""left"",""left"",""good_move"",23243.8,3285.8,2889.8,19958,396,""smooth"",""down"",""down"",""good_move""]","",""
