"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"13930","1753252342830","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","13931","0.0-0.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:32:22.830Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6135","","","","fullscreen","1","21068","0.0-1.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15440","1753252365407","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","36508","0.0-2.0-0.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:32:45.408Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79747.30000019073","","","","survey-template","3","116258","0.0-2.0-1.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:34:05.157Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""2"",""Q11"":""3"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""3"",""Q16"":""3"",""Q17"":""1"",""Q18"":""0"",""Q19"":""2"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7426.5,11835.5,14775.300000190735,15704.400000095367,17551.300000190735,20983.400000095367,23252.200000047684,25072.300000190735,28326.400000095367,30431.400000095367,33012.40000009537,36004.300000190735,42870.40000009537,45694.300000190735,49754.300000190735,52928.300000190735,55381.300000190735,58599.200000047684,62742.200000047684,68962.20000004768,72250.20000004768,77080.20000004768,78409.10000014305]","[]","[0.10000014305114746,7426.5,11218.100000143051,11835.5,13339.5,14775.300000190735,15704.400000095367,17551.300000190735,20983.400000095367,23252.200000047684,25072.300000190735,27068.200000047684,28326.400000095367,30431.400000095367,33012.40000009537,36004.300000190735,39819.200000047684,42870.40000009537,45694.300000190735,49754.300000190735,52928.300000190735,55381.300000190735,58599.200000047684,62742.200000047684,68962.20000004768,72250.20000004768,77080.20000004768,78409.10000014305,79744.40000009537]","0.3181818181818182","0.3333333333333333","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27424.700000047684","","","","survey-template","4","143684","0.0-2.0-2.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:34:32.583Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[13875.299999952316,20386.299999952316,26623.099999904633]","[]","[13875.299999952316,20386.299999952316,26623.099999904633,27424.200000047684]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36683","","","","instructions","5","180367","0.0-3.0-0.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":36683}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7102","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","57","html-slider-response","6","187470","0.0-4.0-0.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:35:16.369Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4553","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","39","html-slider-response","7","192024","0.0-4.0-1.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:35:20.923Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7344","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","53","html-slider-response","8","199368","0.0-4.0-2.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:35:28.267Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","232161","0.0-5.0-0.0","147","1","2025-07-23 06:32:08","1f75c3e559b7213887762d5229550c2b","93.108.112.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6140ef8d27499e70e8740918","683dba2a8a9dda3513610c04","688081db2c7a83a035c2908e","3","0","6140ef8d27499e70e8740918","3","0","2025-07-23T06:36:01.060Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","200517.5","8280.7","13285.4","29786.2","1","4","8","6","2","8","8","8","0","0.06060606060606061","1240.9","3000","970","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[413.57142857142856,418.47767857142856,0.1,413.57142857142856,418.47767857142856,104.6,413.57142857142856,418.47767857142856,204.6,413.57142857142856,418.47767857142856,304.7,413.57142857142856,418.47767857142856,410.1,413.57142857142856,418.47767857142856,515,197.57142857142856,562.4776785714286,615,85.57142857142857,716.4776785714286,715.2,166.57142857142856,666.4776785714286,820,641.5714285714286,271.47767857142856,920.1,732.5714285714286,175.47767857142856,1020.2,745.5714285714286,112.47767857142857,1120.3,762.5714285714286,67.47767857142857,1225.4,765.5714285714286,69.47767857142857,1329.9,1048.5714285714287,173.47767857142856,1434.9,1110.5714285714287,181.47767857142856,1535,1110.5714285714287,181.47767857142856,1635.2,1110.5714285714287,181.47767857142856,1740.4,1110.5714285714287,181.47767857142856,1845.1,1110.5714285714287,181.47767857142856,1945.8,1110.5714285714287,181.47767857142856,2051.1,1110.5714285714287,181.47767857142856,2154.7,1110.5714285714287,181.47767857142856,2259.7,1110.5714285714287,181.47767857142856,2359.7,1110.5714285714287,181.47767857142856,2459.7,1110.5714285714287,181.47767857142856,2560.5,1110.5714285714287,181.47767857142856,2664.8,1110.5714285714287,181.47767857142856,2764.9,1110.5714285714287,181.47767857142856,2865.8,1110.5714285714287,181.47767857142856,2966,1110.5714285714287,181.47767857142856,3069.9,1110.5714285714287,181.47767857142856,3170.7,1110.5714285714287,181.47767857142856,3275.4,1110.5714285714287,181.47767857142856,3375.5,1110.5714285714287,181.47767857142856,3479.6,1110.5714285714287,181.47767857142856,3579.7,1110.5714285714287,181.47767857142856,3685,1110.5714285714287,181.47767857142856,3790.3,1110.5714285714287,181.47767857142856,3895,1110.5714285714287,181.47767857142856,3996,1110.5714285714287,181.47767857142856,4099.8,1110.5714285714287,181.47767857142856,4199.8,1110.5714285714287,181.47767857142856,4300.5,1110.5714285714287,181.47767857142856,4404.6,1110.5714285714287,181.47767857142856,4504.6,1110.5714285714287,181.47767857142856,4604.7,1110.5714285714287,181.47767857142856,4709.6,1110.5714285714287,181.47767857142856,4810.1,1110.5714285714287,181.47767857142856,4914.8]","[1334.5,1334.5,1000,0,334.5,""smooth"",""up"",""up"",""good_move"",4510.2,3175.5,2827.8,1334.7,347.7,""smooth"",""up"",""up"",""good_move"",7574.3,3064,2730.6,4510.4,333.3,""smooth"",""up"",""up"",""good_move"",10150.4,2575.9,2253.5,7574.5,322.4,""smooth"",""right"",""right"",""good_move"",13758.3,3607.7,3267.1,10150.6,340.6,""smooth"",""right"",""right"",""good_move"",16414.1,2655.8,2266.7,13758.4,389.1,""smooth"",""right"",""right"",""good_move""]","",""
