"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2340","1753252448403","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2344","0.0-0.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:34:08.404Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1308","","","","fullscreen","1","4664","0.0-1.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3116","1753252453841","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","7781","0.0-2.0-0.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:34:13.841Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106060.09999999963","","","","survey-template","3","113847","0.0-2.0-1.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:35:59.907Z","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""4"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""2"",""Q08"":""2"",""Q09"":""3"",""Q10"":""3"",""Q11"":""2"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""3"",""Q16"":""3"",""Q17"":""3"",""Q18"":""3"",""Q19"":""0"",""Q20"":""3"",""Q21"":""3"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q12"",""Q14"",""Q16"",""Q15"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2848.0999999996275,5019.0999999996275,6596.899999999441,8047.399999999441,9698.399999999441,12437.5,14016.399999999441,15419.099999999627,19669,20790.5,60278.59999999963,62254.39999999944,65278.89999999944,66618.5,68035.39999999944,75026.79999999981,75802.79999999981,77926.29999999981,81111.29999999981,82718.59999999963,88276.29999999981,94634.89999999944,99824.20000000019]","[]","[0.20000000018626451,2848.0999999996275,5019.0999999996275,6596.899999999441,8047.399999999441,9698.399999999441,12437.5,14016.399999999441,15419.099999999627,18112.099999999627,19669,20790.5,60278.59999999963,62254.39999999944,65278.89999999944,66618.5,68035.39999999944,72370.59999999963,75026.79999999981,75802.79999999981,77926.29999999981,79835.39999999944,81111.29999999981,82718.59999999963,88276.29999999981,94634.89999999944,98793.39999999944,99824.20000000019,106051.89999999944]","0.5","0.42857142857142855","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12362.700000000186","","","","survey-template","4","126211","0.0-2.0-2.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:36:12.271Z","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[6360.700000000186,7482.700000000186,10173.299999999814]","[]","[6360.700000000186,7482.700000000186,10173.299999999814,12361]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5283","","","","instructions","5","131495","0.0-3.0-0.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5283}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3642","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","62","html-slider-response","6","135140","0.0-4.0-0.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:36:21.200Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3002","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","52","html-slider-response","7","138144","0.0-4.0-1.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:36:24.204Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3423","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","56","html-slider-response","8","141568","0.0-4.0-2.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:36:27.628Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","161947","0.0-5.0-0.0","152","1","2025-07-23 06:34:03","1f75c3e559b7213887762d5229550c2b","51.36.171.66","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","65f19a1fe38352676f83d5f0","683dba2a8a9dda3513610c04","688082402bfe975062dc988f","3","0","65f19a1fe38352676f83d5f0","3","0","2025-07-23T06:36:48.007Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","146249.1","1503.7","6505.7","17373.1","1","4","4","6","1","1","1","1","0","0.007575757575757576","1195","3000","1495","[""down"",""left""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[426.5714133126395,421.57142761775424,0.1,426.5714133126395,421.57142761775424,102.9,426.5714133126395,421.57142761775424,207.3,426.5714133126395,421.57142761775424,307.3,426.5714133126395,421.57142761775424,412.7,426.5714133126395,421.57142761775424,517.5,446.5714133126395,371.57142761775424,622.7,451.5714133126395,357.82142761775424,726.7,131.5714133126395,710.3214276177542,827.2,86.5714133126395,782.8214276177542,933.5,86.5714133126395,781.5714276177542,1037.5,86.5714133126395,781.5714276177542,1142.9,86.5714133126395,781.5714276177542,1247.8,86.5714133126395,781.5714276177542,1347.8,86.5714133126395,781.5714276177542,1452.8,86.5714133126395,781.5714276177542,1557.8,16.571413312639507,750.3214276177542,1661.7,-98.4285866873605,701.5714276177542,1762.6,-98.4285866873605,701.5714276177542,1868.5,-98.4285866873605,701.5714276177542,1973.7,-98.4285866873605,701.5714276177542,2077.2,-98.4285866873605,701.5714276177542,2182.6,-98.4285866873605,701.5714276177542,2283.8,-98.4285866873605,701.5714276177542,2387.8,-98.4285866873605,701.5714276177542,2488.2,-98.4285866873605,701.5714276177542,2591.9,-98.4285866873605,701.5714276177542,2692.2,-98.4285866873605,701.5714276177542,2792.3,-98.4285866873605,701.5714276177542,2897.1,-98.4285866873605,701.5714276177542,3002.8,-98.4285866873605,701.5714276177542,3107.5,-98.4285866873605,701.5714276177542,3211.8,-98.4285866873605,701.5714276177542,3311.8,-98.4285866873605,701.5714276177542,3411.9,-98.4285866873605,701.5714276177542,3512.5,-98.4285866873605,701.5714276177542,3612.7,-98.4285866873605,701.5714276177542,3717.2,-98.4285866873605,701.5714276177542,3822.2,-98.4285866873605,701.5714276177542,3922.2,-98.4285866873605,701.5714276177542,4022.2,-98.4285866873605,701.5714276177542,4127.7,-98.4285866873605,701.5714276177542,4231.8,-98.4285866873605,701.5714276177542,4332.1,-98.4285866873605,701.5714276177542,4438.1,-98.4285866873605,701.5714276177542,4542,-98.4285866873605,701.5714276177542,4648.3,-98.4285866873605,701.5714276177542,4752.9,-98.4285866873605,701.5714276177542,4857.7,-98.4285866873605,701.5714276177542,4962.7]","[1455,1455,1000,0.1,454.9,""smooth"",""left"",""left"",""good_move"",4376,2920.6,2580.8,1455.4,339.8,""smooth"",""left"",""left"",""good_move"",7657.5,3281.3,2931.9,4376.2,349.4,""smooth"",""down"",""down"",""good_move"",10780.1,3122.3,2720.6,7657.8,401.7,""smooth"",""down"",""down"",""good_move""]","",""
