"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses"
"39474","1753252745691","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","39486","0.0-0.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:39:05.696Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92067","","","","fullscreen","1","132570","0.0-1.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165901","1753253004696","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","298489","0.0-2.0-0.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:43:24.699Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114286.40000000037","","","","survey-template","3","412827","0.0-2.0-1.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:45:19.036Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""4"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""1"",""Q12"":""4"",""Q13"":""5"",""Q14"":""4"",""Q15"":""3"",""Q16"":""3"",""Q17"":""4"",""Q18"":""4"",""Q19"":""0"",""Q20"":""1"",""Q21"":""1"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q16"",""Q15"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7398.700000000186,9391.100000000559,11951.799999999814,15940.5,17901.700000000186,18517,23838.900000000373,26596.200000000186,28808.200000000186,31748.900000000373,33863.799999999814,36851.5,39579,44832.299999999814,47773.700000000186,58295.799999999814,62322.5,97761.90000000037,100938.60000000056,103230.60000000056,106523.5,108617.5,112290]","[]","[0.2999999998137355,7398.700000000186,9391.100000000559,11951.799999999814,15940.5,17901.700000000186,18517,23838.900000000373,26596.200000000186,28808.200000000186,31748.900000000373,33863.799999999814,36851.5,39579,44832.299999999814,47773.700000000186,56985.90000000037,58295.799999999814,62322.5,97761.90000000037,100938.60000000056,103230.60000000056,106523.5,108617.5,112290,114264.10000000056]","0.3181818181818182","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11867.799999999814","","","","survey-template","4","424705","0.0-2.0-2.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:45:30.915Z","","{""Q01"":""3"",""Q02"":""1"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[3103.2000000001863,5647.5999999996275,7241.700000000186,10934.200000000186]","[]","[2022.7000000001863,3103.2000000001863,5647.5999999996275,6277.5999999996275,7241.700000000186,10934.200000000186,11864.700000000186]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12556","","","","instructions","5","437265","0.0-3.0-0.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12555}]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6542","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","95","html-slider-response","6","443815","0.0-4.0-0.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:45:50.025Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4233","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","87","html-slider-response","7","448053","0.0-4.0-1.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:45:54.263Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3835","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","94","html-slider-response","8","451893","0.0-4.0-2.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:45:58.103Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","529134","0.0-5.0-0.0","158","1","2025-07-23 06:38:23","1f75c3e559b7213887762d5229550c2b","41.144.67.4","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","AndroidOS","10","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","669f76a7112b8713f104644c","683db9eb0562dbf637994deb","6880825847cb550288118904","2","1","669f76a7112b8713f104644c","2","1","2025-07-23T06:47:15.343Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","457200.4","3088.3","8171.5","74201.2","1","4","4","6","2","4","0","0","0","0","5082.9","3000","980","[""down"",""right""]","{""num_key_presses"":14,""num_perfect"":10,""num_errors"":4,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":5,""num_good_moves"":8}","[519.8436820164769,523.1843150876178,2.2,519.8436820164769,523.1843150876178,220.6,519.8436820164769,523.1843150876178,328.2,519.8436820164769,523.1843150876178,480.2,519.8436820164769,523.1843150876178,606.7,519.8436820164769,523.1843150876178,805.7,519.8436820164769,523.1843150876178,915,519.8436820164769,523.1843150876178,1052.2,519.8436820164769,523.1843150876178,1184.1,519.8436820164769,523.1843150876178,1293.8,519.8436820164769,523.1843150876178,1431.4,519.8436820164769,523.1843150876178,1574.6,519.8436820164769,523.1843150876178,1738.3,519.8436820164769,523.1843150876178,1848.6,519.8436820164769,523.1843150876178,1982.7,519.8436820164769,523.1843150876178,2119.8,519.8436820164769,523.1843150876178,2260.6,519.8436820164769,523.1843150876178,2399,519.8436820164769,523.1843150876178,2609.9,519.8436820164769,523.1843150876178,2828.7,519.8436820164769,523.1843150876178,2929.8,519.8436820164769,523.1843150876178,3037.9,519.8436820164769,523.1843150876178,3206.7,519.8436820164769,523.1843150876178,3357.2,519.8436820164769,523.1843150876178,3458.9,519.8436820164769,523.1843150876178,3585.8,519.8436820164769,523.1843150876178,3751.7,519.8436820164769,523.1843150876178,3854.7,519.8436820164769,523.1843150876178,3978.5,519.8436820164769,523.1843150876178,4114.9,519.8436820164769,523.1843150876178,4257.1,519.8436820164769,523.1843150876178,4400.4,519.8436820164769,523.1843150876178,4505.7,519.8436820164769,523.1843150876178,4627.3,519.8436820164769,523.1843150876178,4738.4,519.8436820164769,523.1843150876178,4918.3]","[1360.4,1360.4,1000,0.1,360.3,""smooth"",""left"",""left"",""bad_move"",2932,1569.5,3069.2,1362.9,-1500,""error"",""-"",""-"",""no_move"",7991.3,5057.8,2698.3,3964.4,1328.6,""smooth"",""right"",""right"",""good_move"",11456.6,3461.7,1840.8,7994.9,1621,""smooth"",""right"",""right"",""good_move"",13487.6,2029.4,2349.4,11458.2,-320,""error"",""-"",""-"",""no_move"",15592.8,2103.1,2136.5,14570.7,-1114.3,""error"",""-"",""-"",""no_move"",29027.8,13433.4,3032,24728.1,1267.7,""smooth"",""down"",""down"",""good_move"",33386.7,4355.7,3133.2,29031.2,1222.4,""smooth"",""left"",""left"",""bad_move"",35896.6,2506.8,3239.2,33389.9,-732.5,""error"",""-"",""-"",""no_move"",48074.9,12175.4,2145,44556,1373.9,""smooth"",""down"",""down"",""good_move"",51319.4,3241.8,2054.6,48077.6,1187.2,""smooth"",""down"",""down"",""good_move"",58472.9,7151.4,2228.1,55181.2,1063.6,""smooth"",""right"",""right"",""good_move"",62247.2,3773,2662.9,58474.2,1110.1,""smooth"",""right"",""right"",""good_move"",65591.4,3342.5,2034,62248.9,1308.5,""smooth"",""right"",""right"",""good_move""]"
