"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"34142","1753253240914","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","34157","0.0-0.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:47:20.923Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2362","","","","fullscreen","1","37552","0.0-1.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2038","1753253246358","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","39596","0.0-2.0-0.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:47:26.360Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112361.20000000019","","","","survey-template","3","151998","0.0-2.0-1.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:49:18.763Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""5"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""3"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2911.399999999907,3952,8624.700000000186,10982.600000000093,14960.399999999907,30158.30000000028,30607.100000000093,35584,38448.39999999991,42008,51752.60000000009,57255.5,66632.30000000028,70616.70000000019,75769.1000000001,77826.20000000019,79289.1000000001,81259.1000000001,83217.1000000001,99043.6000000001,102746.20000000019,105627.6000000001,109689.20000000019]","[]","[0.3000000002793968,2911.399999999907,3952,5474.100000000093,7056.399999999907,8624.700000000186,10982.600000000093,14960.399999999907,30158.30000000028,30607.100000000093,33663.80000000028,35584,38448.39999999991,42008,51752.60000000009,53242.30000000028,55128.10000000009,55463.60000000009,57255.5,64385.200000000186,66632.30000000028,70616.70000000019,74418.8999999999,75769.1000000001,77826.20000000019,79289.1000000001,81259.1000000001,83217.1000000001,96987.3999999999,99043.6000000001,102746.20000000019,105627.6000000001,109689.20000000019,112331.30000000028]","0.7727272727272727","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18042.5","","","","survey-template","4","170062","0.0-2.0-2.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:49:36.826Z","","{""Q01"":""1"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[6405.299999999814,10390.399999999907,16078.799999999814]","[]","[6405.299999999814,10390.399999999907,14645.899999999907,16078.799999999814,18039.5]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18281","","","","instructions","5","188347","0.0-3.0-0.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18279}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4679","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","193041","0.0-4.0-0.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:49:59.806Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4466","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","197513","0.0-4.0-1.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:50:04.277Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21637","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","52","html-slider-response","8","219154","0.0-4.0-2.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:50:25.918Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","355261","0.0-5.0-0.0","163","1","2025-07-23 06:46:36","1f75c3e559b7213887762d5229550c2b","105.245.100.97","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-ZA;q=0.8","66952367721687887540318f","683dba2a8a9dda3513610c04","68808225c10a2e8d6fd8dd9e","3","0","66952367721687887540318f","3","0","2025-07-23T06:52:42.026Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","223931.6","95165","100166.9","133083.3","1","4","8","6","2","8","8","8","0","0.06060606060606061","1634.9","3000","700","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":4,""num_good_moves"":6}","[296.22232142857143,295.12857142857143,5,296.22232142857143,295.12857142857143,101.7,296.22232142857143,295.12857142857143,207.1,296.22232142857143,295.12857142857143,307,296.22232142857143,295.12857142857143,417.1,296.22232142857143,295.12857142857143,517.1,296.22232142857143,295.12857142857143,622.6,296.22232142857143,295.12857142857143,732.9,299.22232142857143,293.12857142857143,839.2,578.2223214285714,94.12857142857143,952,608.2223214285714,73.12857142857143,1056,612.2223214285714,68.12857142857143,1159.4,575.2223214285714,72.12857142857143,1272.7,559.2223214285714,74.12857142857143,1376.9,556.2223214285714,74.12857142857143,1478,556.2223214285714,74.12857142857143,1587.7,556.2223214285714,74.12857142857143,1693.3,556.2223214285714,74.12857142857143,1804,556.2223214285714,74.12857142857143,1908,556.2223214285714,74.12857142857143,2016.9,556.2223214285714,74.12857142857143,2122.4,565.2223214285714,79.12857142857143,2229.8,644.2223214285714,168.12857142857143,2333.2,649.2223214285714,178.12857142857143,2439.6,654.2223214285714,185.12857142857143,2541.6,654.2223214285714,185.12857142857143,2643.2,654.2223214285714,185.12857142857143,2743.5,654.2223214285714,185.12857142857143,2852.8,654.2223214285714,185.12857142857143,2957.8,654.2223214285714,185.12857142857143,3068.8,654.2223214285714,185.12857142857143,3175.9,654.2223214285714,185.12857142857143,3283.7,654.2223214285714,185.12857142857143,3388.8,654.2223214285714,185.12857142857143,3488.8,654.2223214285714,185.12857142857143,3591,654.2223214285714,185.12857142857143,3691.8,654.2223214285714,185.12857142857143,3792.7,654.2223214285714,185.12857142857143,3893.9,654.2223214285714,185.12857142857143,3997.1,654.2223214285714,185.12857142857143,4100.9,654.2223214285714,185.12857142857143,4201.2,654.2223214285714,185.12857142857143,4307.1,654.2223214285714,185.12857142857143,4407.5,654.2223214285714,185.12857142857143,4516,654.2223214285714,185.12857142857143,4622,654.2223214285714,185.12857142857143,4724,654.2223214285714,185.12857142857143,4826.4,654.2223214285714,185.12857142857143,4941]","[1641.5,1641.4,1000,0.1,641.4,""smooth"",""right"",""right"",""good_move"",5261.2,3617.7,3030.9,1643.7,586.6,""smooth"",""right"",""right"",""good_move"",7943.1,2680.9,2034.6,5262.2,646.3,""smooth"",""right"",""right"",""good_move"",26159.1,18214.1,2798.8,22844.7,515.7,""smooth"",""up"",""up"",""good_move"",29412.8,3247.8,2669,26165.1,578.7,""smooth"",""up"",""up"",""good_move"",32779.7,3365.7,2889.2,29414,476.6,""smooth"",""up"",""up"",""good_move""]","",""
