"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1716","1753253634585","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1721","0.0-0.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:53:54.589Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3764","","","","fullscreen","1","6506","0.0-1.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2387","1753253641761","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","8895","0.0-2.0-0.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:54:01.763Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60652.59999996424","","","","survey-template","3","69600","0.0-2.0-1.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:55:02.468Z","","{""Q01"":""2"",""Q02"":""4"",""Q03"":""1"",""Q04"":""5"",""Q05"":""2"",""Q06"":""4"",""Q07"":""4"",""Q08"":""0"",""Q09"":""3"",""Q10"":""4"",""Q11"":""5"",""Q12"":""0"",""Q13"":""5"",""Q14"":""3"",""Q15"":""5"",""Q16"":""5"",""Q17"":""5"",""Q18"":""1"",""Q19"":""5"",""Q20"":""3"",""Q21"":""4"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3352.599999964237,4907.199999988079,8139.699999988079,9468.899999976158,11306.599999964237,13104.299999952316,14584.5,16066.599999964237,20959.899999976158,22491.5,23847.19999998808,25318.599999964237,29372.299999952316,30830.399999976158,32711.899999976158,35958.19999998808,39951.299999952316,41495.799999952316,47057.799999952316,48873.59999996424,51328.5,57211.39999997616,59339.299999952316]","[]","[3.599999964237213,3352.599999964237,4907.199999988079,8139.699999988079,9468.899999976158,11306.599999964237,13104.299999952316,14584.5,16066.599999964237,20959.899999976158,22491.5,23847.19999998808,25318.599999964237,26265,27574.099999964237,28572.399999976158,29372.299999952316,30830.399999976158,32711.899999976158,35958.19999998808,39951.299999952316,41495.799999952316,47057.799999952316,48873.59999996424,51328.5,57211.39999997616,59339.299999952316,60591.799999952316]","0.3181818181818182","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7972.800000011921","","","","survey-template","4","77643","0.0-2.0-2.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:55:10.511Z","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""4""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2316.400000035763,5138.600000023842,7166.600000023842]","[]","[2316.400000035763,5138.600000023842,7166.600000023842,7971.200000047684]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3349","","","","instructions","5","81000","0.0-3.0-0.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3345}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4026","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","38","html-slider-response","6","85044","0.0-4.0-0.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:55:17.911Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4504","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","39","html-slider-response","7","89551","0.0-4.0-1.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:55:22.418Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6662","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","36","html-slider-response","8","96216","0.0-4.0-2.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:55:29.083Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","126318","0.0-5.0-0.0","165","1","2025-07-23 06:53:51","1f75c3e559b7213887762d5229550c2b","95.146.241.52","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60056657125e50465c15533e","683db9eb0562dbf637994deb","688086edb6fab804ecc9b2b4","2","1","60056657125e50465c15533e","2","1","2025-07-23T06:55:59.185Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","99190.4","1709.9","6711.1","27051","1","4","8","6","2","8","8","8","0","0.06060606060606061","1261.5","3000","1490","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[413.57142857142856,419.1808016640799,4.4,413.57142857142856,419.1808016640799,216.2,413.57142857142856,419.1808016640799,324,413.57142857142856,419.1808016640799,426.8,413.57142857142856,419.1808016640799,534.5,685.0714285714286,182.18080166407992,640.5,707.5714285714286,162.68080166407992,746.7,707.5714285714286,162.68080166407992,857.1,707.5714285714286,162.68080166407992,966.8,758.5714285714286,75.68080166407994,1071.5,758.5714285714286,75.68080166407994,1172.4,758.5714285714286,75.68080166407994,1273,758.5714285714286,75.68080166407994,1378.3,758.5714285714286,75.68080166407994,1486.4,758.5714285714286,75.68080166407994,1588.4,758.5714285714286,75.68080166407994,1694.4,758.5714285714286,75.68080166407994,1801.1,758.5714285714286,75.68080166407994,1902,758.5714285714286,75.68080166407994,2002.9,758.5714285714286,75.68080166407994,2105.7,758.5714285714286,75.68080166407994,2205.8,758.5714285714286,75.68080166407994,2306.3,758.5714285714286,75.68080166407994,2413.7,758.5714285714286,75.68080166407994,2520.5,758.5714285714286,75.68080166407994,2621.2,758.5714285714286,75.68080166407994,2722.2,758.5714285714286,75.68080166407994,2830.1,758.5714285714286,75.68080166407994,2930.4,758.5714285714286,75.68080166407994,3036.2,758.5714285714286,75.68080166407994,3136.7,758.5714285714286,75.68080166407994,3243.9,758.5714285714286,75.68080166407994,3344.3,758.5714285714286,75.68080166407994,3452.7,758.5714285714286,75.68080166407994,3554.9,758.5714285714286,75.68080166407994,3663.3,758.5714285714286,75.68080166407994,3769.9,758.5714285714286,75.68080166407994,3872.3,758.5714285714286,75.68080166407994,3978.2,758.5714285714286,75.68080166407994,4086.5,758.5714285714286,75.68080166407994,4193.1,758.5714285714286,75.68080166407994,4301.5,758.5714285714286,75.68080166407994,4401.8,758.5714285714286,75.68080166407994,4507.2,758.5714285714286,75.68080166407994,4610.2,758.5714285714286,75.68080166407994,4710.4,758.5714285714286,75.68080166407994,4818.9,758.5714285714286,75.68080166407994,4919.1]","[1507.1,1507.1,1000,0,507.2,""smooth"",""right"",""right"",""good_move"",8717.3,7208.2,3268.8,5095.1,353.4,""smooth"",""right"",""right"",""good_move"",11628.2,2910.4,2417.5,8717.8,492.9,""smooth"",""right"",""right"",""good_move"",14282.6,2653.6,2324.7,11629,328.9,""smooth"",""up"",""up"",""good_move"",17427.3,3144,2791.6,14283.4,352.4,""smooth"",""up"",""up"",""good_move"",20222.5,2794.8,2358.4,17427.8,436.3,""smooth"",""up"",""up"",""good_move""]","",""
