"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"9943","1753253766944","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","9949","0.0-0.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:56:06.948Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5591","","","","fullscreen","1","16562","0.0-1.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2750","1753253776312","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","19315","0.0-2.0-0.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:56:16.313Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77501.5","","","","survey-template","3","96830","0.0-2.0-1.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:57:33.829Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3"",""Q04"":""2"",""Q05"":""3"",""Q06"":""4"",""Q07"":""4"",""Q08"":""4"",""Q09"":""3"",""Q10"":""2"",""Q11"":""2"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""2"",""Q16"":""3"",""Q17"":""2"",""Q18"":""3"",""Q19"":""0"",""Q20"":""2"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[7760,10913.30000000447,13809.89999999851,14967.10000000149,18282.5,21286.20000000298,22920.10000000149,24387.30000000447,26504.70000000298,29802,35332.80000000447,37834.80000000447,41157.30000000447,50203,53032.80000000447,54967.20000000298,58049.30000000447,61564.70000000298,64233.10000000149,66257.39999999851,70121.30000000447,73367.20000000298,75253.89999999851]","[]","[0.30000000447034836,5269.80000000447,6620.20000000298,7760,9028.5,10913.30000000447,12290.60000000149,13809.89999999851,14967.10000000149,16874.39999999851,18282.5,21286.20000000298,22920.10000000149,24387.30000000447,26504.70000000298,29802,31388.70000000298,33716.30000000447,35332.80000000447,37834.80000000447,39677.80000000447,41157.30000000447,50203,51683.20000000298,53032.80000000447,54967.20000000298,56325.80000000447,58049.30000000447,59685.39999999851,61564.70000000298,62741,64233.10000000149,66257.39999999851,70121.30000000447,73367.20000000298,75253.89999999851,77494.80000000447]","0.36363636363636365","0.6190476190476191","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11398.5","","","","survey-template","4","108234","0.0-2.0-2.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:57:45.233Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4566.29999999702,6235.69999999553,9057.39999999851]","[]","[4566.29999999702,6235.69999999553,7805.79999999702,9057.39999999851,11395.19999999553]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4760","","","","instructions","5","112999","0.0-3.0-0.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4758}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6471","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","92","html-slider-response","6","119476","0.0-4.0-0.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:57:56.475Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3698","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","73","html-slider-response","7","123176","0.0-4.0-1.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:58:00.175Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11957","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","77","html-slider-response","8","135136","0.0-4.0-2.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:58:12.134Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","161172","0.0-5.0-0.0","166","1","2025-07-23 06:56:04","1f75c3e559b7213887762d5229550c2b","41.122.197.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","6744814c173b9afac78cf039","683db9eb0562dbf637994deb","68808657047845708a61ef3a","2","1","6744814c173b9afac78cf039","2","1","2025-07-23T06:58:38.170Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","138161.2","1896.9","6912.2","23007.1","1","4","8","6","2","8","8","8","0","0.06060606060606061","5015.2","3000","1225","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[292.22232142857143,298.12857142857143,1.1,292.22232142857143,298.12857142857143,111.1,292.22232142857143,298.12857142857143,215.9,292.22232142857143,298.12857142857143,323.6,292.22232142857143,298.12857142857143,423.6,292.22232142857143,298.12857142857143,532.5,292.22232142857143,298.12857142857143,642.9,292.22232142857143,298.12857142857143,744.7,292.22232142857143,298.12857142857143,847,292.22232142857143,298.12857142857143,953.3,292.22232142857143,298.12857142857143,1061.5,292.22232142857143,298.12857142857143,1161.6,292.22232142857143,298.12857142857143,1261.6,292.22232142857143,298.12857142857143,1361.7,292.22232142857143,298.12857142857143,1461.7,292.22232142857143,298.12857142857143,1561.7,292.22232142857143,298.12857142857143,1665.3,292.22232142857143,298.12857142857143,1766.1,292.22232142857143,298.12857142857143,1873.8,292.22232142857143,298.12857142857143,1973.9,292.22232142857143,298.12857142857143,2083,292.22232142857143,298.12857142857143,2183,292.22232142857143,298.12857142857143,2283,292.22232142857143,298.12857142857143,2384.4,292.22232142857143,298.12857142857143,2484.5,292.22232142857143,298.12857142857143,2594.4,292.22232142857143,298.12857142857143,2695.4,292.22232142857143,298.12857142857143,2800,292.22232142857143,298.12857142857143,2911.9,292.22232142857143,298.12857142857143,3017.8,292.22232142857143,298.12857142857143,3123.4,292.22232142857143,298.12857142857143,3223.9,292.22232142857143,298.12857142857143,3328.7,292.22232142857143,298.12857142857143,3433.1,292.22232142857143,298.12857142857143,3543.1,292.22232142857143,298.12857142857143,3645.6,292.22232142857143,298.12857142857143,3753.2,292.22232142857143,298.12857142857143,3862.3,292.22232142857143,298.12857142857143,3962.3,292.22232142857143,298.12857142857143,4062.4,292.22232142857143,298.12857142857143,4162.4,292.22232142857143,298.12857142857143,4264.7,292.22232142857143,298.12857142857143,4365.1,292.22232142857143,298.12857142857143,4465.3,292.22232142857143,298.12857142857143,4573.6,292.22232142857143,298.12857142857143,4673.6,292.22232142857143,298.12857142857143,4784.5,292.22232142857143,298.12857142857143,4892.8,292.22232142857143,298.12857142857143,4994.1]","[1781.9,1782,1000,0,782,""smooth"",""left"",""left"",""good_move"",4964,3180.5,2713.3,1783.6,467.1,""smooth"",""left"",""left"",""good_move"",8348.7,3384,2942.1,4964.7,441.9,""smooth"",""left"",""left"",""good_move"",10855.3,2505.9,2052.4,8349.4,453.5,""smooth"",""down"",""down"",""good_move"",13174.6,2318,1921.3,10856.7,396.7,""smooth"",""down"",""down"",""good_move"",15947.1,2771.8,2394.3,13175.4,377.4,""smooth"",""down"",""down"",""good_move""]","",""
