"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"6731","1753256084279","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","6738","0.0-0.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:34:44.285Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3535","","","","fullscreen","1","11291","0.0-1.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1897","1753256090737","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","13194","0.0-2.0-0.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:34:50.741Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80011.79999995232","","","","survey-template","3","93221","0.0-2.0-1.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:36:10.767Z","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1"",""Q04"":""2"",""Q05"":""0"",""Q06"":""2"",""Q07"":""1"",""Q08"":""0"",""Q09"":""2"",""Q10"":""2"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""4"",""Q15"":""1"",""Q16"":""1"",""Q17"":""1"",""Q18"":""1"",""Q19"":""0"",""Q20"":""1"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3665.699999988079,5200.199999988079,7115.599999964237,9141.699999988079,12725.899999976158,18288.299999952316,19966,24630.69999998808,26861.799999952316,28926.899999976158,33886.59999996424,39365,43261.59999996424,47439.299999952316,50288,53736.89999997616,55466.799999952316,56782.69999998808,61494.5,65490.09999996424,75450.19999998808,78757.69999998808]","[]","[0.3999999761581421,3665.699999988079,5200.199999988079,7115.599999964237,9141.699999988079,12725.899999976158,18288.299999952316,19966,22500.69999998808,24630.69999998808,26861.799999952316,28926.899999976158,33886.59999996424,39365,43261.59999996424,47439.299999952316,50288,52436.69999998808,53736.89999997616,55466.799999952316,56782.69999998808,61494.5,65490.09999996424,72516.19999998808,75450.19999998808,78757.69999998808,79995.39999997616]","0.4090909090909091","0.47619047619047616","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34678.30000001192","","","","survey-template","4","127906","0.0-2.0-2.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:36:45.453Z","","{""Q01"":""1"",""Q02"":""3"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[15463.199999988079,16963.30000001192,18858.899999976158,20706.69999998808]","[]","[15463.199999988079,16963.30000001192,18858.899999976158,20706.69999998808,22270.69999998808,34675]","0.6666666666666666","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12897","","","","instructions","5","140808","0.0-3.0-0.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":12895}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8063","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","67","html-slider-response","6","148882","0.0-4.0-0.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:37:06.428Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5138","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","57","html-slider-response","7","154029","0.0-4.0-1.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:37:11.575Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7533","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","60","html-slider-response","8","161566","0.0-4.0-2.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:37:19.112Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","184142","0.0-5.0-0.0","178","1","2025-07-23 07:34:30","1f75c3e559b7213887762d5229550c2b","102.213.27.252","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,zh-CN;q=0.8,zh;q=0.7","669149873799bbea50733fe0","683db9eb0562dbf637994deb","6880905ca21312e4d45f6c4e","2","1","669149873799bbea50733fe0","2","1","2025-07-23T07:37:41.688Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","168758.9","2613.9","7616.9","19563.4","1","4","4","6","1","1","1","1","0","0.007575757575757576","1610.6","3000","1505","[""down"",""right""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[412.8214133126395,410.32142761775424,1.1,412.8214133126395,410.32142761775424,105.7,412.8214133126395,410.32142761775424,207.3,412.8214133126395,410.32142761775424,312.8,412.8214133126395,410.32142761775424,419,412.8214133126395,410.32142761775424,522.8,412.8214133126395,410.32142761775424,626.9,412.8214133126395,410.32142761775424,727.9,570.3214133126395,491.57142761775424,832.9,779.0714133126395,671.5714276177542,936.9,796.5714133126395,751.5714276177542,1046.1,785.3214133126395,750.3214276177542,1153.7,766.5714133126395,746.5714276177542,1260.3,766.5714133126395,746.5714276177542,1362.3,766.5714133126395,746.5714276177542,1462.5,766.5714133126395,746.5714276177542,1562.6,766.5714133126395,746.5714276177542,1674.4,766.5714133126395,746.5714276177542,1777.2,766.5714133126395,746.5714276177542,1890.9,766.5714133126395,746.5714276177542,1991.9,766.5714133126395,746.5714276177542,2092.4,766.5714133126395,746.5714276177542,2197.2,766.5714133126395,746.5714276177542,2297.3,766.5714133126395,746.5714276177542,2407,766.5714133126395,746.5714276177542,2507.3,766.5714133126395,746.5714276177542,2612.3,766.5714133126395,746.5714276177542,2717.2,766.5714133126395,746.5714276177542,2823.3,766.5714133126395,746.5714276177542,2927,766.5714133126395,746.5714276177542,3029.5,766.5714133126395,746.5714276177542,3139.6,766.5714133126395,746.5714276177542,3242.5,766.5714133126395,746.5714276177542,3342.5,766.5714133126395,746.5714276177542,3442.5,766.5714133126395,746.5714276177542,3542.6,766.5714133126395,746.5714276177542,3655.8,766.5714133126395,746.5714276177542,3757.7,766.5714133126395,746.5714276177542,3862.4,766.5714133126395,746.5714276177542,3972,766.5714133126395,746.5714276177542,4072,766.5714133126395,746.5714276177542,4172,766.5714133126395,746.5714276177542,4272,766.5714133126395,746.5714276177542,4377.9,766.5714133126395,746.5714276177542,4482.4,766.5714133126395,746.5714276177542,4587.2,766.5714133126395,746.5714276177542,4691.6,766.5714133126395,746.5714276177542,4791.7,766.5714133126395,746.5714276177542,4892.6,766.5714133126395,746.5714276177542,4997.2]","[1352.9,1352.8,1000,0.1,352.8,""smooth"",""right"",""right"",""good_move"",4280.3,2926.6,2395,1353.7,531.6,""smooth"",""right"",""right"",""good_move"",7861.1,3580.3,3219.8,4280.8,360.5,""smooth"",""down"",""down"",""good_move"",11834.6,3972.5,3366.4,7862.1,606.1,""smooth"",""down"",""down"",""good_move""]","",""
