"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"21719","1753257793862","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","21725","0.0-0.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:03:13.864Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30600","","","","fullscreen","1","53340","0.0-1.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25522","1753257851002","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","78874","0.0-2.0-0.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:04:11.012Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"271941.200000003","","","","survey-template","3","350842","0.0-2.0-1.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:08:42.980Z","","{""Q01"":""3"",""Q02"":""0"",""Q03"":""0"",""Q04"":""2"",""Q05"":""3"",""Q06"":""1"",""Q07"":""0"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""1"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""4"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""1"",""Q21"":""5"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q20"",""Q21"",""Q22""]","[12369.5,16436.80000001192,19272.20000000298,23918.40000000596,31959.5,39819.20000000298,65171.60000000894,80365.20000000298,87058.80000001192,98900.10000000894,110404.30000001192,125044.80000001192,132456,145708.30000001192,148588.90000000596,166601,173396.70000000298,180748.5,188132.60000000894,195484.40000000596,212303.90000000596,235390.10000000894,248622,256630.90000000596,267231.700000003]","[]","[0.800000011920929,12369.5,16436.80000001192,19272.20000000298,23918.40000000596,31453,31959.5,39819.20000000298,65171.60000000894,79664.10000000894,80365.20000000298,85041.20000000298,85589.5,87058.80000001192,93231.20000000298,97067.70000000298,98900.10000000894,110404.30000001192,118993.60000000894,125044.80000001192,132456,140289.20000000298,141825.10000000894,145708.30000001192,148588.90000000596,161746.30000001192,166601,173396.70000000298,180748.5,188132.60000000894,195484.40000000596,212303.90000000596,235390.10000000894,248622,256630.90000000596,267231.700000003,271901]","0.36363636363636365","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28911.70000000298","","","","survey-template","4","379768","0.0-2.0-2.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:09:11.906Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[8390.90000000596,15833.800000011921,26564.40000000596]","[]","[8390.90000000596,15833.800000011921,26564.40000000596,28905.40000000596]","0.3333333333333333","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73964","","","","instructions","5","453743","0.0-3.0-0.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":73961}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48445","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","95","html-slider-response","6","502211","0.0-4.0-0.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:11:14.349Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15354","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","84","html-slider-response","7","517577","0.0-4.0-1.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:11:29.716Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12471","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","68","html-slider-response","8","530059","0.0-4.0-2.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:11:42.198Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","548244","0.0-5.0-0.0","188","1","2025-07-23 08:04:27","1f75c3e559b7213887762d5229550c2b","41.123.105.39","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67e074f58a5ea7d9897f3223","683db9eb0562dbf637994deb","688096df7aad73dcd5e538de","2","1","67e074f58a5ea7d9897f3223","2","1","2025-07-23T08:12:00.382Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","569369.9","10144.7","-9999","15153","1","4","8","6","-9999","-4","-4","0","0","0","4593.1","3000","3000","[]","{""num_key_presses"":0,""num_perfect"":0,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":0}","[411.5714133126395,411.57142761775424,5.3,411.5714133126395,411.57142761775424,100.1,411.5714133126395,411.57142761775424,206.8,411.5714133126395,411.57142761775424,327.4,411.5714133126395,411.57142761775424,432.3,411.5714133126395,411.57142761775424,539.1,411.5714133126395,411.57142761775424,649.3,411.5714133126395,411.57142761775424,753.3,411.5714133126395,411.57142761775424,856,411.5714133126395,411.57142761775424,976.5,411.5714133126395,411.57142761775424,1088.3,411.5714133126395,411.57142761775424,1189.7,411.5714133126395,411.57142761775424,1300.2,411.5714133126395,411.57142761775424,1407.5,411.5714133126395,411.57142761775424,1509.2,411.5714133126395,411.57142761775424,1615.3,411.5714133126395,411.57142761775424,1719.1,411.5714133126395,411.57142761775424,1819.6,411.5714133126395,411.57142761775424,1923.4,411.5714133126395,411.57142761775424,2027,411.5714133126395,411.57142761775424,2127.3,411.5714133126395,411.57142761775424,2235.5,411.5714133126395,411.57142761775424,2337.5,411.5714133126395,411.57142761775424,2442.6,411.5714133126395,411.57142761775424,2555.2,411.5714133126395,411.57142761775424,2659.3,411.5714133126395,411.57142761775424,2762.1,411.5714133126395,411.57142761775424,2871.6,411.5714133126395,411.57142761775424,2972.7,411.5714133126395,411.57142761775424,3083.8,411.5714133126395,411.57142761775424,3184.2,411.5714133126395,411.57142761775424,3291.5,416.5714133126395,407.82142761775424,3398.3,414.0714133126395,407.82142761775424,3521,349.0714133126395,421.57142761775424,3626,379.0714133126395,386.57142761775424,3726,292.8214133126395,406.57142761775424,3837.8,-9.678586687360493,651.5714276177542,3937.8,-184.6785866873605,886.5714276177542,4045.7,-184.6785866873605,886.5714276177542,4147.2,-184.6785866873605,886.5714276177542,4250.1,-184.6785866873605,886.5714276177542,4356.2,-184.6785866873605,886.5714276177542,4464.7,-184.6785866873605,886.5714276177542,4564.9,-184.6785866873605,886.5714276177542,4683.4,-184.6785866873605,886.5714276177542,4792.3,-184.6785866873605,886.5714276177542,4895.5,-184.6785866873605,886.5714276177542,5000]","[]","",""
