"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1624","1753258346410","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1627","0.0-0.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:12:26.412Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"779","","","","fullscreen","1","3417","0.0-1.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"921","1753258349144","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","4362","0.0-2.0-0.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:12:29.147Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"449941.40000003576","","","","survey-template","3","454315","0.0-2.0-1.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:19:59.100Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""1"",""Q12"":""1"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""1"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q02"",""Q01"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[422405.3000000119,422814.10000002384,424857.8000000119,425696.3000000119,426214.1999999881,427760,428469.5,429595.90000003576,430567.90000003576,431841.8000000119,432565.6999999881,434317.6999999881,435159.5,436705.8000000119,438359.8000000119,440193.3000000119,440803.60000002384,442181.6999999881,442749.6999999881,443683.60000002384,445077.6999999881,449076.1999999881]","[]","[0.10000002384185791,421964.1999999881,422405.3000000119,422814.10000002384,423973.8000000119,424644.40000003576,424857.8000000119,425696.3000000119,426214.1999999881,427760,428469.5,429595.90000003576,430567.90000003576,431411.90000003576,431841.8000000119,432565.6999999881,433538.40000003576,434080,434317.6999999881,435159.5,436705.8000000119,438359.8000000119,439618,440193.3000000119,440803.60000002384,442181.6999999881,442749.6999999881,443683.60000002384,445077.6999999881,447727.5,449076.1999999881,449929.90000003576]","0.5","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4641.299999952316","","","","survey-template","4","458961","0.0-2.0-2.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:20:03.746Z","","{""Q01"":""2"",""Q02"":""3"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2205.399999976158,3195.699999988079,3975.7999999523163]","[]","[2205.399999976158,3195.699999988079,3975.7999999523163,4639.899999976158]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1315","","","","instructions","5","460278","0.0-3.0-0.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1315}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3201","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","43","html-slider-response","6","463486","0.0-4.0-0.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:20:08.271Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1860","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","42","html-slider-response","7","465348","0.0-4.0-1.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:20:10.133Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1932","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","86","html-slider-response","8","467282","0.0-4.0-2.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:20:12.067Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","499993","0.0-5.0-0.0","192","1","2025-07-23 08:12:24","1f75c3e559b7213887762d5229550c2b","80.192.212.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","Macintosh","Chrome","137.0.0.0","OS X","10_15_7","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","671a44d9d93641d1d9e96883","683db9eb0562dbf637994deb","6880985ad0acfe816a8010b7","2","1","671a44d9d93641d1d9e96883","2","1","2025-07-23T08:20:44.778Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","468235.4","1043","6045.8","29683.8","1","4","8","6","2","8","8","8","0","0.06060606060606061","1139.4","3000","860","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[357.85714285714283,349.76339285714283,0.8,357.85714285714283,349.76339285714283,103.8,357.85714285714283,349.76339285714283,208.3,357.85714285714283,349.76339285714283,312.9,357.85714285714283,349.76339285714283,412.9,343.85714285714283,343.76339285714283,513.4,276.85714285714283,287.76339285714283,617.9,329.85714285714283,378.76339285714283,717.9,708.8571428571429,721.7633928571429,818.5,714.8571428571429,718.7633928571429,923.1,711.8571428571429,710.7633928571429,1023.2,654.8571428571429,665.7633928571429,1127.7,654.8571428571429,665.7633928571429,1228.1,659.8571428571429,597.7633928571429,1333,659.8571428571429,597.7633928571429,1438.8,659.8571428571429,597.7633928571429,1543.5,659.8571428571429,597.7633928571429,1648.5,659.8571428571429,597.7633928571429,1752.9,659.8571428571429,597.7633928571429,1853.1,659.8571428571429,597.7633928571429,1958.9,659.8571428571429,597.7633928571429,2063.1,659.8571428571429,597.7633928571429,2163.3,659.8571428571429,597.7633928571429,2263.5,659.8571428571429,597.7633928571429,2367.7,659.8571428571429,597.7633928571429,2467.8,659.8571428571429,597.7633928571429,2574.2,659.8571428571429,597.7633928571429,2678.1,659.8571428571429,597.7633928571429,2778.1,659.8571428571429,597.7633928571429,2878.7,659.8571428571429,597.7633928571429,2979.1,659.8571428571429,597.7633928571429,3083.4,659.8571428571429,597.7633928571429,3188.3,659.8571428571429,597.7633928571429,3293.2,659.8571428571429,597.7633928571429,3397.8,659.8571428571429,597.7633928571429,3498,659.8571428571429,597.7633928571429,3598.2,659.8571428571429,597.7633928571429,3703.1,659.8571428571429,597.7633928571429,3803.2,659.8571428571429,597.7633928571429,3903.2,659.8571428571429,597.7633928571429,4003.5,659.8571428571429,597.7633928571429,4108.7,659.8571428571429,597.7633928571429,4208.8,659.8571428571429,597.7633928571429,4313.7,659.8571428571429,597.7633928571429,4414,659.8571428571429,597.7633928571429,4518.4,659.8571428571429,597.7633928571429,4622.6,659.8571428571429,597.7633928571429,4723.2,659.8571428571429,597.7633928571429,4823.3,659.8571428571429,597.7633928571429,4924]","[1390.7,1390.7,1000,0,390.7,""smooth"",""down"",""down"",""good_move"",7068.4,5677.2,1370.6,5336.1,361.7,""smooth"",""down"",""down"",""good_move"",10092,3023.3,2659.2,7068.7,364.1,""smooth"",""right"",""right"",""good_move"",17589.1,7496.7,3338.2,13890.8,360.1,""smooth"",""right"",""right"",""good_move"",20105,2515.6,2143,17589.4,372.6,""smooth"",""right"",""right"",""good_move"",23546.6,3441.3,3046,20105.3,395.3,""smooth"",""down"",""down"",""good_move""]","",""
