"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2856","1753259678798","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2859","0.0-0.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:34:38.799Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"252929","","","","fullscreen","1","256803","0.0-1.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4716","1753259937460","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","261520","0.0-2.0-0.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:38:57.461Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51194.300000190735","","","","survey-template","3","312720","0.0-2.0-1.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:39:48.660Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""2"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""3"",""Q16"":""3"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q06"",""Q05"",""Q07"",""Q08"",""Q09"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[13341.700000047684,14457.5,15295.5,17418.800000190735,19068.400000095367,19710.900000095367,20846.200000047684,21639.200000047684,22661.60000014305,23755.60000014305,28055.700000047684,29099.800000190735,30990.800000190735,32460.60000014305,33798.300000190735,36562.200000047684,38040.300000190735,39199.800000190735,42209.60000014305,43497.90000009537,47393.60000014305,48320.90000009537,50174.5]","[]","[0.20000004768371582,13341.700000047684,14457.5,15295.5,17418.800000190735,18324.400000095367,19068.400000095367,19710.900000095367,20846.200000047684,21639.200000047684,22661.60000014305,23755.60000014305,28055.700000047684,29099.800000190735,30990.800000190735,32460.60000014305,33798.300000190735,36562.200000047684,38040.300000190735,39199.800000190735,42209.60000014305,43497.90000009537,45407.40000009537,46573.800000190735,47393.60000014305,48320.90000009537,50174.5,51184.200000047684]","0.5909090909090909","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7580.900000095367","","","","survey-template","4","320305","0.0-2.0-2.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:39:56.245Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3139.5,5755.299999952316,6765.400000095367]","[]","[3139.5,5755.299999952316,6765.400000095367,7577.700000047684]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7420","","","","instructions","5","327726","0.0-3.0-0.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7419}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3459","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","11","html-slider-response","6","331189","0.0-4.0-0.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:40:07.129Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2552","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","15","html-slider-response","7","333743","0.0-4.0-1.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:40:09.683Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3529","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","31","html-slider-response","8","337275","0.0-4.0-2.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:40:13.215Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","373922","0.0-5.0-0.0","194","1","2025-07-23 08:34:33","1f75c3e559b7213887762d5229550c2b","5.69.202.172","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5c4f7b99b33a5300013dbfdd","683db9eb0562dbf637994deb","68809e9350ac47a0582506a0","2","1","5c4f7b99b33a5300013dbfdd","2","1","2025-07-23T08:40:49.862Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","339451.3","1246.2","6247.2","33630.7","1","4","4","6","2","4","2","2","0","0.015151515151515152","1177.6","3000","180","[""up"",""right""]","{""num_key_presses"":10,""num_perfect"":8,""num_errors"":2,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":2,""num_blue"":2,""num_good_moves"":8}","[414.741960471017,413.7888378552028,0.1,414.741960471017,413.7888378552028,100.3,414.741960471017,413.7888378552028,200.5,414.741960471017,413.7888378552028,305.5,414.741960471017,413.7888378552028,411.6,414.741960471017,413.7888378552028,515.2,414.741960471017,413.7888378552028,619.4,515.116960471017,302.4138378552028,719.6,644.366960471017,137.41383785520281,819.9,673.241960471017,104.4138378552028,928,691.116960471017,98.9138378552028,1028.2,747.491960471017,76.9138378552028,1128.8,750.241960471017,76.9138378552028,1230.8,750.241960471017,76.9138378552028,1335.1,750.241960471017,76.9138378552028,1444.7,721.366960471017,180.03883785520281,1550.3,735.116960471017,225.41383785520281,1656.4,840.991960471017,291.4138378552028,1761,916.616960471017,342.2888378552028,1861.2,916.616960471017,342.2888378552028,1965.1,916.616960471017,342.2888378552028,2069.8,916.616960471017,342.2888378552028,2170.5,916.616960471017,342.2888378552028,2277.5,916.616960471017,342.2888378552028,2380.3,916.616960471017,342.2888378552028,2480.6,916.616960471017,342.2888378552028,2585.5,916.616960471017,342.2888378552028,2694.8,916.616960471017,342.2888378552028,2800,916.616960471017,342.2888378552028,2900.5,916.616960471017,342.2888378552028,3005.5,916.616960471017,342.2888378552028,3105.7,916.616960471017,342.2888378552028,3210.6,916.616960471017,342.2888378552028,3311,916.616960471017,342.2888378552028,3415.4,916.616960471017,342.2888378552028,3520.4,916.616960471017,342.2888378552028,3620.5,916.616960471017,342.2888378552028,3727,916.616960471017,342.2888378552028,3830.1,916.616960471017,342.2888378552028,3930.7,916.616960471017,342.2888378552028,4035,916.616960471017,342.2888378552028,4143.4,916.616960471017,342.2888378552028,4243.5,916.616960471017,342.2888378552028,4343.5,916.616960471017,342.2888378552028,4443.5,916.616960471017,342.2888378552028,4544.9,916.616960471017,342.2888378552028,4649.7,916.616960471017,342.2888378552028,4750.4,916.616960471017,342.2888378552028,4860.4,916.616960471017,342.2888378552028,4965.5]","[1352.9,1352.9,1000,0,352.9,""smooth"",""up"",""up"",""good_move"",4283.2,2930,2550.3,1353.3,379.6,""smooth"",""up"",""up"",""good_move"",7272.6,2989.2,2689.6,4283.5,299.6,""smooth"",""up"",""up"",""good_move"",9942.1,2668.8,2365.5,7273.3,303.3,""while_blue"",""right"",""left"",""bad_move"",12657.7,2715.4,2345.6,9942.3,369.8,""smooth"",""right"",""right"",""good_move"",15571.7,2913.4,2567.6,12658.3,345.8,""smooth"",""right"",""right"",""good_move"",18852.5,3280.3,2824.1,15572.2,456.2,""smooth"",""right"",""right"",""good_move"",21199.2,2346.3,1750.3,18853,595.9,""while_blue"",""right"",""down"",""bad_move"",23705.7,2505.7,2152.9,21200,352.8,""smooth"",""right"",""right"",""good_move"",27281.3,3575.1,3238.8,23706.2,336.4,""smooth"",""up"",""up"",""good_move""]","",""
