"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3910","1753260307923","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3915","0.0-0.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:45:07.926Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1373","","","","fullscreen","1","6296","0.0-1.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1574","1753260311883","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","7874","0.0-2.0-0.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:45:11.885Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108422.90000000001","","","","survey-template","3","116319","0.0-2.0-1.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:47:00.330Z","","{""Q01"":""0"",""Q02"":""2"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q02"",""Q07""]","[5973.700000000004,12858.700000000004,19937.100000000006,21243.100000000006,32210.40000000001,33590,34459.40000000001,38580.3,39605.100000000006,47671.8,52272.100000000006,53344.3,57389.40000000001,63650.90000000001,66397.7,70015.90000000001,72928,75462.3,76682,78596.5,80896.3,83147.50000000001,85399.3,90783.90000000001,101619.40000000001]","[]","[0.4000000000014552,5973.700000000004,12858.700000000004,19086.90000000001,19937.100000000006,21243.100000000006,32210.40000000001,33590,34459.40000000001,35396.5,38580.3,39605.100000000006,47671.8,49492.40000000001,52272.100000000006,53344.3,57389.40000000001,63650.90000000001,66397.7,70015.90000000001,72928,75462.3,76682,78596.5,80896.3,83147.50000000001,85399.3,90783.90000000001,101619.40000000001,108396.8]","0.8181818181818182","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15265.000000000015","","","","survey-template","4","131594","0.0-2.0-2.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:47:15.606Z","","{""Q01"":""1"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[6611.600000000006,8030.700000000012,9990.5]","[]","[6611.600000000006,8030.700000000012,9990.5,15260.800000000003]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24767","","","","instructions","5","156365","0.0-3.0-0.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24766}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2978","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","50","html-slider-response","6","159350","0.0-4.0-0.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:47:43.362Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3242","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","50","html-slider-response","7","162597","0.0-4.0-1.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:47:46.608Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4156","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","38","html-slider-response","8","166757","0.0-4.0-2.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:47:50.768Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","202360","0.0-5.0-0.0","198","1","2025-07-23 08:45:03","1f75c3e559b7213887762d5229550c2b","216.205.168.23","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5a1dda5480acd8000104a12b","683dba2a8a9dda3513610c04","6880a03cc4e351e2ea80b828","3","0","5a1dda5480acd8000104a12b","3","0","2025-07-23T08:48:26.372Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","168235.1","1619.5","6623.4","32578.5","1","4","8","6","2","8","8","8","0","0.06060606060606061","1872.8","3000","1145","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":3,""num_good_moves"":6}","[292.22232142857143,293.12857142857143,3.4,292.22232142857143,293.12857142857143,105.1,292.22232142857143,293.12857142857143,207.5,292.22232142857143,293.12857142857143,317.7,292.22232142857143,293.12857142857143,421.6,292.22232142857143,293.12857142857143,526.8,292.22232142857143,293.12857142857143,626.8,292.22232142857143,293.12857142857143,727.5,413.22232142857143,198.12857142857143,828.8,453.22232142857143,172.12857142857143,929.2,453.22232142857143,171.12857142857143,1031.6,471.22232142857143,160.12857142857143,1132,471.22232142857143,160.12857142857143,1241.1,471.22232142857143,160.12857142857143,1341.7,471.22232142857143,160.12857142857143,1446.4,520.2223214285714,76.12857142857143,1547.3,525.2223214285714,61.128571428571426,1647.6,527.2223214285714,58.128571428571426,1761.7,527.2223214285714,58.128571428571426,1865.9,527.2223214285714,58.128571428571426,1967.4,527.2223214285714,58.128571428571426,2068.7,527.2223214285714,58.128571428571426,2185.1,527.2223214285714,58.128571428571426,2287.6,527.2223214285714,58.128571428571426,2392.5,527.2223214285714,58.128571428571426,2492.5,527.2223214285714,58.128571428571426,2596.9,527.2223214285714,58.128571428571426,2697.6,527.2223214285714,58.128571428571426,2801.9,527.2223214285714,58.128571428571426,2905.9,527.2223214285714,58.128571428571426,3007.1,527.2223214285714,58.128571428571426,3116.3,527.2223214285714,58.128571428571426,3217.4,527.2223214285714,58.128571428571426,3319,527.2223214285714,58.128571428571426,3421.9,527.2223214285714,58.128571428571426,3522,527.2223214285714,58.128571428571426,3622.3,527.2223214285714,58.128571428571426,3722.3,527.2223214285714,58.128571428571426,3822.4,527.2223214285714,58.128571428571426,3922.5,527.2223214285714,58.128571428571426,4023.6,527.2223214285714,58.128571428571426,4129.4,527.2223214285714,58.128571428571426,4233.7,527.2223214285714,58.128571428571426,4339.1,527.2223214285714,58.128571428571426,4442.9,527.2223214285714,58.128571428571426,4543,527.2223214285714,58.128571428571426,4654.3,527.2223214285714,58.128571428571426,4756.9,527.2223214285714,58.128571428571426,4864.1,527.2223214285714,58.128571428571426,4966.3]","[1497.5,1497.5,1000,0.1,497.5,""smooth"",""right"",""right"",""good_move"",4511,3012.2,2613.2,1498.9,398.9,""smooth"",""right"",""right"",""good_move"",7560.7,3046,2644.3,4514.7,401.7,""smooth"",""right"",""right"",""good_move"",14047.5,6486.1,2565.8,11115.5,366.3,""smooth"",""up"",""up"",""good_move"",20458,6409.6,2558.2,17592.6,307.2,""smooth"",""up"",""up"",""good_move"",25835.6,5376.9,2087.5,23391.3,356.8,""smooth"",""up"",""up"",""good_move""]","",""
