"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3186","1753261913362","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3187","0.0-0.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:11:53.362Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8126","","","","fullscreen","1","12315","0.0-1.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4198","1753261926689","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","16514","0.0-2.0-0.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:12:06.689Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70475.69999998808","","","","survey-template","3","86994","0.0-2.0-1.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:13:17.169Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""2"",""Q13"":""5"",""Q14"":""0"",""Q15"":""3"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3862.800000011921,5039.9000000059605,5643.4000000059605,7819.199999988079,8501.199999988079,10387.199999988079,11363,13725,14455.800000011921,15905.59999999404,23635.80000001192,25258.30000001192,27715,31381.69999998808,34556.5,39361.09999999404,42030.90000000596,43683.5,44431.40000000596,50139.80000001192,55910.30000001192,58704.5,61905]","[]","[1.300000011920929,3862.800000011921,4439,5039.9000000059605,5643.4000000059605,7391.0999999940395,7819.199999988079,8501.199999988079,10387.199999988079,11363,12549.199999988079,13725,14455.800000011921,15905.59999999404,17260.09999999404,23635.80000001192,25258.30000001192,27715,31381.69999998808,34556.5,39361.09999999404,42030.90000000596,43683.5,44431.40000000596,50139.80000001192,55910.30000001192,58704.5,61905,65965.30000001192,70473.69999998808]","0.8181818181818182","0.14285714285714285","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21132.5","","","","survey-template","4","108127","0.0-2.0-2.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:13:38.303Z","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q02"",""Q03""]","[7204.799999982119,8744.199999988079,9943.09999999404,20038.09999999404]","[]","[7204.799999982119,8744.199999988079,9556,9943.09999999404,19638.19999998808,20038.09999999404,21132]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2916","","","","instructions","5","111044","0.0-3.0-0.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2916}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9269","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","40","html-slider-response","6","120314","0.0-4.0-0.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:13:50.489Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3664","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","15","html-slider-response","7","123979","0.0-4.0-1.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:13:54.154Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2631","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","126611","0.0-4.0-2.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:13:56.786Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","161523","0.0-5.0-0.0","203","1","2025-07-23 09:11:47","1f75c3e559b7213887762d5229550c2b","178.166.40.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en;q=0.9,en-US;q=0.8,pt-BR;q=0.7,pt-PT;q=0.6,pt;q=0.5","6172d51173f6962cef6b18cf","683db9eb0562dbf637994deb","6880a74b67973b678b8675a6","2","1","6172d51173f6962cef6b18cf","2","1","2025-07-23T09:14:31.698Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","127479.2","1577","6580.5","31906.8","1","4","8","6","2","8","7","7","0","0.05303030303030303","967.9","3000","445","[""down"",""left""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":2,""num_good_moves"":7}","[420.57142857142856,416.47767857142856,0.2,420.57142857142856,416.47767857142856,104,420.57142857142856,416.47767857142856,204.1,420.57142857142856,416.47767857142856,308.1,420.57142857142856,416.47767857142856,408.2,418.57142857142856,416.47767857142856,508.4,247.57142857142856,603.4776785714286,608.4,164.57142857142856,709.4776785714286,713.5,157.57142857142856,719.4776785714286,813.6,116.57142857142857,752.4776785714286,914.2,108.57142857142857,758.4776785714286,1014.3,107.57142857142857,758.4776785714286,1118.9,107.57142857142857,758.4776785714286,1219,190.57142857142856,784.4776785714286,1319.1,369.57142857142856,798.4776785714286,1423.8,464.57142857142856,790.4776785714286,1528.4,490.57142857142856,789.4776785714286,1628.4,490.57142857142856,789.4776785714286,1728.5,491.57142857142856,789.4776785714286,1828.7,491.57142857142856,789.4776785714286,1928.7,491.57142857142856,789.4776785714286,2028.8,491.57142857142856,789.4776785714286,2128.9,491.57142857142856,789.4776785714286,2228.9,491.57142857142856,789.4776785714286,2329,491.57142857142856,789.4776785714286,2429.1,491.57142857142856,789.4776785714286,2533.1,491.57142857142856,789.4776785714286,2633.3,491.57142857142856,789.4776785714286,2733.3,491.57142857142856,789.4776785714286,2833.4,491.57142857142856,789.4776785714286,2933.6,491.57142857142856,789.4776785714286,3033.6,491.57142857142856,789.4776785714286,3133.8,491.57142857142856,789.4776785714286,3233.8,491.57142857142856,789.4776785714286,3333.9,491.57142857142856,789.4776785714286,3434,619.5714285714286,769.4776785714286,3534.1,869.5714285714286,723.4776785714286,3638.2,984.5714285714286,701.4776785714286,3738.3,984.5714285714286,701.4776785714286,3838.3,980.5714285714286,701.4776785714286,3938.5,980.5714285714286,701.4776785714286,4038.6,980.5714285714286,701.4776785714286,4138.6,980.5714285714286,701.4776785714286,4238.7,980.5714285714286,701.4776785714286,4338.8,980.5714285714286,701.4776785714286,4438.8,980.5714285714286,701.4776785714286,4538.9,980.5714285714286,701.4776785714286,4639,980.5714285714286,701.4776785714286,4743.2,980.5714285714286,701.4776785714286,4843.2,980.5714285714286,701.4776785714286,4943.3]","[1462.3,1462.2,1000,0.1,462.2,""smooth"",""down"",""down"",""good_move"",8067.5,6605,2717.6,5019.9,330,""smooth"",""down"",""down"",""good_move"",11216.5,3148.8,2843.8,8067.7,305,""smooth"",""down"",""down"",""good_move"",14050.9,2834.3,2464,11216.6,370.3,""smooth"",""left"",""left"",""good_move"",16602.5,2551.3,2204.2,14051.2,347.1,""smooth"",""left"",""left"",""good_move"",19252.5,2649.8,2322.7,16602.7,327.1,""while_blue"",""left"",""right"",""bad_move"",22586.5,3333.8,2923,19252.7,410.8,""smooth"",""left"",""left"",""good_move"",25238.9,2652.3,2276,22586.6,376.3,""smooth"",""left"",""left"",""good_move""]","",""
