"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2598","1753267705532","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2599","0.0-0.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:48:25.534Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3405","","","","fullscreen","1","7008","0.0-1.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2308","1753267712252","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9318","0.0-2.0-0.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:48:32.252Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53589.30000001192","","","","survey-template","3","62911","0.0-2.0-1.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:49:25.845Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0"",""Q04"":""1"",""Q05"":""0"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""1"",""Q16"":""0"",""Q17"":""1"",""Q18"":""1"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3032.800000011921,4682.800000011921,6184.0999999940395,7106.5,8281.699999988079,10001.199999988079,11410.5,12564.59999999404,13807.90000000596,15497.09999999404,16950.69999998808,19515.80000001192,21934,26116.69999998808,31984,36559.59999999404,38157.59999999404,39434.80000001192,46678.19999998808,50131.40000000596,50785.69999998808,52348.19999998808]","[]","[0.09999999403953552,3032.800000011921,3796.699999988079,4682.800000011921,5561.0999999940395,6184.0999999940395,7106.5,8281.699999988079,10001.199999988079,11410.5,12564.59999999404,13807.90000000596,15497.09999999404,16950.69999998808,19515.80000001192,21934,26116.69999998808,31984,36559.59999999404,38157.59999999404,39434.80000001192,46678.19999998808,50131.40000000596,50785.69999998808,51573.59999999404,52348.19999998808,53582.80000001192]","0.5","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12208.90000000596","","","","survey-template","4","75123","0.0-2.0-2.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:49:38.057Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3260.5999999940395,6554.5999999940395,10174.5]","[]","[3260.5999999940395,6554.5999999940395,10174.5,12208]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25018","","","","instructions","5","100142","0.0-3.0-0.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":25017}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6612","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","46","html-slider-response","6","106756","0.0-4.0-0.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:50:09.690Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2618","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","38","html-slider-response","7","109375","0.0-4.0-1.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:50:12.309Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2781","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","54","html-slider-response","8","112158","0.0-4.0-2.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:50:15.092Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","141763","0.0-5.0-0.0","211","1","2025-07-23 10:48:22","1f75c3e559b7213887762d5229550c2b","89.154.153.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","Macintosh","Chrome","138.0.0.0","OS X","10_15_7","https://app.prolific.com/","pt-PT,pt;q=0.9,en-US;q=0.8,en;q=0.7,ca;q=0.6,fr;q=0.5,de;q=0.4,it;q=0.3","66db15814e7818d8b9593ad5","683dba2a8a9dda3513610c04","6880bc92ae773178346190a6","3","0","66db15814e7818d8b9593ad5","3","0","2025-07-23T10:50:44.697Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","113270.4","1472","6476.2","26597.7","1","4","4","6","2","4","4","4","0","0.030303030303030304","1368.8","3000","1010","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[739,735.796875,0.5,739,735.796875,103.8,739,735.796875,204.1,739,735.796875,309.4,739,735.796875,413.8,739,735.796875,514.3,739,735.796875,618.9,739,735.796875,719.6,821,635.796875,824.6,1199,299.796875,929.3,1239,283.796875,1033.5,1295,237.796875,1134.1,1321,209.796875,1238.8,1321,209.796875,1339.2,1321,209.796875,1439.3,1321,209.796875,1539.5,1405,721.796875,1640,1427,869.796875,1743.8,1427,869.796875,1844.2,1427,869.796875,1944.3,1427,869.796875,2049.4,1427,869.796875,2155,1427,869.796875,2259.2,1427,869.796875,2359.3,1427,869.796875,2464.2,1427,869.796875,2564.4,1427,869.796875,2668.8,1427,869.796875,2769.4,1427,869.796875,2874,1427,869.796875,2974.1,1427,869.796875,3074.1,1427,869.796875,3174.1,1427,869.796875,3279.5,1427,869.796875,3384.1,1427,869.796875,3489.2,1427,869.796875,3589.4,1427,869.796875,3693.5,1427,869.796875,3794,1427,869.796875,3899.3,1427,869.796875,4004.2,1427,869.796875,4109.2,1427,869.796875,4209.2,1427,869.796875,4309.4,1427,869.796875,4409.5,1427,869.796875,4513.9,1427,869.796875,4614.3,1427,869.796875,4714.8,1427,869.796875,4819.5,1427,869.796875,4919.6]","[1380.4,1380.3,1000,0.1,380.3,""smooth"",""up"",""up"",""good_move"",5031.6,3650.7,3309.8,1381,340.8,""smooth"",""up"",""up"",""good_move"",8089.7,3057.9,2767.1,5031.9,290.7,""smooth"",""up"",""up"",""good_move"",10864.6,2774.6,2486.3,8090,288.3,""smooth"",""right"",""right"",""good_move"",13766,2900.8,2613,10865.3,287.7,""smooth"",""right"",""right"",""good_move"",20033.5,6267.2,2496.3,17110,427.2,""smooth"",""right"",""right"",""good_move""]","",""
