"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3066","1753268441135","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3071","0.0-0.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:00:41.138Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6429","","","","fullscreen","1","10516","0.0-1.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2767","1753268451352","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","13286","0.0-2.0-0.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:00:51.353Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"206541.79999995232","","","","survey-template","3","219837","0.0-2.0-1.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:04:17.904Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""4"",""Q06"":""4"",""Q07"":""4"",""Q08"":""3"",""Q09"":""3"",""Q10"":""4"",""Q11"":""4"",""Q12"":""4"",""Q13"":""5"",""Q14"":""4"",""Q15"":""2"",""Q16"":""4"",""Q17"":""4"",""Q18"":""4"",""Q19"":""3"",""Q20"":""2"",""Q21"":""3"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4179.799999952316,7961.200000047684,10726.600000143051,12289.200000047684,15024.100000143051,20679.700000047684,23178.60000014305,25662.799999952316,27928.60000014305,31116.60000014305,36162.200000047684,39445.40000009537,41021.90000009537,42975.5,47022.799999952316,50884,53474.5,56615.700000047684,61976.60000014305,67725.20000004768,201757.10000014305,205303.90000009537]","[]","[0.20000004768371582,4179.799999952316,7961.200000047684,10726.600000143051,12289.200000047684,15024.100000143051,20679.700000047684,23178.60000014305,25662.799999952316,27928.60000014305,29880.10000014305,31116.60000014305,36162.200000047684,38063.799999952316,39445.40000009537,41021.90000009537,42975.5,47022.799999952316,50884,52414.90000009537,53474.5,55273.299999952316,56615.700000047684,61976.60000014305,67725.20000004768,201757.10000014305,205303.90000009537,206537.5]","0.45454545454545453","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11635.299999952316","","","","survey-template","4","231475","0.0-2.0-2.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:04:29.542Z","","{""Q01"":""3"",""Q02"":""1"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4602.099999904633,6633.099999904633,9933.099999904633]","[]","[288.69999980926514,4602.099999904633,6633.099999904633,8993.399999856949,9933.099999904633,11633.599999904633]","0.6666666666666666","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33793","","","","instructions","5","265270","0.0-3.0-0.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":33792}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8075","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","85","html-slider-response","6","273348","0.0-4.0-0.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:05:11.415Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3245","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","63","html-slider-response","7","276596","0.0-4.0-1.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:05:14.663Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3254","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","279851","0.0-4.0-2.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:05:17.918Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","312010","0.0-5.0-0.0","212","1","2025-07-23 11:00:30","1f75c3e559b7213887762d5229550c2b","62.164.249.91","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6792a60bf1238ae52e645ecb","683db9eb0562dbf637994deb","6880c083edc1442dcd649076","2","1","6792a60bf1238ae52e645ecb","2","1","2025-07-23T11:05:50.078Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","287548.8","3017.3","8020.8","29153.3","1","4","8","6","2","8","7","7","0","0.05303030303030303","1803.3","3000","670","[""down"",""left""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":1,""num_good_moves"":7}","[301.22232142857143,301.12857142857143,0.2,301.22232142857143,301.12857142857143,104.3,301.22232142857143,301.12857142857143,208.2,301.22232142857143,301.12857142857143,309.2,301.22232142857143,301.12857142857143,413.5,301.22232142857143,301.12857142857143,514.7,301.22232142857143,301.12857142857143,619.5,301.22232142857143,301.12857142857143,723.7,205.22232142857143,374.12857142857143,828.9,114.22232142857143,440.12857142857143,933.5,103.22232142857143,449.12857142857143,1035.6,103.22232142857143,449.12857142857143,1139.1,103.22232142857143,449.12857142857143,1247.3,80.22232142857143,480.12857142857143,1351.8,72.22232142857143,490.12857142857143,1454.7,60.222321428571426,506.12857142857143,1559.3,46.222321428571426,529.1285714285714,1660.5,46.222321428571426,529.1285714285714,1762,46.222321428571426,529.1285714285714,1863.2,46.222321428571426,529.1285714285714,1963.4,46.222321428571426,529.1285714285714,2064.7,46.222321428571426,529.1285714285714,2169.1,46.222321428571426,529.1285714285714,2273.3,46.222321428571426,529.1285714285714,2373.6,46.222321428571426,529.1285714285714,2478.2,46.222321428571426,529.1285714285714,2579.3,46.222321428571426,529.1285714285714,2683.9,46.222321428571426,529.1285714285714,2784,46.222321428571426,529.1285714285714,2888.8,46.222321428571426,529.1285714285714,2994.2,46.222321428571426,529.1285714285714,3098.9,46.222321428571426,529.1285714285714,3204.6,46.222321428571426,529.1285714285714,3308.2,46.222321428571426,529.1285714285714,3409.8,46.222321428571426,529.1285714285714,3513.3,46.222321428571426,529.1285714285714,3614.2,46.222321428571426,529.1285714285714,3718.7,46.222321428571426,529.1285714285714,3818.7,46.222321428571426,529.1285714285714,3923.8,46.222321428571426,529.1285714285714,4028.6,46.222321428571426,529.1285714285714,4129,46.222321428571426,529.1285714285714,4229.1,46.222321428571426,529.1285714285714,4333.2,46.222321428571426,529.1285714285714,4433.5,46.222321428571426,529.1285714285714,4540,46.222321428571426,529.1285714285714,4643.7,46.222321428571426,529.1285714285714,4748.7,46.222321428571426,529.1285714285714,4853.9,46.222321428571426,529.1285714285714,4954.6]","[1368.4,1368.3,1000,0.1,368.3,""smooth"",""down"",""down"",""good_move"",4177.6,2808.4,2468.3,1369.4,339.9,""smooth"",""down"",""down"",""good_move"",7015.2,2837.3,2519.3,4178,317.9,""smooth"",""left"",""left"",""good_move"",9524.5,2508.7,2169.3,7015.8,339.4,""smooth"",""down"",""down"",""good_move"",12504.5,2979.7,2714.9,9524.8,264.8,""while_blue"",""left"",""right"",""bad_move"",15469.4,2964.3,2591.4,12505.1,372.9,""smooth"",""left"",""left"",""good_move"",18319.4,2849.7,2501.1,15469.7,348.6,""smooth"",""left"",""left"",""good_move"",21035.8,2716.1,2294.7,18319.8,421.3,""smooth"",""left"",""left"",""good_move""]","",""
