"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"7609","1753270786169","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7610","0.0-0.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:39:46.170Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2349","","","","fullscreen","1","10972","0.0-1.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3654","1753270793185","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","14627","0.0-2.0-0.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:39:53.186Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104700.09999999404","","","","survey-template","3","119332","0.0-2.0-1.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:41:37.891Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""0"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""1"",""Q12"":""2"",""Q13"":""5"",""Q14"":""2"",""Q15"":""2"",""Q16"":""3"",""Q17"":""3"",""Q18"":""1"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q19"",""Q20"",""Q21"",""Q21"",""Q22"",""Q18""]","[8198.199999988079,10332.89999999106,13923.5,15136.39999999106,18406.59999999404,19892.59999999404,22463.5,24275.09999999404,37003.29999999702,45780.19999998808,47230.69999998808,57335.5,60387.09999999404,62823.19999998808,64753.39999999106,68983.39999999106,77129.19999998808,78546,82812.29999999702,86798.39999999106,89133.19999998808,90457.69999998808,93408.19999998808,102201.09999999404]","[]","[0.19999998807907104,5513.5999999940395,8198.199999988079,10332.89999999106,13923.5,15136.39999999106,18406.59999999404,19892.59999999404,22463.5,24275.09999999404,37003.29999999702,45780.19999998808,47230.69999998808,57335.5,60387.09999999404,62823.19999998808,64753.39999999106,68983.39999999106,75513.69999998808,77129.19999998808,78546,80480.39999999106,82812.29999999702,86798.39999999106,89133.19999998808,90457.69999998808,93408.19999998808,94547,102201.09999999404,104697.09999999404]","0.4090909090909091","0.3333333333333333","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16609.89999999106","","","","survey-template","4","135943","0.0-2.0-2.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:41:54.503Z","","{""Q01"":""1"",""Q02"":""2"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03"",""Q03""]","[2576.8999999910593,8676.89999999106,12643.79999999702,15009.09999999404]","[]","[2576.8999999910593,8676.89999999106,12643.79999999702,14043.59999999404,15009.09999999404,16609.19999998808]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9832","","","","instructions","5","145777","0.0-3.0-0.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":9832}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6783","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","29","html-slider-response","6","152561","0.0-4.0-0.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:42:11.120Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22965","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","41","html-slider-response","7","175527","0.0-4.0-1.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:42:34.086Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4599","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","77","html-slider-response","8","180127","0.0-4.0-2.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:42:38.686Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","213135","0.0-5.0-0.0","215","1","2025-07-23 11:39:36","1f75c3e559b7213887762d5229550c2b","41.246.139.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","650ac282d9578d72800bf303","683db9eb0562dbf637994deb","6880c9d571c1bd156936bb13","2","1","650ac282d9578d72800bf303","2","1","2025-07-23T11:43:11.694Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","185622.4","4614.4","9615.9","30003.3","1","4","4","6","2","-4","-5","0","0","0","1087.3","3000","-2990","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":5,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":1,""num_good_moves"":5}","[303.22232142857143,295.12857142857143,0.1,303.22232142857143,295.12857142857143,100.9,303.22232142857143,295.12857142857143,201.2,303.22232142857143,295.12857142857143,306.4,303.22232142857143,295.12857142857143,412.6,116.22232142857143,-12.871428571428574,516.4,108.22232142857143,-36.871428571428574,621.2,95.22232142857143,38.128571428571426,722.2,84.22232142857143,54.128571428571426,827.2,82.22232142857143,54.128571428571426,933.1,82.22232142857143,54.128571428571426,1037.2,82.22232142857143,54.128571428571426,1142.5,82.22232142857143,54.128571428571426,1247.4,82.22232142857143,54.128571428571426,1351.4,82.22232142857143,54.128571428571426,1456.9,82.22232142857143,54.128571428571426,1557.6,82.22232142857143,54.128571428571426,1657.8,82.22232142857143,54.128571428571426,1760.8,82.22232142857143,54.128571428571426,1861,82.22232142857143,54.128571428571426,1961.6,82.22232142857143,54.128571428571426,2061.6,82.22232142857143,54.128571428571426,2165.9,82.22232142857143,54.128571428571426,2266,82.22232142857143,54.128571428571426,2366.2,82.22232142857143,54.128571428571426,2471.5,82.22232142857143,54.128571428571426,2571.8,82.22232142857143,54.128571428571426,2672,82.22232142857143,54.128571428571426,2776.5,82.22232142857143,54.128571428571426,2876.7,82.22232142857143,54.128571428571426,2976.8,82.22232142857143,54.128571428571426,3081.3,82.22232142857143,54.128571428571426,3181.5,82.22232142857143,54.128571428571426,3281.7,82.22232142857143,54.128571428571426,3381.9,82.22232142857143,54.128571428571426,3487.8,82.22232142857143,54.128571428571426,3591.7,82.22232142857143,54.128571428571426,3696.4,82.22232142857143,54.128571428571426,3796.8,82.22232142857143,54.128571428571426,3901.3,82.22232142857143,54.128571428571426,4007.6,82.22232142857143,54.128571428571426,4111.7,82.22232142857143,54.128571428571426,4216.8,82.22232142857143,54.128571428571426,4320.8,82.22232142857143,54.128571428571426,4421.6,82.22232142857143,54.128571428571426,4526.9,82.22232142857143,54.128571428571426,4631,82.22232142857143,54.128571428571426,4731.6,82.22232142857143,54.128571428571426,4837,82.22232142857143,54.128571428571426,4942.6]","[1049.1,1048.9,1005.8,0.2,43.1,""while_blue"",""up"",""down"",""bad_move"",4098.5,3049,1020.2,1049.5,2028.8,""smooth"",""up"",""up"",""good_move"",6724.1,2625.3,1961.1,4098.8,664.2,""smooth"",""up"",""up"",""good_move"",11480.3,4756,2645,6724.3,2111,""smooth"",""up"",""up"",""good_move"",14467,2986.4,2438.1,11480.6,548.3,""smooth"",""up"",""up"",""good_move"",17075,2607.7,1791.4,14467.3,816.3,""smooth"",""left"",""left"",""good_move""]","",""
