"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"7296","1753277026306","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7298","0.0-0.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:23:46.307Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"496171","","","","fullscreen","1","504473","0.0-1.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1861","1753277525344","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","506336","0.0-2.0-0.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:32:05.345Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52902","","","","survey-template","3","559244","0.0-2.0-1.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:32:58.253Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3"",""Q04"":""3"",""Q05"":""4"",""Q06"":""3"",""Q07"":""2"",""Q08"":""2"",""Q09"":""2"",""Q10"":""3"",""Q11"":""3"",""Q12"":""2"",""Q13"":""2"",""Q14"":""3"",""Q15"":""2"",""Q16"":""3"",""Q17"":""3"",""Q18"":""2"",""Q19"":""3"",""Q20"":""3"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q09"",""Q08"",""Q10"",""Q11"",""Q12"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[3452.400000035763,7471.700000047684,8993.300000011921,9255.400000035763,10260.800000011921,13828.300000011921,14854.800000011921,15808.800000011921,18623.100000023842,19638.80000001192,21034.600000023842,25579.600000023842,26897.80000001192,27215.80000001192,28990.600000023842,30430.30000001192,31825.5,34046.30000001192,35706.30000001192,39469.80000001192,42199.700000047684,43344.80000001192,44697.30000001192,48067.90000003576]","[]","[0.10000002384185791,3452.400000035763,4206.700000047684,4872.400000035763,5608.900000035763,6247.400000035763,7471.700000047684,8403.600000023842,8993.300000011921,9255.400000035763,9759.800000011921,10260.800000011921,11167.300000011921,11819.700000047684,13047.200000047684,13828.300000011921,14854.800000011921,15808.800000011921,16535.600000023842,17294.100000023842,18012,18623.100000023842,19638.80000001192,21034.600000023842,22135.600000023842,22587.80000001192,23579.600000023842,24007.200000047684,24528.100000023842,25579.600000023842,26897.80000001192,27215.80000001192,28015.600000023842,28990.600000023842,30430.30000001192,31825.5,32878.80000001192,34046.30000001192,35131,35706.30000001192,38587.30000001192,39469.80000001192,42199.700000047684,43344.80000001192,44697.30000001192,48067.90000003576,52894.700000047684]","0.5","0.6190476190476191","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7654.300000011921","","","","survey-template","4","566900","0.0-2.0-2.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:33:05.909Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2344.5,4152.900000035763,5428.699999988079]","[]","[2344.5,3288.400000035763,4152.900000035763,5428.699999988079,7653.300000011921]","0.6666666666666666","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2910","","","","instructions","5","569811","0.0-3.0-0.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2909}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2176","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","67","html-slider-response","6","571991","0.0-4.0-0.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:33:11.000Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29670","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","75","html-slider-response","7","601662","0.0-4.0-1.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:33:40.671Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7823","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","63","html-slider-response","8","609486","0.0-4.0-2.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:33:48.495Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","639611","0.0-5.0-0.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:34:18.621Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","613986.6","1212.4","6216.6","27113.2","1","4","4","6","2","4","4","4","0","0.030303030303030304","1480.9","3000","775","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[766.4285714285714,786.4285714285714,0.2,766.4285714285714,786.4285714285714,199.4,766.4285714285714,780.1785714285714,304.3,771.4285714285714,762.6785714285714,408.8,777.6785714285714,721.4285714285714,509.3,731.4285714285714,697.6785714285714,613.3,815.1785714285714,858.9285714285714,714.3,943.9285714285714,981.4285714285714,819.8,1041.4285714285713,1093.9285714285713,923.2,1098.9285714285713,1136.4285714285713,1024.1,1182.6785714285713,1198.9285714285713,1124.6,1262.6785714285713,1256.4285714285713,1229.2,1335.1785714285713,1317.6785714285713,1332.2,1363.9285714285713,1333.9285714285713,1435.2,1363.9285714285713,1333.9285714285713,1540.6,1363.9285714285713,1331.4285714285713,1645.1,1370.1785714285713,1326.4285714285713,1748.5,1728.9285714285713,1336.4285714285713,1848.6,2270.1785714285716,1307.6785714285713,1957.1,2270.1785714285716,1491.4285714285713,2059.6,2270.1785714285716,1470.1785714285713,2165.1,2270.1785714285716,1470.1785714285713,2268.8,2270.1785714285716,1470.1785714285713,2373.5,2270.1785714285716,1467.6785714285713,2475,2270.1785714285716,1467.6785714285713,2580.8,2270.1785714285716,1467.6785714285713,2683.7,2270.1785714285716,1467.6785714285713,2784.4,2270.1785714285716,1108.9285714285713,2888.8,2270.1785714285716,1117.6785714285713,2995,2270.1785714285716,1353.9285714285713,3099.4,2270.1785714285716,1488.9285714285713,3203.7,2270.1785714285716,1548.9285714285713,3303.8,2270.1785714285716,1548.9285714285713,3409.5,2270.1785714285716,1548.9285714285713,3513.8,2270.1785714285716,1548.9285714285713,3619.2,2270.1785714285716,1548.9285714285713,3723.7,2270.1785714285716,1548.9285714285713,3823.9,2270.1785714285716,1548.9285714285713,3928.2,2270.1785714285716,1548.9285714285713,4034.6,2270.1785714285716,1548.9285714285713,4139.2,2270.1785714285716,1548.9285714285713,4244.2,2270.1785714285716,1548.9285714285713,4349.8,2270.1785714285716,1548.9285714285713,4450,2270.1785714285716,1548.9285714285713,4553.7,2270.1785714285716,1548.9285714285713,4653.7,2270.1785714285716,1548.9285714285713,4754,2270.1785714285716,1548.9285714285713,4858.7,2270.1785714285716,1548.9285714285713,4958.8]","[4892,4892,2350.6,2009.2,532.2,""smooth"",""right"",""right"",""good_move"",8303.6,3411.1,3022.8,4892.5,388.3,""smooth"",""right"",""right"",""good_move"",12426.1,4122.3,3599.3,8303.8,523,""smooth"",""right"",""right"",""good_move"",15623.4,3196.5,2796.5,12426.9,400,""smooth"",""down"",""down"",""good_move"",18354.8,2730.9,2386.6,15623.9,344.3,""smooth"",""down"",""down"",""good_move"",20798.9,2443.8,2056.8,18355.1,387.1,""smooth"",""down"",""down"",""good_move""]","",""
"79997","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","85","html-slider-response","10","719610","0.0-5.0-1.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:35:38.620Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3645","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","69","html-slider-response","11","723256","0.0-5.0-2.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:35:42.266Z","","","","","","","","","","","ControlQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3477","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","36","html-slider-response","12","726734","0.0-5.0-3.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:35:45.743Z","","","","","","","","","","","StressQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6803","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","58","html-slider-response","13","733538","0.0-5.0-4.0","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:35:52.547Z","","","","","","","","","","","MotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","14","760104","0.0-5.0-0.1","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:36:19.113Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","0.9","2","0","738036.3","2035","7036.6","23556.2","1","4","8","6","2","8","8","12","4","0.09090909090909091","1607.8","3000","865","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[770.1785714285714,763.9285714285714,0.3,770.1785714285714,763.9285714285714,101.7,772.6785714285714,761.4285714285714,205.6,780.1785714285714,752.6785714285714,306.4,821.4285714285714,642.6785714285714,418.7,838.9285714285714,578.9285714285714,519.2,836.4285714285714,572.6785714285714,621.3,791.4285714285714,648.9285714285714,721.3,800.1785714285714,713.9285714285714,826.5,685.1785714285714,617.6785714285714,935,508.92857142857144,378.92857142857144,1035.6,405.17857142857144,330.17857142857144,1136.5,251.42857142857142,273.92857142857144,1236.5,221.42857142857142,241.42857142857142,1336.9,201.42857142857142,192.67857142857142,1437.4,156.42857142857142,111.42857142857142,1541.7,156.42857142857142,111.42857142857142,1642,156.42857142857142,111.42857142857142,1745.5,186.42857142857142,116.42857142857142,1845.5,455.17857142857144,315.17857142857144,1947.7,1310.1785714285713,960.1785714285714,2051.9,2270.1785714285716,1775.1785714285713,2152,2270.1785714285716,1775.1785714285713,2256,2270.1785714285716,1775.1785714285713,2356.5,2270.1785714285716,1775.1785714285713,2456.7,2270.1785714285716,1775.1785714285713,2570,2270.1785714285716,1775.1785714285713,2670.2,2270.1785714285716,1775.1785714285713,2770.6,2270.1785714285716,1775.1785714285713,2876.7,2270.1785714285716,1775.1785714285713,2981.5,2270.1785714285716,1775.1785714285713,3085.8,2270.1785714285716,1775.1785714285713,3186.4,2270.1785714285716,1775.1785714285713,3291.6,2270.1785714285716,1775.1785714285713,3396.6,2270.1785714285716,1775.1785714285713,3502,2270.1785714285716,1775.1785714285713,3606,2270.1785714285716,1775.1785714285713,3706.4,2270.1785714285716,1775.1785714285713,3819.4,2270.1785714285716,1775.1785714285713,3919.8,2270.1785714285716,1775.1785714285713,4020,2270.1785714285716,1775.1785714285713,4120.9,2270.1785714285716,1775.1785714285713,4226.5,2270.1785714285716,1775.1785714285713,4336.4,2270.1785714285716,1775.1785714285713,4441.2,2270.1785714285716,1775.1785714285713,4541.3,2270.1785714285716,1775.1785714285713,4641.7,2270.1785714285716,1775.1785714285713,4746.8,2270.1785714285716,1775.1785714285713,4853,2270.1785714285716,1775.1785714285713,4953.5]","[1466.6,1466.6,1000,0,466.6,""smooth"",""left"",""left"",""good_move"",4479.6,3012.7,2661.7,1466.9,351,""smooth"",""left"",""left"",""good_move"",6728.4,2248.5,1742.3,4479.9,506.2,""smooth"",""left"",""left"",""good_move"",10094.7,3366,2985,6728.7,381.1,""smooth"",""up"",""up"",""good_move"",13282.2,3186,2772.2,10096.2,413.8,""smooth"",""up"",""up"",""good_move"",16417.8,3135.4,2765.4,13282.4,370,""smooth"",""up"",""up"",""good_move""]","",""
"101454","","<div style=""width:500px;"">
  <p>What determined the result of this run?</p>
  </div>","63","html-slider-response","15","861560","0.0-5.0-1.1","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:38:00.569Z","","","","","","","","","","","AttribQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3507","","<div style=""width:500px;"">
  <p>How much control did you have over the ball?</p>
  </div>","70","html-slider-response","16","865069","0.0-5.0-2.1","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:38:04.078Z","","","","","","","","","","","ControlQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2801","","<div style=""width:500px;"">
  <p>How would you describe your current emotional state?</p>
  </div>","31","html-slider-response","17","867871","0.0-5.0-3.1","220","1","2025-07-23 13:23:34","1f75c3e559b7213887762d5229550c2b","41.122.132.69","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","678bad003d15e6aba1ee5a5d","683dba2a8a9dda3513610c04","6880e071bd263a7c36c29bd9","3","0","678bad003d15e6aba1ee5a5d","3","0","2025-07-23T13:38:06.880Z","","","","","","","","","","","StressQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
