"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"120468","1753277228008","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","120472","0.0-0.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:27:08.011Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7954","","","","fullscreen","1","129439","0.0-1.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339","1753277238317","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","130779","0.0-2.0-0.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:27:18.317Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116280.90000009537","","","","survey-template","3","247064","0.0-2.0-1.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:29:14.602Z","","{""Q01"":""3"",""Q02"":""0"",""Q03"":""0"",""Q04"":""3"",""Q05"":""4"",""Q06"":""0"",""Q07"":""4"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1"",""Q11"":""5"",""Q12"":""3"",""Q13"":""5"",""Q14"":""2"",""Q15"":""3"",""Q16"":""3"",""Q17"":""0"",""Q18"":""2"",""Q19"":""3"",""Q20"":""2"",""Q21"":""3"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22"",""Q10""]","[4650.200000047684,7564.100000023842,11488.300000071526,16286.200000047684,17426.400000095367,24332.100000023842,26611.900000095367,30025.900000095367,43459.90000009537,51297.90000009537,54159.800000071526,56676.200000047684,62409.5,67981.80000007153,72991.80000007153,77359.90000009537,81001.5,87903.5,93751.5,101433.5,105564.30000007153,112497.30000007153]","[]","[0,4650.200000047684,7564.100000023842,10008.100000023842,11488.300000071526,15285.900000095367,16286.200000047684,17426.400000095367,24332.100000023842,26611.900000095367,30025.900000095367,43459.90000009537,48141.5,51297.90000009537,54159.800000071526,56676.200000047684,62409.5,67981.80000007153,72991.80000007153,77359.90000009537,81001.5,87903.5,93751.5,101433.5,105564.30000007153,106584.10000002384,112497.30000007153,116273.5]","0.3181818181818182","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31093.399999976158","","","","survey-template","4","278160","0.0-2.0-2.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:29:45.698Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[15384.700000047684,22571.700000047684,29823.100000023842]","[]","[15384.700000047684,22571.700000047684,29823.100000023842,30525,31092.5]","0.6666666666666666","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2074","","","","instructions","5","280235","0.0-3.0-0.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2074}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6103","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","286341","0.0-4.0-0.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:29:53.879Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4625","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","100","html-slider-response","7","290967","0.0-4.0-1.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:29:58.505Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4263","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","0","html-slider-response","8","295231","0.0-4.0-2.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:30:02.769Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","318302","0.0-5.0-0.0","222","1","2025-07-23 13:25:06","1f75c3e559b7213887762d5229550c2b","41.150.225.117","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6785052a054e7c96c09f69cd","683db9eb0562dbf637994deb","6880e1aa1a41d16149988670","2","1","6785052a054e7c96c09f69cd","2","1","2025-07-23T13:30:25.840Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","298429.1","1519.9","6520.8","20063","1","4","8","6","1","1","1","1","0","0.007575757575757576","1563.4","3000","1140","[""left"",""up""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[424.07142857142856,414.6808016640799,0.3,424.07142857142856,414.6808016640799,112.7,424.07142857142856,414.6808016640799,213.9,424.07142857142856,414.6808016640799,314.1,424.07142857142856,414.6808016640799,415.6,424.07142857142856,414.6808016640799,516.4,424.07142857142856,414.6808016640799,621.4,424.07142857142856,414.6808016640799,733.5,346.07142857142856,278.1808016640799,839.9,205.07142857142856,93.68080166407994,940.8,164.57142857142856,65.18080166407994,1041,74.57142857142857,35.18080166407994,1141.8,61.07142857142857,32.18080166407994,1247.6,68.57142857142857,41.18080166407994,1347.7,83.57142857142857,53.18080166407994,1449.6,83.57142857142857,54.68080166407994,1551,83.57142857142857,54.68080166407994,1651.9,83.57142857142857,54.68080166407994,1755.5,74.57142857142857,80.18080166407994,1857.1,-69.42857142857143,242.18080166407992,1964,-198.42857142857144,287.1808016640799,2066.3,-202.92857142857144,287.1808016640799,2166.5,-202.92857142857144,287.1808016640799,2266.5,-202.92857142857144,287.1808016640799,2372,-202.92857142857144,287.1808016640799,2480.7,-202.92857142857144,287.1808016640799,2586.7,-202.92857142857144,287.1808016640799,2686.8,-202.92857142857144,287.1808016640799,2791.2,-202.92857142857144,287.1808016640799,2896.5,-202.92857142857144,287.1808016640799,2996.6,-202.92857142857144,287.1808016640799,3101.3,-202.92857142857144,287.1808016640799,3201.6,-202.92857142857144,287.1808016640799,3305.9,-202.92857142857144,287.1808016640799,3407.5,-202.92857142857144,287.1808016640799,3513.2,-202.92857142857144,287.1808016640799,3616.4,-202.92857142857144,287.1808016640799,3721.4,-202.92857142857144,287.1808016640799,3821.6,-202.92857142857144,287.1808016640799,3922.1,-202.92857142857144,287.1808016640799,4029.4,-202.92857142857144,287.1808016640799,4129.5,-202.92857142857144,287.1808016640799,4230.4,-202.92857142857144,287.1808016640799,4330.6,-202.92857142857144,287.1808016640799,4436.1,-202.92857142857144,287.1808016640799,4536.6,-202.92857142857144,287.1808016640799,4646.5,-202.92857142857144,287.1808016640799,4746.5,-202.92857142857144,287.1808016640799,4846.5,-202.92857142857144,287.1808016640799,4951]","[1502.4,1502.4,1000,0,502.4,""smooth"",""up"",""up"",""good_move"",4575.3,3072.3,2604.3,1503,468,""smooth"",""up"",""up"",""good_move"",7460,2884.4,2408,4575.6,476.4,""smooth"",""left"",""left"",""good_move"",13444.8,5984.3,2036,10729.7,679.1,""smooth"",""left"",""left"",""good_move""]","",""
