"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"87951","1753278305559","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","87954","0.0-0.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:45:05.561Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24190","","","","fullscreen","1","113191","0.0-1.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023","1753278332827","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","115220","0.0-2.0-0.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:45:32.827Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86184.10000002384","","","","survey-template","3","201408","0.0-2.0-1.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:46:59.015Z","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""4"",""Q06"":""5"",""Q07"":""5"",""Q08"":""5"",""Q09"":""5"",""Q10"":""5"",""Q11"":""5"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""5"",""Q16"":""5"",""Q17"":""5"",""Q18"":""0"",""Q19"":""5"",""Q20"":""5"",""Q21"":""5"",""Q22"":""5""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q09"",""Q08"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2557.199999988079,3650.300000011921,7223.5,8371.899999976158,11354.800000011921,12938,14484.100000023842,18329.80000001192,19395.30000001192,20746,23190.399999976158,26313.5,28516.100000023842,37735.5,40467.60000002384,45593.30000001192,48953.30000001192,51174.19999998808,55907.19999998808,60442.19999998808,70820.5,79239.39999997616,80333.39999997616,84435.5]","[]","[0.19999998807907104,2557.199999988079,3650.300000011921,5052.899999976158,5980.600000023842,7223.5,8371.899999976158,11354.800000011921,12938,14484.100000023842,16041.800000011921,18329.80000001192,19395.30000001192,20746,22075,23190.399999976158,24304.899999976158,26313.5,28516.100000023842,37735.5,39415.69999998808,40467.60000002384,45593.30000001192,47740.39999997616,48953.30000001192,49939.19999998808,51174.19999998808,55907.19999998808,60442.19999998808,67087.60000002384,68955.10000002384,69963.60000002384,70820.5,73297.80000001192,74562.89999997616,76792.60000002384,79239.39999997616,80333.39999997616,82612.89999997616,84435.5,86181.5]","0.8181818181818182","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15543.200000047684","","","","survey-template","4","216953","0.0-2.0-2.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:47:14.560Z","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[7153.400000035763,13196.5,14628.400000035763]","[]","[6072.5,7153.400000035763,10090.700000047684,11663.400000035763,13196.5,14628.400000035763,15542.600000023842]","0.6666666666666666","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11072","","","","instructions","5","228026","0.0-3.0-0.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11072}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3900","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","11","html-slider-response","6","231963","0.0-4.0-0.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:47:29.570Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6896","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","11","html-slider-response","7","238860","0.0-4.0-1.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:47:36.467Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3192","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","13","html-slider-response","8","242053","0.0-4.0-2.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:47:39.660Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","273087","0.0-5.0-0.0","223","1","2025-07-23 13:43:34","1f75c3e559b7213887762d5229550c2b","173.21.92.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","66f4c82536b5c8271f53564c","683db9eb0562dbf637994deb","6880e6f7817689b3ae3598d1","2","1","66f4c82536b5c8271f53564c","2","1","2025-07-23T13:48:10.694Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","245170.9","1277.9","6278.6","28026.4","1","4","4","6","2","4","3","3","0","0.022727272727272728","1548.4","3000","1485","[""up"",""right""]","{""num_key_presses"":7,""num_perfect"":6,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[460.8571428571429,467.7633928571429,0.2,460.8571428571429,467.7633928571429,106,460.8571428571429,467.7633928571429,213,460.8571428571429,467.7633928571429,313.6,460.8571428571429,467.7633928571429,421.8,460.8571428571429,467.7633928571429,529.3,460.8571428571429,467.7633928571429,632.7,460.8571428571429,467.7633928571429,732.9,460.8571428571429,467.7633928571429,834.2,722.8571428571429,179.76339285714286,937.6,828.8571428571429,108.76339285714286,1043.7,837.8571428571429,67.76339285714286,1148.8,842.8571428571429,62.76339285714286,1259.5,842.8571428571429,62.76339285714286,1359.9,842.8571428571429,62.76339285714286,1464.7,842.8571428571429,62.76339285714286,1584.3,842.8571428571429,62.76339285714286,1694.7,842.8571428571429,62.76339285714286,1794.9,842.8571428571429,62.76339285714286,1898,842.8571428571429,62.76339285714286,1998.1,842.8571428571429,62.76339285714286,2106.5,842.8571428571429,62.76339285714286,2213.1,842.8571428571429,62.76339285714286,2321.5,842.8571428571429,62.76339285714286,2421.6,842.8571428571429,62.76339285714286,2529.6,842.8571428571429,62.76339285714286,2631.2,842.8571428571429,62.76339285714286,2734.6,842.8571428571429,62.76339285714286,2841.5,842.8571428571429,62.76339285714286,2943.2,842.8571428571429,62.76339285714286,3046.8,842.8571428571429,62.76339285714286,3147.9,842.8571428571429,62.76339285714286,3259.2,842.8571428571429,62.76339285714286,3359.4,842.8571428571429,62.76339285714286,3464.4,842.8571428571429,62.76339285714286,3564.6,842.8571428571429,62.76339285714286,3671.2,842.8571428571429,62.76339285714286,3777,842.8571428571429,62.76339285714286,3881.2,842.8571428571429,62.76339285714286,3987.1,842.8571428571429,62.76339285714286,4094.6,842.8571428571429,62.76339285714286,4198.2,842.8571428571429,62.76339285714286,4315.3,842.8571428571429,62.76339285714286,4416.8,842.8571428571429,62.76339285714286,4525.4,842.8571428571429,62.76339285714286,4626,842.8571428571429,62.76339285714286,4726,842.8571428571429,62.76339285714286,4828.5,842.8571428571429,62.76339285714286,4935.7]","[668.5,668.5,1000,0,-331.5,""error"",""-"",""-"",""no_move"",8353.8,7685.2,2321.4,5660.9,371.5,""smooth"",""up"",""up"",""good_move"",11014.7,2660.6,2285.5,8354.1,375.1,""smooth"",""up"",""up"",""good_move"",14243.6,3228.7,2889.1,11015,339.6,""smooth"",""right"",""right"",""good_move"",16784,2540.1,2178.8,14243.9,361.3,""smooth"",""right"",""right"",""good_move"",18978.1,2193.9,1835.2,16784.3,358.7,""smooth"",""up"",""up"",""good_move"",21616.4,2638,2317.5,18978.5,320.4,""smooth"",""right"",""right"",""good_move""]","",""
