"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"3230","1753289709741","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","3236","0.0-0.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:55:09.743Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3113","","","","fullscreen","1","7382","0.0-1.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1684","1753289715573","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","9067","0.0-2.0-0.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:55:15.574Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54134.6","","","","survey-template","3","63211","0.0-2.0-1.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:56:09.718Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0"",""Q04"":""2"",""Q05"":""0"",""Q06"":""1"",""Q07"":""1"",""Q08"":""2"",""Q09"":""1"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""3"",""Q20"":""1"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q17"",""Q18"",""Q19"",""Q19"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[4471.299999999996,5503.5999999999985,6694.4000000000015,8656.599999999999,9792.400000000001,11683.599999999999,13284.400000000001,16518.200000000004,17907.6,19309.799999999996,23730.9,25374.500000000007,27028.299999999996,28681.799999999996,31099.9,33352.700000000004,34215.700000000004,34386.299999999996,35385.50000000001,36350.299999999996,38429.299999999996,40362.9,44417.700000000004,47382.299999999996,50616.6,51789.200000000004,53115.50000000001]","[40362.9]","[0.20000000000436557,4471.299999999996,5503.5999999999985,6694.4000000000015,8656.599999999999,9792.400000000001,11683.599999999999,13284.400000000001,16518.200000000004,17907.6,19309.799999999996,19913.9,23730.9,25374.500000000007,27028.299999999996,28681.799999999996,31099.9,32570.200000000004,33352.700000000004,34215.700000000004,34386.299999999996,35385.50000000001,36350.299999999996,38429.299999999996,41289.50000000001,44417.700000000004,47382.299999999996,50616.6,51789.200000000004,53115.50000000001,54121.1]","0.45454545454545453","0.47619047619047616","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10774","","","","survey-template","4","73988","0.0-2.0-2.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:56:20.496Z","","{""Q01"":""1"",""Q02"":""3"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2437.199999999997,7235.099999999991,9647.599999999991]","[]","[2437.199999999997,7235.099999999991,9647.599999999991,10771.899999999994]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3620","","","","instructions","5","77611","0.0-3.0-0.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3619}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3038","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","52","html-slider-response","6","80656","0.0-4.0-0.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:56:27.163Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2476","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","37","html-slider-response","7","83135","0.0-4.0-1.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:56:29.643Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2877","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","31","html-slider-response","8","86016","0.0-4.0-2.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:56:32.523Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","110029","0.0-5.0-0.0","227","1","2025-07-23 16:55:05","1f75c3e559b7213887762d5229550c2b","94.3.17.192","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","ChromeOS","14541.0.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5b5f23420085cb0001872849","683dba2a8a9dda3513610c04","688113dc9d0f2df884384b27","3","0","5b5f23420085cb0001872849","3","0","2025-07-23T16:56:56.536Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","87924.8","1467.9","6471.9","20980.2","1","4","8","6","2","8","8","8","0","0.06060606060606061","1311.2","3000","925","[""down"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":6}","[415.3214133126395,420.32142761775424,0.6,415.3214133126395,420.32142761775424,103.2,415.3214133126395,420.32142761775424,203.3,415.3214133126395,420.32142761775424,303.4,415.3214133126395,420.32142761775424,409.8,415.3214133126395,420.32142761775424,510.9,415.3214133126395,420.32142761775424,613.4,602.8214133126395,560.3214276177542,718.2,671.5714133126395,644.0714276177542,818.2,677.8214133126395,656.5714276177542,923.3,754.0714133126395,755.3214276177542,1029,756.5714133126395,757.8214276177542,1130.4,756.5714133126395,757.8214276177542,1235.4,756.5714133126395,757.8214276177542,1338.9,756.5714133126395,757.8214276177542,1440.3,756.5714133126395,757.8214276177542,1541.6,756.5714133126395,757.8214276177542,1644.3,756.5714133126395,757.8214276177542,1748.3,756.5714133126395,757.8214276177542,1848.3,756.5714133126395,757.8214276177542,1948.3,756.5714133126395,757.8214276177542,2053.1,756.5714133126395,757.8214276177542,2153.4,756.5714133126395,757.8214276177542,2258.5,756.5714133126395,757.8214276177542,2358.5,756.5714133126395,757.8214276177542,2459.6,756.5714133126395,757.8214276177542,2563,756.5714133126395,757.8214276177542,2667.9,756.5714133126395,757.8214276177542,2768,756.5714133126395,757.8214276177542,2868.1,756.5714133126395,757.8214276177542,2970,756.5714133126395,757.8214276177542,3073.2,756.5714133126395,757.8214276177542,3173.6,756.5714133126395,757.8214276177542,3274.4,756.5714133126395,757.8214276177542,3377.9,756.5714133126395,757.8214276177542,3477.9,756.5714133126395,757.8214276177542,3578.5,756.5714133126395,757.8214276177542,3683,756.5714133126395,757.8214276177542,3788,756.5714133126395,757.8214276177542,3888.3,756.5714133126395,757.8214276177542,3988.5,756.5714133126395,757.8214276177542,4088.5,756.5714133126395,757.8214276177542,4193.1,756.5714133126395,757.8214276177542,4293.7,756.5714133126395,757.8214276177542,4397.9,756.5714133126395,757.8214276177542,4498.3,756.5714133126395,757.8214276177542,4603.3,756.5714133126395,757.8214276177542,4707.8,756.5714133126395,757.8214276177542,4808.8,756.5714133126395,757.8214276177542,4920.4]","[1406.1,1406.1,1000,0,406.1,""smooth"",""down"",""down"",""good_move"",4271.9,2864.9,2494.8,1407.2,370,""smooth"",""right"",""right"",""good_move"",6862.4,2589.5,2254.7,4273,334.7,""smooth"",""down"",""down"",""good_move"",9285.5,2422.4,2102.2,6863.2,320.1,""smooth"",""right"",""right"",""good_move"",11254.4,1968.5,1623.3,9285.9,345.3,""smooth"",""right"",""right"",""good_move"",14406.9,3151.7,2767.2,11255.2,384.5,""smooth"",""down"",""down"",""good_move""]","",""
