"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1555","1753297479049","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1558","0.0-0.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:04:39.050Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077","","","","fullscreen","1","3637","0.0-1.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1534","1753297482664","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","5172","0.0-2.0-0.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:04:42.664Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66107.89999999851","","","","survey-template","3","71285","0.0-2.0-1.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:05:48.777Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""0"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""0"",""Q10"":""1"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""1"",""Q18"":""0"",""Q19"":""0"",""Q20"":""1"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q22"",""Q20"",""Q21""]","[5745.300000000745,6840,9008.800000000745,10022.800000000745,12183.300000000745,14479.099999997765,15030.89999999851,16551,19815.699999999255,21711.800000000745,23913.5,28320.099999997765,30262.199999999255,32543.300000000745,33343.599999997765,34695.199999999255,36511.599999997765,39678.699999999255,55207.800000000745,56863.5,59031.800000000745,61823.5,64751.599999997765]","[]","[0.5999999977648258,4951.89999999851,5745.300000000745,6840,9008.800000000745,10022.800000000745,12183.300000000745,13663.099999997765,14479.099999997765,15030.89999999851,16551,19815.699999999255,21711.800000000745,23913.5,28320.099999997765,30262.199999999255,32543.300000000745,33343.599999997765,34695.199999999255,36511.599999997765,39678.699999999255,55207.800000000745,56863.5,58016,59031.800000000745,59871.199999999255,61823.5,64751.599999997765,66088.39999999851]","0.5","0.5238095238095238","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12318.800000000745","","","","survey-template","4","83607","0.0-2.0-2.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:06:01.100Z","","{""Q01"":""0"",""Q02"":""2"",""Q03"":""1""}","[0,1,2]","[""Q02"",""Q03"",""Q01"",""Q01""]","[3853.800000000745,6766,9894.400000002235,11364.900000002235]","[]","[2061.10000000149,3853.800000000745,6766,7519.199999999255,9894.400000002235,10821.5,11364.900000002235,12317.699999999255]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3692","","","","instructions","5","87302","0.0-3.0-0.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3692}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2408","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","53","html-slider-response","6","89717","0.0-4.0-0.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:06:07.210Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2221","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","39","html-slider-response","7","91941","0.0-4.0-1.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:06:09.433Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2174","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","69","html-slider-response","8","94117","0.0-4.0-2.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:06:11.609Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","125257","0.0-5.0-0.0","231","1","2025-07-23 19:04:40","1f75c3e559b7213887762d5229550c2b","90.208.18.9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36","WebKit","Chrome","136.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","5e203085ac30fa331b586690","683db9eb0562dbf637994deb","6881324035e5f05488dc4f8e","2","1","5e203085ac30fa331b586690","2","1","2025-07-23T19:06:42.749Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","96215.6","841.3","5842.2","28128.5","1","4","4","6","2","4","3","3","0","0.022727272727272728","1170.6","3000","1185","[""down"",""left""]","{""num_key_presses"":7,""num_perfect"":6,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[419.0714133126395,421.57142761775424,1.3,419.0714133126395,421.57142761775424,100,419.0714133126395,419.07142761775424,205.5,417.8214133126395,415.32142761775424,311.7,421.5714133126395,389.07142761775424,415,411.5714133126395,414.07142761775424,519.2,281.5714133126395,642.8214276177542,620.4,249.0714133126395,700.3214276177542,727.4,196.5714133126395,751.5714276177542,829.9,171.5714133126395,756.5714276177542,930.1,135.3214133126395,750.3214276177542,1031.9,135.3214133126395,749.0714276177542,1135.6,135.3214133126395,749.0714276177542,1235.6,131.5714133126395,740.3214276177542,1336.3,120.3214133126395,724.0714276177542,1438.5,120.3214133126395,724.0714276177542,1540.5,117.8214133126395,731.5714276177542,1646.5,116.5714133126395,740.3214276177542,1750.1,115.3214133126395,746.5714276177542,1859.8,185.3214133126395,866.5714276177542,1966.4,217.8214133126395,960.3214276177542,2077.3,217.8214133126395,960.3214276177542,2181.4,376.5714133126395,960.3214276177542,2284.8,396.5714133126395,960.3214276177542,2385.7,397.8214133126395,960.3214276177542,2486.2,397.8214133126395,960.3214276177542,2594.2,399.0714133126395,960.3214276177542,2694.7,400.3214133126395,960.3214276177542,2795.5,400.3214133126395,960.3214276177542,2900.5,496.5714133126395,960.3214276177542,3007.6,422.8214133126395,960.3214276177542,3109.9,422.8214133126395,960.3214276177542,3214.9,422.8214133126395,960.3214276177542,3323.1,422.8214133126395,960.3214276177542,3424.4,422.8214133126395,960.3214276177542,3530.1,422.8214133126395,960.3214276177542,3630.2,424.0714133126395,960.3214276177542,3739,424.0714133126395,960.3214276177542,3839.7,424.0714133126395,960.3214276177542,3939.9,424.0714133126395,960.3214276177542,4039.9,424.0714133126395,960.3214276177542,4145.8,424.0714133126395,960.3214276177542,4249.6,424.0714133126395,960.3214276177542,4349.9,424.0714133126395,960.3214276177542,4456.3,424.0714133126395,960.3214276177542,4559.9,424.0714133126395,960.3214276177542,4659.9,424.0714133126395,960.3214276177542,4765.3,424.0714133126395,960.3214276177542,4871.9,424.0714133126395,960.3214276177542,4974.7]","[506.7,506.7,1000,0,-493.3,""error"",""-"",""-"",""no_move"",4684.4,4177.5,2863.9,1509.1,311.4,""smooth"",""down"",""down"",""good_move"",7650.1,2965.4,2660,4684.7,305.4,""smooth"",""down"",""down"",""good_move"",10362.1,2711.8,2357.4,7650.4,354.3,""smooth"",""down"",""down"",""good_move"",16756.2,6393.7,1626.1,14763.9,366.2,""smooth"",""left"",""left"",""good_move"",19908.5,3152.1,2798.6,16756.5,353.4,""smooth"",""left"",""left"",""good_move"",22188.9,2280,1921.2,19908.9,358.8,""smooth"",""left"",""left"",""good_move""]","",""
