"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"38563","1753302779196","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","38569","0.0-0.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:32:59.199Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28614","","","","fullscreen","1","68199","0.0-1.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10293","1753302819126","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","78498","0.0-2.0-0.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:33:39.128Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75707.5","","","","survey-template","3","154220","0.0-2.0-1.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:34:54.851Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""1"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4734.899999991059,5099,6507.199999988079,7699.5999999940395,9341.09999999404,10515.89999999106,11823.09999999404,13339.09999999404,14715.09999999404,20540.5,21839.29999999702,25981.5,30389.69999998808,32680.19999998808,41187.59999999404,45405.09999999404,47405.19999998808,48987.79999999702,50155,54879.59999999404,57205.59999999404,68620.89999999106,70345.09999999404]","[]","[0.29999999701976776,4734.899999991059,5099,6507.199999988079,7699.5999999940395,9341.09999999404,10515.89999999106,11823.09999999404,13339.09999999404,14715.09999999404,20540.5,21839.29999999702,25981.5,29330.39999999106,30389.69999998808,32680.19999998808,41187.59999999404,45405.09999999404,47405.19999998808,48987.79999999702,50155,54879.59999999404,57205.59999999404,68620.89999999106,70345.09999999404,75695]","0.8636363636363636","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9110.29999999702","","","","survey-template","4","163335","0.0-2.0-2.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:35:03.965Z","","{""Q01"":""0"",""Q02"":""5"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4259.699999988079,5692.699999988079,7716]","[]","[2698.7999999970198,4259.699999988079,5692.699999988079,7716,9106.699999988079]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22645","","","","instructions","5","185982","0.0-3.0-0.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":22644}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6070","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","90","html-slider-response","6","192057","0.0-4.0-0.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:35:32.687Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4714","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","87","html-slider-response","7","196773","0.0-4.0-1.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:35:37.404Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9071","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","33","html-slider-response","8","205847","0.0-4.0-2.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:35:46.478Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","233753","0.0-5.0-0.0","235","1","2025-07-23 20:32:18","1f75c3e559b7213887762d5229550c2b","209.203.23.138","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8","67215aa0a8e88c6751efc410","683dba2a8a9dda3513610c04","688146c834769c3b48c91954","3","0","67215aa0a8e88c6751efc410","3","0","2025-07-23T20:36:14.383Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","208656.8","1617.8","6635.2","24894.1","1","4","8","6","2","8","8","8","0","0.06060606060606061","1539.6","3000","1115","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":6}","[294.22232142857143,301.12857142857143,1.5,294.22232142857143,301.12857142857143,104.3,294.22232142857143,301.12857142857143,213.4,294.22232142857143,301.12857142857143,351.8,294.22232142857143,301.12857142857143,454.1,294.22232142857143,301.12857142857143,554.1,294.22232142857143,301.12857142857143,654.2,294.22232142857143,301.12857142857143,760.7,217.22232142857143,216.12857142857143,861.7,119.22232142857143,110.12857142857143,981.4,119.22232142857143,110.12857142857143,1095.5,119.22232142857143,110.12857142857143,1196.4,62.222321428571426,65.12857142857143,1305.6,59.222321428571426,65.12857142857143,1405.8,59.222321428571426,65.12857142857143,1511.4,59.222321428571426,65.12857142857143,1615.6,59.222321428571426,65.12857142857143,1719,59.222321428571426,65.12857142857143,1819.2,59.222321428571426,65.12857142857143,1920.9,59.222321428571426,65.12857142857143,2035.3,59.222321428571426,65.12857142857143,2139.1,59.222321428571426,65.12857142857143,2242.6,59.222321428571426,65.12857142857143,2348.8,59.222321428571426,65.12857142857143,2451.1,59.222321428571426,65.12857142857143,2560.9,59.222321428571426,65.12857142857143,2661,59.222321428571426,65.12857142857143,2763.1,59.222321428571426,65.12857142857143,2863.5,59.222321428571426,65.12857142857143,2964.7,59.222321428571426,65.12857142857143,3071.2,59.222321428571426,65.12857142857143,3171.2,59.222321428571426,65.12857142857143,3275.2,59.222321428571426,65.12857142857143,3380.2,59.222321428571426,65.12857142857143,3489.3,59.222321428571426,65.12857142857143,3594.9,59.222321428571426,65.12857142857143,3699.1,59.222321428571426,65.12857142857143,3805.7,59.222321428571426,65.12857142857143,3914,59.222321428571426,65.12857142857143,4017.6,59.222321428571426,65.12857142857143,4121.2,59.222321428571426,65.12857142857143,4226.6,59.222321428571426,65.12857142857143,4333.7,59.222321428571426,65.12857142857143,4433.9,59.222321428571426,65.12857142857143,4534.2,59.222321428571426,65.12857142857143,4639.4,59.222321428571426,65.12857142857143,4739.4,59.222321428571426,65.12857142857143,4839.4,59.222321428571426,65.12857142857143,4947.2]","[1448.9,1448.9,1000,0,448.9,""smooth"",""left"",""left"",""good_move"",3845.9,2395,2034.4,1451.2,360.4,""smooth"",""left"",""left"",""good_move"",5854.8,2004.5,1590.7,3850.3,413.8,""smooth"",""left"",""left"",""good_move"",9313.8,3452.9,2922.4,5861.1,530.3,""smooth"",""up"",""up"",""good_move"",15553.8,6237.9,2584.9,12529.8,439.1,""smooth"",""up"",""up"",""good_move"",18137.3,2582.3,2105.8,15555.1,476.4,""smooth"",""up"",""up"",""good_move""]","",""
