"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"7580","1753864597666","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","7596","0.0-0.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:36:37.668Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15707","","","","fullscreen","1","24319","0.0-1.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7882","1753864622276","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","32206","0.0-2.0-0.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:37:02.277Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98846.89999999851","","","","survey-template","3","131063","0.0-2.0-1.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:38:41.134Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""3"",""Q06"":""3"",""Q07"":""3"",""Q08"":""0"",""Q09"":""2"",""Q10"":""1"",""Q11"":""3"",""Q12"":""1"",""Q13"":""5"",""Q14"":""1"",""Q15"":""2"",""Q16"":""0"",""Q17"":""3"",""Q18"":""3"",""Q19"":""3"",""Q20"":""2"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q17"",""Q17"",""Q18"",""Q19"",""Q19"",""Q20"",""Q21"",""Q22""]","[4493,6626.30000000447,8993.30000000447,14256.60000000149,15708.10000000149,21755.89999999851,25372.20000000298,29554.60000000149,31587.70000000298,37320.89999999851,40885.20000000298,47182.80000000447,48567,52165.39999999851,55648.70000000298,58601.70000000298,63336.30000000447,64746.5,66846.5,70227.20000000298,72709.89999999851,78127.30000000447,89307.5,97120.30000000447]","[]","[0.6000000014901161,4493,6626.30000000447,8993.30000000447,10911,12893.89999999851,14256.60000000149,15708.10000000149,21755.89999999851,25372.20000000298,29554.60000000149,31587.70000000298,37320.89999999851,40885.20000000298,45050,47182.80000000447,48567,52165.39999999851,55648.70000000298,58601.70000000298,63336.30000000447,64746.5,66846.5,70227.20000000298,72709.89999999851,78127.30000000447,87166.10000000149,89307.5,97120.30000000447,98838.39999999851]","0.4090909090909091","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14912.10000000149","","","","survey-template","4","145979","0.0-2.0-2.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:38:56.051Z","","{""Q01"":""3"",""Q02"":""5"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3263.60000000149,7430.20000000298,13345.5]","[]","[3263.60000000149,7430.20000000298,13345.5,14910.60000000149]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24841","","","","instructions","5","170823","0.0-3.0-0.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":24841}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14993","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","78","html-slider-response","6","185819","0.0-4.0-0.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:39:35.890Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6896","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","92","html-slider-response","7","192717","0.0-4.0-1.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:39:42.788Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8596","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","98","html-slider-response","8","201315","0.0-4.0-2.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:39:51.386Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","234765","0.0-5.0-0.0","248","1","2025-07-30 08:36:28","1f75c3e559b7213887762d5229550c2b","102.222.12.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7,en-GB-oxendict;q=0.6","605b838b80f022835fc293fb","6877631c9844ddd5501205fc","6889d9807aae9b4ddc909ad5","3","1","605b838b80f022835fc293fb","3","1","2025-07-30T08:40:24.837Z","","","","","","","","","","","","","","win-only","2","g1:SE,g2:NW","1","1","0","204923.4","2443.4","7449.6","30443.8","1","4","4","6","2","4","4","4","0","0.030303030303030304","1739.3","3000","770","[""left"",""up""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[422.8214133126395,416.57142761775424,0.3,422.8214133126395,416.57142761775424,104.4,422.8214133126395,416.57142761775424,207.1,422.8214133126395,416.57142761775424,309.8,422.8214133126395,416.57142761775424,413.4,422.8214133126395,416.57142761775424,513.5,422.8214133126395,416.57142761775424,618,422.8214133126395,416.57142761775424,722.9,329.0714133126395,386.57142761775424,827.5,51.57141331263951,187.82142761775424,928.7,-4.678586687360493,76.57142761775425,1032.7,-2.178586687360493,60.32142761775425,1138,15.321413312639507,51.57142761775425,1238.7,61.57141331263951,67.82142761775425,1341.7,69.0714133126395,70.32142761775425,1445.1,71.5714133126395,71.57142761775425,1547.3,71.5714133126395,71.57142761775425,1655.5,71.5714133126395,71.57142761775425,1755.5,71.5714133126395,71.57142761775425,1858.2,71.5714133126395,71.57142761775425,1971.5,71.5714133126395,71.57142761775425,2072.2,71.5714133126395,71.57142761775425,2174.8,71.5714133126395,71.57142761775425,2277.3,71.5714133126395,71.57142761775425,2377.6,71.5714133126395,71.57142761775425,2479.2,71.5714133126395,71.57142761775425,2582.7,71.5714133126395,71.57142761775425,2683,71.5714133126395,71.57142761775425,2783,71.5714133126395,71.57142761775425,2888.1,71.5714133126395,71.57142761775425,2989.1,71.5714133126395,71.57142761775425,3093.1,71.5714133126395,71.57142761775425,3197.7,71.5714133126395,71.57142761775425,3303.9,71.5714133126395,71.57142761775425,3407,71.5714133126395,71.57142761775425,3507.6,71.5714133126395,71.57142761775425,3612.3,71.5714133126395,71.57142761775425,3712.6,71.5714133126395,71.57142761775425,3817.3,71.5714133126395,71.57142761775425,3919.8,71.5714133126395,71.57142761775425,4023,71.5714133126395,71.57142761775425,4128.8,71.5714133126395,71.57142761775425,4232.9,71.5714133126395,71.57142761775425,4337.7,71.5714133126395,71.57142761775425,4442.8,71.5714133126395,71.57142761775425,4548.7,71.5714133126395,71.57142761775425,4653.7,71.5714133126395,71.57142761775425,4757.1,71.5714133126395,71.57142761775425,4857.2,71.5714133126395,71.57142761775425,4962.2]","[1391.2,1391.2,1000,0,391.2,""smooth"",""left"",""left"",""good_move"",3952.6,2560.9,2128.3,1391.8,432.5,""smooth"",""left"",""left"",""good_move"",6357.5,2404.8,1956.4,3952.8,448.3,""smooth"",""left"",""left"",""good_move"",12364.9,6007.1,2517.5,9815.9,31.5,""smooth"",""up"",""up"",""good_move"",15628.6,3263.4,2742.1,12365.2,521.3,""smooth"",""up"",""up"",""good_move"",22893.7,7264.5,2452,20006.6,435.1,""smooth"",""up"",""up"",""good_move""]","",""
