"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2728","1753865559011","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2738","0.0-0.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:52:39.019Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1308","","","","fullscreen","1","5090","0.0-1.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2678","1753865564049","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","7770","0.0-2.0-0.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:52:44.050Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53919.5","","","","survey-template","3","61706","0.0-2.0-1.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:53:37.986Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0"",""Q04"":""3"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""3"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""1"",""Q17"":""2"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4962.599999964237,5748.699999988079,7743.5,9901.399999976158,11488.599999964237,12591.899999976158,13576.099999964237,15353.599999964237,19029.19999998808,20149.599999964237,22192.599999964237,23375.899999976158,25245.099999964237,34394.69999998808,38645.30000001192,39808.5,41733.89999997616,42872.89999997616,46621.89999997616,47810.69999998808,48824.80000001192,52832.09999996424]","[]","[0.09999996423721313,2875.899999976158,4043.599999964237,4962.599999964237,5748.699999988079,7743.5,9131,9901.399999976158,11488.599999964237,12591.899999976158,13576.099999964237,15353.599999964237,19029.19999998808,20149.599999964237,22192.599999964237,23375.899999976158,25245.099999964237,34394.69999998808,37231,38645.30000001192,39808.5,41733.89999997616,42872.89999997616,46621.89999997616,47810.69999998808,48824.80000001192,52832.09999996424,53903.09999996424]","0.6818181818181818","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10874.600000023842","","","","survey-template","4","72589","0.0-2.0-2.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:53:48.868Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[5969.800000011921,7055.399999976158,9639.300000011921]","[]","[4261.899999976158,5969.800000011921,7055.399999976158,9639.300000011921,10872.100000023842]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4796","","","","instructions","5","77387","0.0-3.0-0.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4795}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3486","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","68","html-slider-response","6","80877","0.0-4.0-0.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:53:57.156Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3022","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","58","html-slider-response","7","83901","0.0-4.0-1.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:54:00.180Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","100","html-slider-response","8","86854","0.0-4.0-2.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:54:03.133Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","120040","0.0-5.0-0.0","271","1","2025-07-30 08:51:54","1f75c3e559b7213887762d5229550c2b","78.145.195.194","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5cab22cd68194f001511b2d6","6877631c9844ddd5501205fc","6889dd177a2d9e24bb7be7d0","3","1","5cab22cd68194f001511b2d6","3","1","2025-07-30T08:54:36.319Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","96747.1","2274.6","7281.3","30168.4","1","4","4","6","2","4","4","4","0","0.030303030303030304","976.4","3000","695","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":2,""num_good_moves"":6}","[290.22232142857143,294.12857142857143,1.2,290.22232142857143,294.12857142857143,102.7,290.22232142857143,294.12857142857143,206.3,290.22232142857143,294.12857142857143,306.4,290.22232142857143,294.12857142857143,406.9,290.22232142857143,294.12857142857143,507,477.22232142857143,71.12857142857143,609.4,545.2223214285714,31.128571428571426,718.5,551.2223214285714,35.128571428571426,819.9,557.2223214285714,33.128571428571426,921.5,557.2223214285714,33.128571428571426,1024.4,557.2223214285714,33.128571428571426,1128.4,557.2223214285714,57.128571428571426,1229.2,592.2223214285714,218.12857142857143,1334.6,738.2223214285714,381.12857142857143,1437.7,800.2223214285714,428.12857142857143,1538.5,800.2223214285714,428.12857142857143,1639.7,800.2223214285714,428.12857142857143,1742.3,800.2223214285714,428.12857142857143,1847.4,800.2223214285714,428.12857142857143,1948.1,800.2223214285714,428.12857142857143,2226.7,800.2223214285714,428.12857142857143,2328,800.2223214285714,428.12857142857143,2434.4,800.2223214285714,428.12857142857143,2538.9,800.2223214285714,428.12857142857143,2642,800.2223214285714,428.12857142857143,2742.3,800.2223214285714,428.12857142857143,2846.4,800.2223214285714,428.12857142857143,2948,800.2223214285714,428.12857142857143,3048.2,800.2223214285714,428.12857142857143,3156.5,800.2223214285714,428.12857142857143,3256.5,800.2223214285714,428.12857142857143,3357.1,800.2223214285714,428.12857142857143,3457.3,800.2223214285714,428.12857142857143,3557.4,800.2223214285714,428.12857142857143,3662.2,800.2223214285714,428.12857142857143,3762.7,800.2223214285714,428.12857142857143,3867.6,800.2223214285714,428.12857142857143,3971.7,800.2223214285714,428.12857142857143,4072.9,800.2223214285714,428.12857142857143,4173.2,800.2223214285714,428.12857142857143,4277,800.2223214285714,428.12857142857143,4388.5,800.2223214285714,428.12857142857143,4492.6,800.2223214285714,428.12857142857143,4598.2,800.2223214285714,428.12857142857143,4705,800.2223214285714,428.12857142857143,4805.1,800.2223214285714,428.12857142857143,4906.4]","[1605.6,1605.5,1000,0.1,605.5,""smooth"",""up"",""up"",""good_move"",7638,6030.8,1998.2,5240.6,399.3,""smooth"",""right"",""right"",""good_move"",10102.3,2463.1,2044.7,7639.2,418.4,""smooth"",""up"",""up"",""good_move"",13044.3,2940.3,2500.8,10104,439.5,""smooth"",""right"",""right"",""good_move"",20012.4,6966.8,2742.7,16835.5,434.2,""smooth"",""up"",""up"",""good_move"",22748.9,2734.6,2350.9,20014.4,383.6,""smooth"",""right"",""right"",""good_move""]","",""
