"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1590","1753866338638","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1593","0.0-0.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:05:38.639Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1514","","","","fullscreen","1","4118","0.0-1.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1333","1753866342498","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","5453","0.0-2.0-0.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:05:42.499Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83564.6","","","","survey-template","3","89022","0.0-2.0-1.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:07:06.068Z","","{""Q01"":""1"",""Q02"":""3"",""Q03"":""2"",""Q04"":""2"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""3"",""Q10"":""3"",""Q11"":""3"",""Q12"":""4"",""Q13"":""5"",""Q14"":""4"",""Q15"":""3"",""Q16"":""2"",""Q17"":""2"",""Q18"":""1"",""Q19"":""1"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[7267.6999999999825,11610.699999999983,13604.799999999988,15763.100000000006,18607.29999999999,23068.199999999983,25536.399999999994,27326.199999999983,29138.79999999999,35933.79999999999,38595.79999999999,42522.5,45207,50266.899999999994,56286.100000000006,59448.49999999997,62820.80000000002,68825.80000000002,69909.9,72270.30000000002,76306.6,77440.69999999998,78406.69999999998,80417.1]","[]","[1.1999999999825377,7267.6999999999825,11610.699999999983,13604.799999999988,15763.100000000006,18607.29999999999,23068.199999999983,25536.399999999994,27326.199999999983,29138.79999999999,35933.79999999999,38595.79999999999,42522.5,45207,50266.899999999994,56286.100000000006,59448.49999999997,62820.80000000002,67285.1,68825.80000000002,69909.9,72270.30000000002,75328.69999999998,76306.6,77440.69999999998,78406.69999999998,80417.1,83559.49999999997]","0.45454545454545453","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13751","","","","survey-template","4","102774","0.0-2.0-2.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:07:19.821Z","","{""Q01"":""1"",""Q02"":""4"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[5008.399999999965,9119,11929.599999999977]","[]","[5008.399999999965,9119,11929.599999999977,13750.099999999977]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23520","","","","instructions","5","126296","0.0-3.0-0.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":23520}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27680","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","50","html-slider-response","6","153977","0.0-4.0-0.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:08:11.023Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5259","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","24","html-slider-response","7","159238","0.0-4.0-1.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:08:16.284Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3871","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","50","html-slider-response","8","163110","0.0-4.0-2.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:08:20.156Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","186825","0.0-5.0-0.0","279","1","2025-07-30 09:05:36","1f75c3e559b7213887762d5229550c2b","41.114.249.115","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","61601e9a6b8306196d2a129c","6877631c9844ddd5501205fc","6889e05846e7b8c56ab6b190","3","1","61601e9a6b8306196d2a129c","3","1","2025-07-30T09:08:43.871Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","165329.1","2059.8","7061.8","20708.8","1","4","4","6","1","1","1","1","0","0.007575757575757576","2647.6","3000","1250","[""down"",""left""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[407.57142857142856,416.1808016640799,0.2,407.57142857142856,417.6808016640799,102.4,407.57142857142856,422.1808016640799,206.3,415.07142857142856,431.1808016640799,306.7,413.57142857142856,431.1808016640799,407.1,413.57142857142856,431.1808016640799,511.9,413.57142857142856,431.1808016640799,612.2,413.57142857142856,431.1808016640799,716.6,413.57142857142856,431.1808016640799,817.8,413.57142857142856,431.1808016640799,922,413.57142857142856,431.1808016640799,1027.1,413.57142857142856,431.1808016640799,1131.6,412.07142857142856,432.6808016640799,1231.9,412.07142857142856,432.6808016640799,1337.5,410.57142857142856,432.6808016640799,1441.9,410.57142857142856,431.1808016640799,1542,406.07142857142856,431.1808016640799,1646.5,406.07142857142856,431.1808016640799,1751.6,404.57142857142856,431.1808016640799,1851.6,404.57142857142856,431.1808016640799,1951.8,389.57142857142856,434.1808016640799,2056.9,157.07142857142856,540.6808016640799,2162.3,74.57142857142857,632.1808016640799,2267.4,28.07142857142857,695.1808016640799,2368.1,17.57142857142857,756.6808016640799,2472.9,29.57142857142857,779.1808016640799,2576.6,28.07142857142857,779.1808016640799,2681.6,28.07142857142857,776.1808016640799,2782.2,28.07142857142857,776.1808016640799,2886.4,146.57142857142856,731.1808016640799,2987,1139.5714285714287,366.6808016640799,3093.5,1358.5714285714287,246.68080166407992,3200.5,1351.0714285714287,249.68080166407992,3302.3,1331.5714285714287,263.1808016640799,3402.3,1301.5714285714287,264.6808016640799,3506.5,1301.5714285714287,264.6808016640799,3607,1301.5714285714287,264.6808016640799,3707.2,1301.5714285714287,264.6808016640799,3812.2,1301.5714285714287,264.6808016640799,3912.3,1301.5714285714287,264.6808016640799,4017.3,1301.5714285714287,264.6808016640799,4117.4,1301.5714285714287,264.6808016640799,4217.4,1301.5714285714287,264.6808016640799,4321.7,1301.5714285714287,264.6808016640799,4427.1,1301.5714285714287,264.6808016640799,4527.3,1300.0714285714287,264.6808016640799,4632.3,1300.0714285714287,264.6808016640799,4735.4,1300.0714285714287,264.6808016640799,4836.8,1300.0714285714287,264.6808016640799,4942.1]","[4592.8,4592.8,2082.1,2009.8,500.9,""smooth"",""down"",""down"",""good_move"",7496.7,2903.5,2458.7,4593.2,444.8,""smooth"",""down"",""down"",""good_move"",10184.6,2687.7,2264.3,7496.9,423.4,""smooth"",""left"",""left"",""good_move"",13552.6,3367.5,2950.6,10185.1,416.9,""smooth"",""left"",""left"",""good_move""]","",""
