"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"19306","1753871619333","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","19310","0.0-0.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:33:39.334Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11677","","","","fullscreen","1","31990","0.0-1.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1300","1753871633317","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","33293","0.0-2.0-0.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:33:53.317Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"111643.10000002384","","","","survey-template","3","144942","0.0-2.0-1.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:35:44.966Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""1"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q19"",""Q21"",""Q22""]","[3924.100000023842,4804.400000035763,5924.300000011921,7300.300000011921,8316.200000047684,14676.300000011921,15724.300000011921,22476.30000001192,25460.5,34699.90000003576,36603.90000003576,38076.200000047684,42892.10000002384,62060.40000003576,63164.10000002384,66212.10000002384,68036,79076.20000004768,80084.20000004768,82732.10000002384,95668,102060,109188.10000002384]","[]","[0,2451.900000035763,3924.100000023842,4804.400000035763,5924.300000011921,7300.300000011921,8316.200000047684,10212.600000023842,12300.100000023842,13244,14036.5,14676.300000011921,15724.300000011921,22476.30000001192,25460.5,34699.90000003576,35843.80000001192,36603.90000003576,38076.200000047684,42892.10000002384,59980.30000001192,61371.80000001192,62060.40000003576,63164.10000002384,66212.10000002384,68036,79076.20000004768,80084.20000004768,80963.80000001192,82732.10000002384,94996.40000003576,95668,102060,109188.10000002384,111636.40000003576]","0.9090909090909091","0.19047619047619047","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16077.899999976158","","","","survey-template","4","161022","0.0-2.0-2.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:36:01.047Z","","{""Q01"":""0"",""Q02"":""2"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2932.699999988079,10436.800000011921,14812.800000011921]","[]","[2932.699999988079,10436.800000011921,13996.800000011921,14812.800000011921,16076.800000011921]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4165","","","","instructions","5","165189","0.0-3.0-0.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4165}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3743","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","84","html-slider-response","6","168933","0.0-4.0-0.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:36:08.957Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2822","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","88","html-slider-response","7","171757","0.0-4.0-1.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:36:11.781Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4950","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","82","html-slider-response","8","176709","0.0-4.0-2.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:36:16.733Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","199505","0.0-5.0-0.0","285","1","2025-07-30 10:33:18","1f75c3e559b7213887762d5229550c2b","41.56.171.116","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-ZA,en-GB;q=0.9,en-US;q=0.8,en;q=0.7","60292aabf20c7d2af65541a7","6877631c9844ddd5501205fc","6889f4d371749e16eb66766c","3","1","60292aabf20c7d2af65541a7","3","1","2025-07-30T10:36:39.529Z","","","","","","","","","","","","","","win-only","0","g1:NW,g2:SE","1","1","0","180371.7","2776.3","7777.9","19788.8","1","4","4","6","1","1","1","1","0","0.007575757575757576","1190.2","3000","1445","[""left"",""up""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[355.14285714285717,344.04910714285717,0.7,355.14285714285717,344.04910714285717,105.8,355.14285714285717,344.04910714285717,209.2,355.14285714285717,344.04910714285717,309.4,355.14285714285717,344.04910714285717,414.1,353.14285714285717,352.04910714285717,514.1,348.14285714285717,367.04910714285717,614.2,254.14285714285714,336.04910714285717,715.2,66.14285714285714,170.04910714285714,823.8,62.142857142857146,145.04910714285714,923.8,74.14285714285714,103.04910714285714,1031.6,76.14285714285714,98.04910714285714,1141.5,76.14285714285714,98.04910714285714,1244.3,76.14285714285714,98.04910714285714,1349.1,76.14285714285714,98.04910714285714,1449.1,78.14285714285714,105.04910714285714,1549.4,117.14285714285714,182.04910714285714,1649.4,151.14285714285714,237.04910714285714,1749.4,151.14285714285714,237.04910714285714,1849.5,151.14285714285714,237.04910714285714,1956.5,152.14285714285714,237.04910714285714,2059.2,152.14285714285714,240.04910714285714,2160,152.14285714285714,241.04910714285714,2260.5,152.14285714285714,243.04910714285714,2365.1,152.14285714285714,243.04910714285714,2472.3,152.14285714285714,243.04910714285714,2574.2,152.14285714285714,243.04910714285714,2675.3,152.14285714285714,243.04910714285714,2781.2,152.14285714285714,243.04910714285714,2891,106.14285714285714,206.04910714285714,2995.1,106.14285714285714,206.04910714285714,3095.2,106.14285714285714,206.04910714285714,3196.2,106.14285714285714,206.04910714285714,3307.5,106.14285714285714,206.04910714285714,3410.2,106.14285714285714,206.04910714285714,3511.1,114.14285714285714,211.04910714285714,3615,120.14285714285714,215.04910714285714,3716.1,128.14285714285714,222.04910714285714,3822.2,142.14285714285714,226.04910714285714,3925,142.14285714285714,226.04910714285714,4026.3,142.14285714285714,226.04910714285714,4129.9,190.14285714285714,233.04910714285714,4235.3,197.14285714285714,232.04910714285714,4341.7,258.14285714285717,214.04910714285714,4445.3,264.14285714285717,217.04910714285714,4546.1,265.14285714285717,217.04910714285714,4646.1,265.14285714285717,217.04910714285714,4751.1,265.14285714285717,217.04910714285714,4851.1,265.14285714285717,217.04910714285714,4957.2]","[2009,2008.9,1000,0.1,1008.9,""smooth"",""up"",""up"",""good_move"",5697.2,3687.4,3333.7,2009.9,353.6,""smooth"",""up"",""up"",""good_move"",8256,2557.9,2093.8,5698.1,464.1,""smooth"",""left"",""left"",""good_move"",11887.8,3631,3225.5,8256.8,405.5,""smooth"",""left"",""left"",""good_move""]","",""
