"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"9921","1753877762664","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","9924","0.0-0.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:16:02.666Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1223","","","","fullscreen","1","12171","0.0-1.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2473","1753877767387","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","14646","0.0-2.0-0.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:16:07.388Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93146.39999999944","","","","survey-template","3","107826","0.0-2.0-1.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:17:40.568Z","","{""Q01"":""2"",""Q02"":""2"",""Q03"":""2"",""Q04"":""2"",""Q05"":""1"",""Q06"":""3"",""Q07"":""1"",""Q08"":""2"",""Q09"":""2"",""Q10"":""2"",""Q11"":""2"",""Q12"":""3"",""Q13"":""5"",""Q14"":""2"",""Q15"":""3"",""Q16"":""3"",""Q17"":""3"",""Q18"":""2"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[2660.899999999441,3688.399999999441,7053.0999999996275,8084.5,21776.89999999944,49484.39999999944,52366.39999999944,53693.700000000186,60045.89999999944,64097.5,68635.59999999963,71381.70000000019,73772.89999999944,76626.79999999981,79116.5,82481.70000000019,83920.79999999981,85044.70000000019,87941.89999999944,89377.70000000019,90531.39999999944,91798.39999999944]","[]","[0.20000000018626451,2660.899999999441,3688.399999999441,4613.299999999814,5645.299999999814,7053.0999999996275,8084.5,21776.89999999944,49484.39999999944,51105.200000000186,52366.39999999944,53693.700000000186,57122.799999999814,60045.89999999944,64097.5,68635.59999999963,71381.70000000019,73772.89999999944,76626.79999999981,78044.79999999981,79116.5,82481.70000000019,83920.79999999981,85044.70000000019,87001,87115.29999999981,87941.89999999944,89377.70000000019,90531.39999999944,91798.39999999944,93135.79999999981]","0.6363636363636364","0.23809523809523808","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10212.700000000186","","","","survey-template","4","118041","0.0-2.0-2.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:17:50.783Z","","{""Q01"":""3"",""Q02"":""4"",""Q03"":""2""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[3190.0999999996275,5116.299999999814,8033.0999999996275]","[]","[3190.0999999996275,5116.299999999814,7292.899999999441,8033.0999999996275,10210.799999999814]","0.3333333333333333","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4848","","","","instructions","5","122891","0.0-3.0-0.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4847}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13878","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","89","html-slider-response","6","136771","0.0-4.0-0.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:18:09.513Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7423","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","82","html-slider-response","7","144196","0.0-4.0-1.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:18:16.938Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8098","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","18","html-slider-response","8","152296","0.0-4.0-2.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:18:25.038Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","187482","0.0-5.0-0.0","290","1","2025-07-30 12:15:50","1f75c3e559b7213887762d5229550c2b","154.117.143.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","60ad28c6d838565067ab1b6c","6877631c9844ddd5501205fc","688a0cea7636f4dc3c651097","3","1","60ad28c6d838565067ab1b6c","3","1","2025-07-30T12:19:00.224Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","156013","1345.3","6351.9","32173.7","1","4","4","6","2","4","4","4","0","0.030303030303030304","3950.2","3000","630","[""up"",""right""]","{""num_key_presses"":6,""num_perfect"":6,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":3,""num_good_moves"":6}","[354.4642857142857,350.96428666796004,0.2,354.4642857142857,350.96428666796004,100.2,354.4642857142857,350.96428666796004,200.5,354.4642857142857,350.96428666796004,300.5,354.4642857142857,350.96428666796004,400.8,354.4642857142857,350.96428666796004,506.3,354.4642857142857,350.96428666796004,610.7,354.4642857142857,350.96428666796004,717.1,354.4642857142857,350.96428666796004,820.6,354.4642857142857,350.96428666796004,926.4,354.4642857142857,350.96428666796004,1026.6,354.4642857142857,350.96428666796004,1133.9,354.4642857142857,350.96428666796004,1237.1,354.4642857142857,350.96428666796004,1340.4,354.4642857142857,350.96428666796004,1442.1,354.4642857142857,350.96428666796004,1546.2,354.4642857142857,350.96428666796004,1667.2,354.4642857142857,350.96428666796004,1767.4,354.4642857142857,350.96428666796004,1869,354.4642857142857,350.96428666796004,1971.2,354.4642857142857,350.96428666796004,2077.1,354.4642857142857,350.96428666796004,2182.7,354.4642857142857,350.96428666796004,2285.6,354.4642857142857,350.96428666796004,2385.9,354.4642857142857,350.96428666796004,2486.9,354.4642857142857,350.96428666796004,2590.3,354.4642857142857,350.96428666796004,2701.8,354.4642857142857,350.96428666796004,2805.6,354.4642857142857,350.96428666796004,2906.6,354.4642857142857,350.96428666796004,3017.1,354.4642857142857,350.96428666796004,3121.1,354.4642857142857,350.96428666796004,3227,336.9642857142857,384.71428666796004,3335.1,326.9642857142857,390.96428666796004,3435.8,338.2142857142857,362.21428666796004,3540.8,591.9642857142857,82.21428666796004,3641.6,619.4642857142857,47.21428666796003,3746.7,628.2142857142857,47.21428666796003,3851,628.2142857142857,47.21428666796003,3954.8,628.2142857142857,47.21428666796003,4056.4,628.2142857142857,47.21428666796003,4160.9,628.2142857142857,47.21428666796003,4267.1,628.2142857142857,47.21428666796003,4370.9,600.7142857142857,148.46428666796004,4471,563.2142857142857,312.21428666796004,4571,563.2142857142857,312.21428666796004,4676.1,563.2142857142857,312.21428666796004,4776.1,563.2142857142857,312.21428666796004,4883.7,563.2142857142857,312.21428666796004,4986.1]","[1453.4,1453.3,1000,0.1,453.3,""smooth"",""up"",""up"",""good_move"",4360.1,2905.9,2469.1,1454.2,436.8,""smooth"",""right"",""right"",""good_move"",15126.6,10765.6,2621,12054.5,451.1,""smooth"",""up"",""up"",""good_move"",18244.8,3117.8,2641.4,15127,476.4,""smooth"",""right"",""right"",""good_move"",23512,5266.9,1514.3,21519.4,478.3,""smooth"",""up"",""up"",""good_move"",25726.1,2213.9,1795.8,23512.2,418.1,""smooth"",""right"",""right"",""good_move""]","",""
