"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"20305","1753943665080","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","20341","0.0-0.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:34:25.097Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8951","","","","fullscreen","1","30484","0.0-1.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3732","1753943678975","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","34231","0.0-2.0-0.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:34:38.985Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118745.59999990463","","","","survey-template","3","153142","0.0-2.0-1.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:36:37.895Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""1"",""Q04"":""0"",""Q05"":""1"",""Q06"":""0"",""Q07"":""1"",""Q08"":""0"",""Q09"":""0"",""Q10"":""1"",""Q11"":""1"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""0"",""Q17"":""0"",""Q18"":""1"",""Q19"":""0"",""Q20"":""0"",""Q21"":""1"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q01"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q12"",""Q11"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[23248.900000095367,28695.200000047684,31131.299999952316,38408.40000009537,40106.799999952316,41802.200000047684,43197.90000009537,44629.799999952316,51853.90000009537,52982.799999952316,54458.700000047684,60258.59999990463,61635.40000009537,82822.59999990463,85849.79999995232,87078.20000004768,88573.79999995232,94301.40000009537,95485.59999990463,97153.59999990463,103816.09999990463,104969.70000004768,106049.70000004768]","[]","[0.5999999046325684,23248.900000095367,28695.200000047684,30159.599999904633,31131.299999952316,38408.40000009537,40106.799999952316,41802.200000047684,43197.90000009537,44629.799999952316,47164,51853.90000009537,52982.799999952316,54458.700000047684,58909.59999990463,60258.59999990463,61635.40000009537,63214,82822.59999990463,85849.79999995232,87078.20000004768,88573.79999995232,90032.70000004768,94301.40000009537,95485.59999990463,97153.59999990463,98431.09999990463,99898.70000004768,103816.09999990463,104969.70000004768,106049.70000004768,107328.40000009537,112203.59999990463,118711.09999990463]","0.5909090909090909","0.7619047619047619","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9584","","","","survey-template","4","162766","0.0-2.0-2.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:36:47.518Z","","{""Q01"":""1"",""Q02"":""4"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2570.0999999046326,6774.400000095367,8030.5]","[]","[2570.0999999046326,3808.7000000476837,6774.400000095367,8030.5,9571.099999904633]","0.6666666666666666","0.5","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49284","","","","instructions","5","212056","0.0-3.0-0.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":49281}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22105","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","91","html-slider-response","6","234483","0.0-4.0-0.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:37:59.236Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3857","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","83","html-slider-response","7","238349","0.0-4.0-1.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:38:03.102Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18312","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","98","html-slider-response","8","256675","0.0-4.0-2.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:38:21.428Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","294676","0.0-5.0-0.0","304","1","2025-07-31 06:33:42","1f75c3e559b7213887762d5229550c2b","197.184.109.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67eaee55a9b4d89e82b8df37","6877631c9844ddd5501205fc","688b0e24ea2bfd0ebd3ebc73","3","1","67eaee55a9b4d89e82b8df37","3","1","2025-07-31T06:38:59.429Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","275452.8","3141.1","8141.7","34847","1","4","4","6","2","-4","-5","0","0","0","4053.2","3000","-2375","[""down"",""left""]","{""num_key_presses"":6,""num_perfect"":5,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":5}","[299.22232142857143,298.12857142857143,44.3,299.22232142857143,298.12857142857143,107.2,299.22232142857143,298.12857142857143,214.5,299.22232142857143,298.12857142857143,320.2,299.22232142857143,298.12857142857143,421.9,299.22232142857143,298.12857142857143,535.7,299.22232142857143,298.12857142857143,636.3,299.22232142857143,298.12857142857143,736.9,299.22232142857143,298.12857142857143,837,299.22232142857143,298.12857142857143,941.4,299.22232142857143,298.12857142857143,1047.8,299.22232142857143,298.12857142857143,1151,299.22232142857143,298.12857142857143,1253.4,299.22232142857143,298.12857142857143,1355.6,299.22232142857143,298.12857142857143,1455.8,299.22232142857143,298.12857142857143,1557.3,299.22232142857143,298.12857142857143,1663.3,299.22232142857143,298.12857142857143,1767,299.22232142857143,298.12857142857143,1868,299.22232142857143,298.12857142857143,1971.1,299.22232142857143,298.12857142857143,2073.1,299.22232142857143,298.12857142857143,2183,299.22232142857143,298.12857142857143,2285.8,299.22232142857143,298.12857142857143,2386.1,299.22232142857143,298.12857142857143,2489.9,299.22232142857143,298.12857142857143,2590.5,299.22232142857143,298.12857142857143,2690.9,299.22232142857143,298.12857142857143,2799.2,299.22232142857143,298.12857142857143,2899.2,299.22232142857143,298.12857142857143,3000.3,299.22232142857143,298.12857142857143,3100.5,285.22232142857143,300.12857142857143,3205.8,169.22232142857143,368.12857142857143,3305.9,106.22232142857143,460.12857142857143,3406.6,75.22232142857143,479.12857142857143,3508.7,69.22232142857143,503.12857142857143,3615.8,70.22232142857143,516.1285714285714,3718.6,61.222321428571426,542.1285714285714,3823.5,61.222321428571426,542.1285714285714,3990.9,61.222321428571426,542.1285714285714,4100.3,61.222321428571426,542.1285714285714,4201.4,61.222321428571426,542.1285714285714,4302.4,61.222321428571426,542.1285714285714,4406.8,61.222321428571426,542.1285714285714,4512,61.222321428571426,542.1285714285714,4621.4,61.222321428571426,542.1285714285714,4729,61.222321428571426,542.1285714285714,4836.3,61.222321428571426,542.1285714285714,4940.8]","[5049.6,5049.5,1000,0.1,4049.5,""smooth"",""down"",""down"",""good_move"",5103.8,51.3,2523.2,5052.7,-2472.1,""error"",""-"",""-"",""no_move"",11824.5,6720.5,1798.6,9567.5,458.5,""smooth"",""down"",""down"",""good_move"",14832.5,3007.8,2562.2,11824.7,445.6,""smooth"",""down"",""down"",""good_move"",18961.9,4129.4,3625.7,14832.6,503.7,""smooth"",""left"",""left"",""good_move"",22758.7,3691.6,1866.3,19067.4,1825.2,""smooth"",""left"",""left"",""good_move""]","",""
