"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2472","1753944118687","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2477","0.0-0.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:41:58.690Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5793","","","","fullscreen","1","9278","0.0-1.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1722","1753944127213","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","11001","0.0-2.0-0.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:42:07.214Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59705.60000002384","","","","survey-template","3","70717","0.0-2.0-1.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:43:06.929Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""4"",""Q05"":""4"",""Q06"":""3"",""Q07"":""3"",""Q08"":""4"",""Q09"":""3"",""Q10"":""2"",""Q11"":""4"",""Q12"":""3"",""Q13"":""5"",""Q14"":""3"",""Q15"":""4"",""Q16"":""4"",""Q17"":""4"",""Q18"":""2"",""Q19"":""4"",""Q20"":""3"",""Q21"":""3"",""Q22"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4275.199999988079,6179.800000011921,7776,9834.199999988079,12400.100000023842,17265.899999976158,18891.69999998808,24559.100000023842,27057.600000023842,28755.69999998808,30399.80000001192,33553.10000002384,37149.19999998808,38943.10000002384,42221.19999998808,44641,46247.10000002384,47979.19999998808,51577.30000001192,54931,56931.19999998808,57924.80000001192]","[]","[0.19999998807907104,4275.199999988079,6179.800000011921,7776,9834.199999988079,12400.100000023842,17265.899999976158,18891.69999998808,24559.100000023842,27057.600000023842,28755.69999998808,30399.80000001192,33114.5,33553.10000002384,37149.19999998808,38943.10000002384,42221.19999998808,44641,46247.10000002384,47979.19999998808,51577.30000001192,54931,56931.19999998808,57924.80000001192,59699.10000002384]","0.4090909090909091","0.38095238095238093","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11001.699999988079","","","","survey-template","4","81721","0.0-2.0-2.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:43:17.933Z","","{""Q01"":""3"",""Q02"":""3"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[4029.899999976158,6973.199999988079,10245.099999964237]","[]","[4029.899999976158,6973.199999988079,10245.099999964237,11001]","0.6666666666666666","1","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3307","","","","instructions","5","85028","0.0-3.0-0.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3307}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5956","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","71","html-slider-response","6","90988","0.0-4.0-0.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:43:27.200Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4923","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","64","html-slider-response","7","95912","0.0-4.0-1.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:43:32.124Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13586","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","62","html-slider-response","8","109499","0.0-4.0-2.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:43:45.712Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","143753","0.0-5.0-0.0","305","1","2025-07-31 06:41:47","1f75c3e559b7213887762d5229550c2b","41.74.177.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6122f45e2e93a3ff9a7b7a5d","6877631c9844ddd5501205fc","688b1021682c68071b226db0","3","1","6122f45e2e93a3ff9a7b7a5d","3","1","2025-07-31T06:44:19.965Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","118825.9","1884.2","6889.4","31232.2","1","4","8","6","1","1","0","0","0","0","1310.6","3000","1550","[""down"",""left""]","{""num_key_presses"":5,""num_perfect"":4,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":3,""num_good_moves"":4}","[406.07142857142856,413.1808016640799,0.3,407.57142857142856,413.1808016640799,106.8,407.57142857142856,413.1808016640799,207.3,407.57142857142856,413.1808016640799,312.3,407.57142857142856,414.6808016640799,421.9,407.57142857142856,414.6808016640799,526.4,407.57142857142856,414.6808016640799,627.9,407.57142857142856,414.6808016640799,728.5,404.57142857142856,425.1808016640799,832.3,311.57142857142856,494.1808016640799,938.3,113.57142857142857,678.6808016640799,1042.2,77.57142857142857,749.1808016640799,1148.7,74.57142857142857,755.1808016640799,1255.7,73.07142857142857,755.1808016640799,1356.5,73.07142857142857,755.1808016640799,1457.7,73.07142857142857,755.1808016640799,1559.8,74.57142857142857,755.1808016640799,1663.3,154.07142857142856,752.1808016640799,1771.7,449.57142857142856,705.6808016640799,1877.5,647.5714285714286,647.1808016640799,1982.2,709.0714285714286,590.1808016640799,2083.3,779.5714285714286,596.1808016640799,2185.7,833.5714285714286,611.1808016640799,2290,833.5714285714286,611.1808016640799,2391.8,833.5714285714286,611.1808016640799,2492.3,833.5714285714286,611.1808016640799,2597.3,833.5714285714286,611.1808016640799,2698.6,833.5714285714286,611.1808016640799,2805.2,833.5714285714286,611.1808016640799,2906.6,833.5714285714286,611.1808016640799,3007.3,833.5714285714286,611.1808016640799,3107.4,833.5714285714286,611.1808016640799,3207.6,833.5714285714286,611.1808016640799,3311.9,833.5714285714286,611.1808016640799,3412.9,833.5714285714286,611.1808016640799,3521.2,833.5714285714286,611.1808016640799,3621.9,833.5714285714286,611.1808016640799,3722.9,833.5714285714286,611.1808016640799,3823.7,833.5714285714286,611.1808016640799,3926.4,833.5714285714286,611.1808016640799,4031.4,833.5714285714286,611.1808016640799,4132.4,833.5714285714286,611.1808016640799,4237.8,833.5714285714286,611.1808016640799,4338.3,833.5714285714286,611.1808016640799,4441.4,833.5714285714286,611.1808016640799,4542.1,833.5714285714286,611.1808016640799,4642.2,833.5714285714286,611.1808016640799,4747.3,833.5714285714286,611.1808016640799,4854.6,833.5714285714286,611.1808016640799,4954.6]","[5733.8,5733.8,3390.7,2006.4,336.7,""smooth"",""down"",""down"",""good_move"",5917,183,3345,5734,-3162,""error"",""-"",""-"",""no_move"",10798.9,4881.5,3358.7,6922.3,517.9,""smooth"",""down"",""down"",""good_move"",14100.3,3301.2,2909.9,10799.1,391.3,""smooth"",""left"",""left"",""good_move"",24238.7,10137.4,2911.5,20926.1,401.1,""smooth"",""left"",""left"",""good_move""]","",""
