"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"2104","1753959246649","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","2112","0.0-0.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:54:06.649Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7876","","","","fullscreen","1","11059","0.0-1.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2342","1753959257947","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","13411","0.0-2.0-0.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:54:17.948Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43910","","","","survey-template","3","57355","0.0-2.0-1.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:55:01.892Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""1"",""Q10"":""1"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""1"",""Q16"":""1"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q19"",""Q18"",""Q20"",""Q21"",""Q22""]","[2589,3678,4593,5457,6802,9119,11084,11131,11164,13743,15905,17586,19349,20607,21745,27363,30023,32571,33453,34783,35505,37619,38707,39812]","[]","[0,2589,3678,4593,5457,6802,9119,11084,11131,11164,13743,15265,15905,17586,19349,20607,21745,27363,30023,32571,33453,34061,34783,35505,37619,38707,39812,43905]","0.7727272727272727","0.2857142857142857","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15626","","","","survey-template","4","72989","0.0-2.0-2.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:55:17.526Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q01"",""Q02"",""Q03""]","[9868,11486,12941,14422]","[]","[9868,11486,12941,14422,15625]","0.3333333333333333","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61641","","","","instructions","5","134640","0.0-3.0-0.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":61641}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3935","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","57","html-slider-response","6","138584","0.0-4.0-0.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:56:23.121Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3141","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","55","html-slider-response","7","141731","0.0-4.0-1.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:56:26.268Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2336","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","92","html-slider-response","8","144072","0.0-4.0-2.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:56:28.609Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","184094","0.0-5.0-0.0","307","1","2025-07-31 10:54:03","1f75c3e559b7213887762d5229550c2b","37.47.254.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl","66a6211743bf2623c0a8eb81","6877631c9844ddd5501205fc","688b4b34069ee6fbe874d947","3","1","66a6211743bf2623c0a8eb81","3","1","2025-07-31T10:57:08.631Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","147210","1005","6020","36994","1","4","8","6","2","8","7","7","0","0.05303030303030303","1017","3000","1920","[""up"",""right""]","{""num_key_presses"":8,""num_perfect"":7,""num_errors"":1,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":1,""num_blue"":3,""num_good_moves"":7}","[300.22857753208706,295.92857448032925,12,300.22857753208706,295.92857448032925,100,300.22857753208706,295.92857448032925,210,300.22857753208706,295.92857448032925,320,300.22857753208706,295.92857448032925,431,307.22857753208706,287.92857448032925,540,470.22857753208706,121.92857448032925,650,486.22857753208706,85.92857448032925,759,508.22857753208706,76.92857448032925,869,539.228577532087,73.92857448032925,979,539.228577532087,73.92857448032925,1091,539.228577532087,73.92857448032925,1199,539.228577532087,73.92857448032925,1311,539.228577532087,73.92857448032925,1422,539.228577532087,73.92857448032925,1533,539.228577532087,73.92857448032925,1644,539.228577532087,73.92857448032925,1754,539.228577532087,73.92857448032925,1864,539.228577532087,73.92857448032925,1975,539.228577532087,73.92857448032925,2084,539.228577532087,73.92857448032925,2195,539.228577532087,73.92857448032925,2308,539.228577532087,73.92857448032925,2419,539.228577532087,73.92857448032925,2529,539.228577532087,73.92857448032925,2640,539.228577532087,73.92857448032925,2750,539.228577532087,73.92857448032925,2861,539.228577532087,73.92857448032925,2970,539.228577532087,73.92857448032925,3080,539.228577532087,73.92857448032925,3189,539.228577532087,73.92857448032925,3300,539.228577532087,73.92857448032925,3411,539.228577532087,73.92857448032925,3522,539.228577532087,73.92857448032925,3632,539.228577532087,73.92857448032925,3745,539.228577532087,73.92857448032925,3852,539.228577532087,73.92857448032925,3962,539.228577532087,73.92857448032925,4072,539.228577532087,73.92857448032925,4181,539.228577532087,73.92857448032925,4293,539.228577532087,73.92857448032925,4404,539.228577532087,73.92857448032925,4513,539.228577532087,73.92857448032925,4623,539.228577532087,73.92857448032925,4733,539.228577532087,73.92857448032925,4843,539.228577532087,73.92857448032925,4952]","[4560,4560,2047,2016,497,""smooth"",""up"",""up"",""good_move"",7690,3130,2561.6,4560,568.4,""smooth"",""right"",""right"",""good_move"",10627,2937,2302,7690,635,""smooth"",""up"",""up"",""good_move"",13735,3108,2390.9,10627,717.1,""smooth"",""right"",""right"",""good_move"",17496,3760,3301,13736,459,""smooth"",""right"",""right"",""good_move"",20427,2931,2551,17497,380,""while_blue"",""up"",""left"",""bad_move"",27223,6795,2621.7,24116,485.3,""smooth"",""up"",""up"",""good_move"",30677,3453,2922.3,27224,530.7,""smooth"",""right"",""right"",""good_move""]","",""
