"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"5226","1754062926537","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","5233","0.0-0.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:42:06.543Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35463","","","","fullscreen","1","41809","0.0-1.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976","1754062965095","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","43787","0.0-2.0-0.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:42:45.096Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53508.19999998808","","","","survey-template","3","97303","0.0-2.0-1.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:43:38.613Z","","{""Q01"":""0"",""Q02"":""0"",""Q03"":""0"",""Q04"":""0"",""Q05"":""0"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""0"",""Q10"":""0"",""Q11"":""0"",""Q12"":""0"",""Q13"":""5"",""Q14"":""0"",""Q15"":""0"",""Q16"":""0"",""Q17"":""0"",""Q18"":""0"",""Q19"":""0"",""Q20"":""0"",""Q21"":""0"",""Q22"":""0""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q13"",""Q12"",""Q14"",""Q15"",""Q16"",""Q17"",""Q19"",""Q18"",""Q20"",""Q21"",""Q22""]","[3330.5,4443.5999999940395,5613.5,6947.899999976158,7844.799999982119,8854.09999999404,9838.699999988079,10794.799999982119,15525.299999982119,16503.79999998212,17532.69999998808,23013.29999998212,24806.29999998212,28208.399999976158,34228.5,35503.29999998212,36821.69999998808,39254,40424.19999998808,44316.59999999404,49504.5,51299]","[]","[3.0999999940395355,3330.5,4443.5999999940395,5613.5,6947.899999976158,7844.799999982119,8854.09999999404,9838.699999988079,10794.799999982119,15525.299999982119,16503.79999998212,17532.69999998808,18446.59999999404,20469.399999976158,23013.29999998212,24806.29999998212,28208.399999976158,34228.5,35503.29999998212,36821.69999998808,38120,39254,40424.19999998808,43285.79999998212,44316.59999999404,49504.5,51299,53455.39999997616]","0.9545454545454546","0.09523809523809523","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10543.90000000596","","","","survey-template","4","107852","0.0-2.0-2.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:43:49.161Z","","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0""}","[0,1,2]","[""Q01"",""Q03"",""Q02""]","[2691,7532.300000011921,9014.800000011921]","[]","[2691,4382,6227.699999988079,7532.300000011921,9014.800000011921,10541.5]","0.6666666666666666","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229913","","","","instructions","5","337768","0.0-3.0-0.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":229912}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65909","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","100","html-slider-response","6","403682","0.0-4.0-0.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:48:44.991Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5088","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","97","html-slider-response","7","408774","0.0-4.0-1.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:48:50.084Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4870","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","95","html-slider-response","8","413647","0.0-4.0-2.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:48:54.957Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","438217","0.0-5.0-0.0","310","1","2025-08-01 15:41:54","1f75c3e559b7213887762d5229550c2b","41.145.193.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","67c7672373207a4fb29efe7f","6877631c9844ddd5501205fc","688ce00c6a7da20c9efffd08","3","1","67c7672373207a4fb29efe7f","3","1","2025-08-01T15:49:19.526Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","425581.3","2953.9","7957.9","21555.4","1","4","4","6","1","1","1","1","0","0.007575757575757576","2077.4","3000","470","[""up"",""right""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[296.22232142857143,296.12857142857143,0.7,296.22232142857143,296.12857142857143,101.7,296.22232142857143,296.12857142857143,203.5,296.22232142857143,296.12857142857143,310.8,296.22232142857143,296.12857142857143,412.8,296.22232142857143,296.12857142857143,517.1,296.22232142857143,296.12857142857143,618.5,296.22232142857143,296.12857142857143,722.9,296.22232142857143,296.12857142857143,823.5,296.22232142857143,296.12857142857143,927.5,296.22232142857143,296.12857142857143,1029.1,449.22232142857143,154.12857142857143,1132.7,616.2223214285714,1.1285714285714263,1234.3,623.2223214285714,-4.871428571428574,1337.5,623.2223214285714,-4.871428571428574,1439.5,602.2223214285714,9.128571428571426,1543,581.2223214285714,30.128571428571426,1644.1,578.2223214285714,33.128571428571426,1748.1,577.2223214285714,33.128571428571426,1853.7,577.2223214285714,33.128571428571426,1958.4,577.2223214285714,33.128571428571426,2059,577.2223214285714,33.128571428571426,2160.6,577.2223214285714,33.128571428571426,2262.4,577.2223214285714,33.128571428571426,2367.9,577.2223214285714,33.128571428571426,2474.9,577.2223214285714,33.128571428571426,2577.4,577.2223214285714,33.128571428571426,2677.6,577.2223214285714,33.128571428571426,2778.3,577.2223214285714,33.128571428571426,2882.4,577.2223214285714,33.128571428571426,2987.9,577.2223214285714,33.128571428571426,3092.3,577.2223214285714,33.128571428571426,3193.5,577.2223214285714,33.128571428571426,3294.4,577.2223214285714,33.128571428571426,3397.3,577.2223214285714,33.128571428571426,3499.3,577.2223214285714,33.128571428571426,3603.3,577.2223214285714,33.128571428571426,3708.2,577.2223214285714,33.128571428571426,3812.3,577.2223214285714,33.128571428571426,3913.6,577.2223214285714,33.128571428571426,4017.7,577.2223214285714,33.128571428571426,4122.1,577.2223214285714,33.128571428571426,4222.2,577.2223214285714,33.128571428571426,4327.1,577.2223214285714,33.128571428571426,4433.7,577.2223214285714,33.128571428571426,4537.8,577.2223214285714,33.128571428571426,4643.3,577.2223214285714,33.128571428571426,4747.5,577.2223214285714,33.128571428571426,4847.6,577.2223214285714,33.128571428571426,4949]","[2061.9,2061.8,1000,0.2,1061.7,""smooth"",""right"",""right"",""good_move"",5660.4,3597.4,3034.4,2063.1,562.9,""smooth"",""right"",""right"",""good_move"",8461.2,2800,2277.1,5661.2,522.9,""smooth"",""up"",""up"",""good_move"",13493.7,5031,1602.9,11343.9,546.9,""smooth"",""up"",""up"",""good_move""]","",""
