"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"109280","1754071843483","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","109284","0.0-0.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:10:43.484Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12308","","","","fullscreen","1","122597","0.0-1.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"399192","1754072255993","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","521794","0.0-2.0-0.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:17:35.994Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61313.39999999944","","","","survey-template","3","583113","0.0-2.0-1.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:18:37.313Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""2"",""Q04"":""3"",""Q05"":""2"",""Q06"":""3"",""Q07"":""4"",""Q08"":""3"",""Q09"":""2"",""Q10"":""3"",""Q11"":""3"",""Q12"":""2"",""Q13"":""5"",""Q14"":""3"",""Q15"":""2"",""Q16"":""3"",""Q17"":""3"",""Q18"":""3"",""Q19"":""2"",""Q20"":""2"",""Q21"":""2"",""Q22"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q04"",""Q05"",""Q06"",""Q03"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q15"",""Q16"",""Q17"",""Q18"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4644.899999999441,5980.5999999996275,8435.700000000186,9539.899999999441,14084.399999999441,15900.399999999441,19340.39999999944,20172.39999999944,23876.299999999814,27428.299999999814,29739.5,30827.799999999814,32724.200000000186,39148.5,40636.200000000186,41572.39999999944,43428.09999999963,44356.200000000186,46060.09999999963,48219.5,49428.200000000186,50716.200000000186,53580.09999999963,54644.200000000186]","[]","[0.39999999944120646,4644.899999999441,5980.5999999996275,7148.299999999814,8435.700000000186,9539.899999999441,11540.599999999627,12484.200000000186,14084.399999999441,14636.599999999627,15900.399999999441,19340.39999999944,20172.39999999944,20603.89999999944,22524.299999999814,23876.299999999814,27428.299999999814,29739.5,30827.799999999814,32724.200000000186,39148.5,39644.200000000186,40636.200000000186,41572.39999999944,43428.09999999963,44356.200000000186,46060.09999999963,48219.5,49428.200000000186,50716.200000000186,53580.09999999963,54644.200000000186,61308.5]","0.45454545454545453","0.5714285714285714","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6519.200000000186","","","","survey-template","4","589636","0.0-2.0-2.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:18:43.836Z","","{""Q01"":""3"",""Q02"":""2"",""Q03"":""3""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2982.9000000003725,4606.300000000745,5798.5]","[]","[2982.9000000003725,3446.300000000745,4055.600000000559,4606.300000000745,5798.5,6518.300000000745]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6260","","","","instructions","5","595898","0.0-3.0-0.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6259}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2758","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","86","html-slider-response","6","598657","0.0-4.0-0.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:18:52.858Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2119","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","84","html-slider-response","7","600778","0.0-4.0-1.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:18:54.978Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1958","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","84","html-slider-response","8","602738","0.0-4.0-2.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:18:56.938Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","631900","0.0-5.0-0.0","311","1","2025-08-01 18:07:03","1f75c3e559b7213887762d5229550c2b","171.79.56.60","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-GB,en-US;q=0.9,en;q=0.8,ta;q=0.7","66c5f76d9a214b469f6476c8","6877631c9844ddd5501205fc","688d01f343defaed966192fa","3","1","66c5f76d9a214b469f6476c8","3","1","2025-08-01T18:19:26.100Z","","","","","","","","","","","","","","win-only","1","g1:NE,g2:SW","1","1","0","611134.4","2737.7","7757.9","26149.7","1","4","8","6","2","-8","-8","0","0","0","924.1","3000","-2595","[""down"",""left""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":1,""num_good_moves"":4}","[294.22232142857143,295.12857142857143,0.7,294.22232142857143,295.12857142857143,103.6,294.22232142857143,295.12857142857143,203.7,294.22232142857143,295.12857142857143,308,294.22232142857143,295.12857142857143,408.2,253.22232142857143,308.12857142857143,513.6,65.22232142857143,487.12857142857143,613.6,48.222321428571426,531.1285714285714,714.5,48.222321428571426,526.1285714285714,820.4,48.222321428571426,526.1285714285714,920.4,48.222321428571426,526.1285714285714,1020.7,48.222321428571426,526.1285714285714,1123.3,48.222321428571426,526.1285714285714,1223.4,48.222321428571426,526.1285714285714,1328.5,48.222321428571426,526.1285714285714,1428.5,48.222321428571426,525.1285714285714,1536.6,69.22232142857143,525.1285714285714,1637.4,133.22232142857143,521.1285714285714,1738.8,182.22232142857143,517.1285714285714,1843.8,232.22232142857143,512.1285714285714,1953.9,286.22232142857143,500.12857142857143,2053.9,372.22232142857143,469.12857142857143,2153.9,461.22232142857143,422.12857142857143,2258.6,521.2223214285714,390.12857142857143,2363.3,523.2223214285714,389.12857142857143,2463.7,523.2223214285714,389.12857142857143,2563.9,523.2223214285714,389.12857142857143,2670.4,523.2223214285714,389.12857142857143,2773.1,518.2223214285714,389.12857142857143,2873.4,443.22232142857143,418.12857142857143,2978.9,266.22232142857143,498.12857142857143,3086.9,87.22232142857143,530.1285714285714,3187.6,54.222321428571426,530.1285714285714,3288.5,24.222321428571426,527.1285714285714,3388.5,22.222321428571426,526.1285714285714,3493.6,27.222321428571426,531.1285714285714,3603.4,27.222321428571426,531.1285714285714,3704.8,27.222321428571426,531.1285714285714,3807.7,27.222321428571426,531.1285714285714,3907.8,27.222321428571426,531.1285714285714,4008.7,28.222321428571426,531.1285714285714,4121.7,51.222321428571426,533.1285714285714,4222.6,51.222321428571426,533.1285714285714,4322.8,51.222321428571426,533.1285714285714,4424,51.222321428571426,533.1285714285714,4536,51.222321428571426,533.1285714285714,4636.6,51.222321428571426,533.1285714285714,4736.9,51.222321428571426,533.1285714285714,4837.5,51.222321428571426,533.1285714285714,4937.8]","[2086,2085.9,1000,0.1,1085.9,""smooth"",""down"",""down"",""good_move"",5450.4,3363.8,2831.4,2086.7,532.3,""smooth"",""down"",""down"",""good_move"",8871.1,3420.5,2817.4,5450.6,603.1,""smooth"",""down"",""down"",""good_move"",15391.8,6520.5,2471.7,12468.2,451.9,""smooth"",""left"",""left"",""good_move""]","",""
