"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","WEEK","BATCH","prolific_id","week","batch","realtime","success","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","eventType","view_history","slider_start","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","question_order","question_id"
"1479","1754299251910","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for participanting in our experiment again! You will be asked to play the Dysfunctional Ball Game again. We will briefly recap the rules before we start.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to continue.</p>","0","custom-html-button-response","0","1505","0.0-0.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:20:51.911Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6497","","","","fullscreen","1","9005","0.0-1.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2268","1754299261680","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","2","11274","0.0-2.0-0.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:21:01.680Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"122711","","","","survey-template","3","133991","0.0-2.0-1.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:23:04.397Z","","{""Q01"":""1"",""Q02"":""1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""1"",""Q10"":""2"",""Q11"":""2"",""Q12"":""4"",""Q13"":""5"",""Q14"":""4"",""Q15"":""4"",""Q16"":""1"",""Q17"":""1"",""Q18"":""1"",""Q19"":""1"",""Q20"":""1"",""Q21"":""1"",""Q22"":""1""}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q09"",""Q10"",""Q11"",""Q12"",""Q13"",""Q14"",""Q15"",""Q16"",""Q17"",""Q18"",""Q19"",""Q20"",""Q21"",""Q22""]","[4871,6437,9371,10654,11283,12577,13767,14617,16036,92788,93309,96017,97385,99212,103930,106095,107271,107997,115385,117451,119945,121850]","[]","[0,3791,4131,4871,6437,9371,10654,11283,12577,13767,14617,16036,91171,92788,93309,96017,97385,99212,103930,106095,107271,107997,115385,117451,119945,121850,122710]","0.7272727272727273","0.14285714285714285","0","drsp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5444","","","","survey-template","4","139439","0.0-2.0-2.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:23:09.845Z","","{""Q01"":""1"",""Q02"":""4"",""Q03"":""1""}","[0,1,2]","[""Q01"",""Q02"",""Q03""]","[2176,2939,3558]","[]","[2176,2939,3558,5444]","1","0","0","stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3473","","","","instructions","5","142912","0.0-3.0-0.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3473}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2335","","<p>Before you start with this game please answer the following three questions yourself. </p>
  <p>Through this game, we measure several aspects of your cognitive performance, such as reaction times, multi-tasking capabilities </p>
  <p>and the ability to assess the situation you are in.</p>
  <p></p>
  <p><b>How good do you usually are in such tasks?</b></p>","39","html-slider-response","6","145249","0.0-4.0-0.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:23:15.655Z","","","","","","","","","","","PreSkillQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1739","","<div style=""width:500px;"">
  <p>How well do you think you will perform in this task compared to other participants?</p>
  </div>","27","html-slider-response","7","146989","0.0-4.0-1.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:23:17.395Z","","","","","","","","","","","PrePerfQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2812","","<div style=""width:500px;"">
  <p>What best describes how you currently feel?</p>
  </div>","18","html-slider-response","8","149802","0.0-4.0-2.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:23:20.208Z","","","","","","","","","","","PreMotivationQ","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","ctl-task-cpt","9","171226","0.0-5.0-0.0","313","1","2025-08-04 09:20:54","1f75c3e559b7213887762d5229550c2b","178.212.218.13","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0","","Firefox","141.0","Windows","10.0","https://app.prolific.com/","pl,en-US;q=0.7,en;q=0.3","5c2b339a85602a00012ffedd","6877631c9844ddd5501205fc","68907af1a5c04427307fdd4e","3","1","5c2b339a85602a00012ffedd","3","1","2025-08-04T09:23:41.632Z","","","","","","","","","","","","","","win-only","3","g1:SW,g2:NE","1","1","0","152339","2761","7762","18419","1","4","8","6","1","1","1","1","0","0.007575757575757576","1441","3000","1695","[""down"",""left""]","{""num_key_presses"":4,""num_perfect"":4,""num_errors"":0,""num_randdir"":0,""num_randdir_good_moves"":0,""num_whilered"":0,""num_whileblue"":0,""num_blue"":0,""num_good_moves"":4}","[562.4285714285714,549.1285683768136,0,562.4285714285714,549.1285683768136,106,562.4285714285714,549.1285683768136,208,562.4285714285714,549.1285683768136,313,562.4285714285714,549.1285683768136,417,555.4285714285714,551.1285683768136,519,547.4285714285714,552.1285683768136,620,506.42857142857144,597.1285683768136,722,415.42857142857144,720.1285683768136,828,311.42857142857144,841.1285683768136,928,253.42857142857144,886.1285683768136,1030,209.42857142857144,918.1285683768136,1133,139.42857142857144,953.1285683768136,1237,120.42857142857143,965.1285683768136,1338,120.42857142857143,965.1285683768136,1440,120.42857142857143,965.1285683768136,1544,259.42857142857144,1018.1285683768136,1647,1834.4285714285713,907.1285683768136,1749,1834.4285714285713,843.1285683768136,1850,1834.4285714285713,843.1285683768136,1953,1834.4285714285713,843.1285683768136,2054,1834.4285714285713,843.1285683768136,2155,1834.4285714285713,843.1285683768136,2258,1834.4285714285713,843.1285683768136,2359,1834.4285714285713,843.1285683768136,2461,1834.4285714285713,843.1285683768136,2564,1834.4285714285713,843.1285683768136,2665,1834.4285714285713,843.1285683768136,2767,1834.4285714285713,843.1285683768136,2868,1834.4285714285713,843.1285683768136,2970,1834.4285714285713,843.1285683768136,3072,1834.4285714285713,843.1285683768136,3175,1834.4285714285713,843.1285683768136,3276,1834.4285714285713,843.1285683768136,3380,1834.4285714285713,843.1285683768136,3482,1834.4285714285713,843.1285683768136,3585,1834.4285714285713,843.1285683768136,3686,1834.4285714285713,843.1285683768136,3788,1834.4285714285713,843.1285683768136,3890,1834.4285714285713,843.1285683768136,3992,1834.4285714285713,843.1285683768136,4092,1834.4285714285713,843.1285683768136,4193,1834.4285714285713,843.1285683768136,4294,1834.4285714285713,843.1285683768136,4397,1834.4285714285713,843.1285683768136,4498,1834.4285714285713,843.1285683768136,4600,1834.4285714285713,843.1285683768136,4702,1834.4285714285713,843.1285683768136,4805,1834.4285714285713,843.1285683768136,4906]","[1460,1460,1000,0,460,""smooth"",""left"",""left"",""good_move"",4513,3053,2676.7,1460,376.3,""smooth"",""left"",""left"",""good_move"",7621,3108,2690.4,4513,417.6,""smooth"",""down"",""down"",""good_move"",10557,2936,2590.7,7621,345.3,""smooth"",""down"",""down"",""good_move""]","",""
