"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"2491","1751451604998","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","2493","0.0-0.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:20:04.999Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2877","","","","instructions","1","5371","0.0-1.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","[{""page_index"":0,""viewing_time"":1811},{""page_index"":1,""viewing_time"":1066}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30142","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","35516","0.0-2.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240564","","","","fullscreen","3","277091","0.0-4.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3043","1751451882642"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","280136","0.0-5.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:24:42.642Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20263","","","{""age"":""22""}","survey-text","5","300401","0.0-6.0-0.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2664","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","303066","0.0-6.0-1.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2032","","","{""assigned_sex"":""male""}","survey-multi-choice","7","305099","0.0-6.0-2.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3252","","","{""menstrual_cycle"":""No""}","survey-multi-choice","8","308353","0.0-6.0-3.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4452","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","312806","0.0-6.0-4.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16694","","","{""education"":""Vocational Qualifications (e.g. City & Guilds)""}","survey-multi-choice","10","329502","0.0-6.0-5.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:25:32.008Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12055","","","{""mental_health_condition"":""No"",""mental_health_treatment"":""No"",""psychiatric_medication"":""No""}","survey-text","11","341560","0.0-7.0-0.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:25:44.066Z","","","","","1","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9624","","","{""depression_history"":[""No""]}","survey-multi-select","12","351187","0.0-7.0-1.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","","","[0]","","","","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"398717.60000002384","","","","survey-template","13","749912","0.0-7.0-3.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:32:32.418Z","","","","","","ius","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0"",""Q04"":""2"",""Q05"":""0"",""Q06"":""1"",""Q07"":""1"",""Q08"":""0"",""Q09"":""3"",""Q10"":""1"",""Q11"":""1"",""Q12"":""2"",""Q13"":""2""}","[0,1,2,3,4,5,6,7,8,9,10,11,12]","[""Q01"",""Q02"",""Q06"",""Q05"",""Q04"",""Q03"",""Q07"",""Q08"",""Q13"",""Q12"",""Q10"",""Q09"",""Q11""]","[192301.30000007153,194216.10000002384,252963.20000004768,256491.89999997616,258156,261945.20000004768,264637.60000002384,270665.5,279549.7000000477,281865,390267.89999997616,392371.60000002384,395204.39999997616]","[]","[191639.80000007153,192301.30000007153,194216.10000002384,252963.20000004768,255302.30000007153,256491.89999997616,258156,261945.20000004768,264637.60000002384,270665.5,279549.7000000477,281494.5,281865,389893,390267.89999997616,392371.60000002384,395204.39999997616,398715.10000002384]","0.38461538461538464","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4355","1751452356774","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","14","754269","0.0-7.0-4.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:32:36.775Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55173.699999928474","","","","survey-template","15","809445","0.0-7.0-5.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:33:31.951Z","","","","","","pss","{""Q01"":""1"",""Q02"":""0"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""1"",""Q08"":""1"",""Q09"":""1"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q10"",""Q09"",""Q10""]","[4234.299999952316,7198.699999928474,9910,14085.299999952316,17120.399999976158,19708.600000023842,24875.699999928474,28419.299999952316,38654.10000002384,45319.299999952316,46259.299999952316]","[]","[0.10000002384185791,4234.299999952316,7198.699999928474,9397.699999928474,9910,13306.399999976158,13769.199999928474,14085.299999952316,17120.399999976158,19708.600000023842,24875.699999928474,27869.199999928474,28419.299999952316,38654.10000002384,40279.60000002384,43746.799999952316,44192.699999928474,45319.299999952316,46259.299999952316,52387.89999997616,55172.39999997616]","0.4","0.3333333333333333","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2627","1751452414579","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","16","812074","0.0-7.0-6.0","121","1","2025-07-02 10:20:01","80fe4187154257d5fb01684ea91b68b9","188.36.3.22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","hu-HU,hu;q=0.9,en-US;q=0.8,en;q=0.7","66d749dad04d6166d7928a7f","683db6dfa200031b80f2a654","68650755851971074672d75a","66d749dad04d6166d7928a7f","2025-07-02T10:33:34.580Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
