"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"52780","1752052091522","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","52784","0.0-0.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","2025-07-09T09:08:11.523Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"259068","","","","instructions","1","311853","0.0-1.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","[{""page_index"":0,""viewing_time"":181878},{""page_index"":1,""viewing_time"":77190}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66944","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","378815","0.0-2.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30130","","","","fullscreen","3","409961","0.0-4.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19485","1752052468186"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","429448","0.0-5.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","2025-07-09T09:14:28.187Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828","","","{""age"":""31""}","survey-text","5","434281","0.0-6.0-0.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8413","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","442695","0.0-6.0-1.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6397","","","{""assigned_sex"":""female""}","survey-multi-choice","7","449095","0.0-6.0-2.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8783","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","457880","0.0-6.0-3.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20465","","","{""education"":""Vocational Qualifications (e.g. City & Guilds)""}","survey-multi-choice","9","478348","0.0-6.0-4.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17164","","","{""education"":""GCSE/Standard Grades""}","survey-multi-choice","10","495514","0.0-6.0-5.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","2025-07-09T09:15:34.254Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35082","","","{""mental_health_condition"":""No"",""mental_health_treatment"":""No"",""psychiatric_medication"":""No""}","survey-text","11","530601","0.0-7.0-0.0","49","1","2025-07-09 09:07:14","7701e855f2ef39aa3fd6c71abdc6918a","41.114.9.251","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6612e7f231d13a67b8e758cc","686d226cabeef709c732f8e1","686e3131478e3dc0e5fff262","6612e7f231d13a67b8e758cc","2025-07-09T09:16:09.340Z","","","","","1","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
