"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"7130","1751451548163","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","7133","0.0-0.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","2025-07-02T10:19:08.165Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13726","","","","instructions","1","20861","0.0-1.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","[{""page_index"":0,""viewing_time"":10883},{""page_index"":1,""viewing_time"":2842}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5760","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","26625","0.0-2.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8173","","","","fullscreen","3","35804","0.0-4.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10676","1751451587513"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","46481","0.0-5.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","2025-07-02T10:19:47.514Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3559","","","{""age"":""38""}","survey-text","5","50047","0.0-6.0-0.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4785","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","54833","0.0-6.0-1.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5164","","","{""assigned_sex"":""male""}","survey-multi-choice","7","59999","0.0-6.0-2.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7686","","","{""menstrual_cycle"":""No""}","survey-multi-choice","8","67687","0.0-6.0-3.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12705","","","{""education"":""Vocational Qualifications (e.g. City & Guilds)""}","survey-multi-choice","9","80395","0.0-6.0-4.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6994","","","{""education"":""GCSE/Standard Grades""}","survey-multi-choice","10","87391","0.0-6.0-5.0","74","1","2025-07-02 10:19:02","80fe4187154257d5fb01684ea91b68b9","86.162.192.186","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","WebKit","Edge","138.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,en-GB;q=0.8","661d1672f01169fe41f1f001","683db6dfa200031b80f2a654","68650784814549a85cf6fca9","661d1672f01169fe41f1f001","2025-07-02T10:20:28.423Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
