"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start","sub_question"
"17270","1752052028668","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","17276","0.0-0.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","2025-07-09T09:07:08.669Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24456","","","","instructions","1","41733","0.0-1.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","[{""page_index"":0,""viewing_time"":16558},{""page_index"":1,""viewing_time"":7897}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8524","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","50260","0.0-2.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26230","","","","fullscreen","3","77503","0.0-4.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17918","1752052106814"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","95422","0.0-5.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","2025-07-09T09:08:26.814Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2700","","","{""age"":""27""}","survey-text","5","98124","0.0-6.0-0.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2215","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","100340","0.0-6.0-1.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5087","","","{""assigned_sex"":""female""}","survey-multi-choice","7","105428","0.0-6.0-2.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15295","","","{""menstrual_cycle"":""Yes""}","survey-multi-choice","8","120724","0.0-6.0-3.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7679","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","128404","0.0-6.0-4.0","27","1","2025-07-09 09:06:48","7701e855f2ef39aa3fd6c71abdc6918a","187.190.161.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","WebKit","Chrome","138.0.0.0","Windows","10.0","https://app.prolific.com/","es-US,es-419;q=0.9,es;q=0.8","610c6c0904a537eaadf52096","686d226cabeef709c732f8e1","686e31244f373a2c40936d25","610c6c0904a537eaadf52096","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
