"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"1587","1752052909407","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","1589","0.0-0.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:21:49.409Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3270","","","","instructions","1","4861","0.0-1.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","[{""page_index"":0,""viewing_time"":2757},{""page_index"":1,""viewing_time"":513}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1756","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","6620","0.0-2.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"782","","","","fullscreen","3","8409","0.0-4.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1816","1752052918047"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","10228","0.0-5.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:21:58.047Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2527","","","{""age"":""32""}","survey-text","5","12758","0.0-6.0-0.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1705","","","{""gender_identity"":""female/woman""}","survey-multi-choice","6","14465","0.0-6.0-1.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1338","","","{""assigned_sex"":""female""}","survey-multi-choice","7","15804","0.0-6.0-2.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1872","","","{""menstrual_cycle"":""Rather not tell""}","survey-multi-choice","8","17677","0.0-6.0-3.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1859","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","9","19538","0.0-6.0-4.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1198","","","{""education"":""Master's Degree (e.g., MSc)""}","survey-multi-choice","10","20736","0.0-6.0-5.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:22:08.555Z","","[0]","","","6","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1567","","","{""mental_health_condition"":"""",""mental_health_treatment"":"""",""psychiatric_medication"":""""}","survey-text","11","22305","0.0-7.0-0.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:22:10.125Z","","","","","1","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50155","","","{""depression_history"":[""No"",""Prefer not to say""]}","survey-multi-select","12","72464","0.0-7.0-1.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","","","[0]","","","","mental_health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62762.29999998212","","","","survey-template","13","135232","0.0-7.0-3.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:24:03.051Z","","","","","","ius","{""Q01"":""1"",""Q02"":""2"",""Q03"":""0"",""Q04"":""3"",""Q05"":""1"",""Q06"":""0"",""Q07"":""0"",""Q08"":""0"",""Q09"":""2"",""Q10"":""0"",""Q11"":""0"",""Q12"":""3"",""Q13"":""3""}","[0,1,2,3,4,5,6,7,8,9,10,11,12]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q07"",""Q08"",""Q09"",""Q10"",""Q10"",""Q11"",""Q12"",""Q13""]","[7476.199999988079,13231.299999982119,17447.5,22533.19999998808,28983.59999999404,33491.40000000596,36533.90000000596,37442.09999999404,39760.79999998212,44890.5,48484,50136.90000000596,53621.79999998212,56576.09999999404,59446.40000000596]","[]","[7476.199999988079,12370.299999982119,13231.299999982119,17447.5,21946.5,22533.19999998808,28280,28983.59999999404,33491.40000000596,36533.90000000596,37442.09999999404,39760.79999998212,44890.5,48484,50136.90000000596,52298.5,52907.59999999404,53621.79999998212,56576.09999999404,59446.40000000596,62758.5]","0.46153846153846156","0.16666666666666666","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28480","1752053071533","<p style='font-size:1.1em;line-height:1.25'>In the following, we will ask you a few questions relating to your experiences over the past month.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","14","163714","0.0-7.0-4.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:24:31.534Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52462.59999999404","","","","survey-template","15","216180","0.0-7.0-5.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:25:23.999Z","","","","","","pss","{""Q01"":""0"",""Q02"":""1"",""Q03"":""0"",""Q04"":""2"",""Q05"":""4"",""Q06"":""0"",""Q07"":""1"",""Q08"":""1"",""Q09"":""0"",""Q10"":""0""}","[0,1,2,3,4,5,6,7,8,9]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08"",""Q08"",""Q07"",""Q06"",""Q09"",""Q10""]","[15723.09999999404,21972.90000000596,22877.90000000596,23853.59999999404,24856.19999998808,26093.59999999404,29724.40000000596,31269.69999998808,34161.59999999404,37531.29999998212,41093.69999998808,44704.40000000596,47601.40000000596]","[]","[0,14022.09999999404,14564.699999988079,15723.09999999404,21972.90000000596,22877.90000000596,23853.59999999404,24856.19999998808,26093.59999999404,27342,28183.29999998212,29724.40000000596,30260,31269.69999998808,33618.09999999404,34161.59999999404,37531.29999998212,41093.69999998808,44704.40000000596,45745.19999998808,47601.40000000596,52461.19999998808]","0.6","0.2222222222222222","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31307","1752053155307","<p style='font-size:1.1em;line-height:1.25'>Thank you for your answers! Now we will ask you a few more questions relating to your feelings in the last 24 hours.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","16","247488","0.0-7.0-6.0","210","1","2025-07-09 09:21:41","7701e855f2ef39aa3fd6c71abdc6918a","176.46.145.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","677d2164671591fcaf5c1688","686d226cabeef709c732f8e1","686e31404be6c4da378bc9d3","677d2164671591fcaf5c1688","2025-07-09T09:25:55.307Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
